"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Arminia","Home","Fabian Klos",9,"GER","FW","34-092",75,0,0,0,0,1,1,1,0,27,1,0,1,0.1,0.1,0,0,0,10,21,47.6,3,14,0,2,2
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Arminia","Home","Bryan Lasme",10,"FRA","FW","23-110",15,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,6,50,1,2,0,0,0
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Arminia","Home","Masaya Okugawa",11,"JPN","LW","25-324",66,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,1,0,6,9,66.7,3,12,0,1,0
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Arminia","Home","Robin Hack",21,"GER","LW","23-189",24,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,8,13,61.5,0,9,0,1,0
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Arminia","Home","Patrick Wimmer",20,"AUT","RW","20-278",66,0,0,0,0,2,0,0,0,29,1,1,2,0.1,0.1,0.1,2,0,4,16,25,2,16,2,4,3
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Arminia","Home","Florian Krüger",18,"GER","RW","23-019",24,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,2,100,1,3,0,0,0
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Arminia","Home","Gonzalo Castro",7,"GER","AM","34-266",75,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,11,24,45.8,2,15,0,0,0
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Arminia","Home","George Bello",24,"USA","AM","20-041",15,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,5,11,45.5,2,8,0,2,2
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Arminia","Home","Sebastian Vasiliadis",39,"GRE","DM","24-151",90,0,0,0,0,0,0,1,0,36,1,2,0,0,0,0,2,0,16,27,59.3,3,15,1,0,0
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Arminia","Home","Fabian Kunze",16,"GER","DM","23-263",90,0,0,0,0,1,0,0,0,58,1,3,0,0,0,0,1,0,35,45,77.8,7,29,0,0,0
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Arminia","Home","Andrés Andrade Cedeño",30,"PAN","LB","23-139",90,0,0,0,0,0,0,0,0,61,0,0,1,0,0,0,0,0,35,54,64.8,4,25,2,2,1
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Arminia","Home","Joakim Nilsson",4,"SWE","CB","28-026",90,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,34,46,73.9,0,24,1,0,0
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Arminia","Home","Guilherme Ramos",3,"POR","CB","24-205",90,0,0,0,0,0,0,0,0,62,1,4,2,0,0,0,0,0,37,48,77.1,3,36,0,0,0
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Arminia","Home","Cédric Brunner",27,"SUI","RB","28-015",75,0,0,0,0,1,0,1,0,47,2,4,0,0,0,0,0,0,20,37,54.1,2,21,0,2,1
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Arminia","Home","Nathan de Medina",15,"BEL","RB","24-147",15,0,0,0,0,0,0,0,0,17,1,1,0,0,0,0,0,0,7,13,53.8,0,11,0,1,0
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Arminia","Home","Stefan Ortega",1,"GER","GK","29-118",90,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,49,69,71,1,46,0,0,0
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Augsburg","Away","Michael Gregoritsch",11,"AUT","FW","27-320",90,0,0,0,0,2,0,1,0,40,1,0,0,0.3,0.3,0,1,0,19,33,57.6,2,13,0,1,1
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Augsburg","Away","Ruben Vargas",16,"SUI","AM","23-211",67,0,0,0,0,2,0,0,0,36,0,0,0,0,0,0,1,1,14,23,60.9,4,21,5,8,4
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Augsburg","Away","Mads Pedersen",3,"DEN","AM","25-184",23,0,0,0,0,0,0,1,0,19,2,0,0,0,0,0,0,0,9,12,75,1,6,0,0,0
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Augsburg","Away","Noah Joel Sarenren Bazee",17,"NGA","AM","25-195",67,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,7,16,43.8,1,7,2,2,2
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Augsburg","Away","André Hahn",28,"GER","AM","31-203",23,0,0,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,6,8,75,1,4,0,0,0
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Augsburg","Away","Carlos Gruezo",8,"ECU","CM","26-319",90,0,0,0,0,1,0,1,0,41,1,1,1,0,0,0,1,0,19,28,67.9,2,16,0,0,0
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Augsburg","Away","Arne Maier",10,"GER","CM","23-055",86,0,0,0,0,0,0,0,0,54,2,2,2,0,0,0,2,0,30,39,76.9,3,34,1,0,0
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Augsburg","Away","Jan Morávek",14,"CZE","CM","32-123",4,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,4,25,0,0,0,0,0
"Fußball-Bundesliga","2022-03-04","Fußball-Bundesliga (Matchweek 25)","Arminia","4-2-3-1",0,0.2,"","3","0","Augsburg","3-4-3",1,0.5,"Daniel Caligiuri · 50&rsquor;","5","0","https://fbref.com/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga","Augsburg","Away","Iago",22,"BRA","WB","24-346",90,0,1,0,0,0,0,0,0,60,1,1,3,0,0,0.2,4,1,34,49,69.4,5,21,4,1,0
