"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-10-03","Fußball-Bundesliga (Matchweek 7)","Arminia","4-4-2",0,0.4,"","4","0","Bayer Leverkusen","4-2-3-1",4,3.1,"Moussa Diaby · 18&rsquor; Patrik Schick · 24&rsquor; Patrik Schick · 57&rsquor; Kerem Demirbay (P) · 90+2&rsquor;","1","0","https://fbref.com/en/matches/2103b5e4/Arminia-Bayer-Leverkusen-October-3-2021-Bundesliga","Arminia","Home","Fabian Klos",9,"GER","FW","33-305",76,0,0,0,0,3,1,0,0,29,0,0,1,0.2,0.2,0,0,0,11,22,50,1,6,0,0,0
"Fußball-Bundesliga","2021-10-03","Fußball-Bundesliga (Matchweek 7)","Arminia","4-4-2",0,0.4,"","4","0","Bayer Leverkusen","4-2-3-1",4,3.1,"Moussa Diaby · 18&rsquor; Patrik Schick · 24&rsquor; Patrik Schick · 57&rsquor; Kerem Demirbay (P) · 90+2&rsquor;","1","0","https://fbref.com/en/matches/2103b5e4/Arminia-Bayer-Leverkusen-October-3-2021-Bundesliga","Arminia","Home","Bryan Lasme",10,"FRA","FW","22-323",14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
"Fußball-Bundesliga","2021-10-03","Fußball-Bundesliga (Matchweek 7)","Arminia","4-4-2",0,0.4,"","4","0","Bayer Leverkusen","4-2-3-1",4,3.1,"Moussa Diaby · 18&rsquor; Patrik Schick · 24&rsquor; Patrik Schick · 57&rsquor; Kerem Demirbay (P) · 90+2&rsquor;","1","0","https://fbref.com/en/matches/2103b5e4/Arminia-Bayer-Leverkusen-October-3-2021-Bundesliga","Arminia","Home","Robin Hack",21,"GER","FW,RM","23-037",76,0,0,0,0,0,0,0,0,29,0,0,2,0,0,0,2,0,7,15,46.7,2,17,1,4,4
"Fußball-Bundesliga","2021-10-03","Fußball-Bundesliga (Matchweek 7)","Arminia","4-4-2",0,0.4,"","4","0","Bayer Leverkusen","4-2-3-1",4,3.1,"Moussa Diaby · 18&rsquor; Patrik Schick · 24&rsquor; Patrik Schick · 57&rsquor; Kerem Demirbay (P) · 90+2&rsquor;","1","0","https://fbref.com/en/matches/2103b5e4/Arminia-Bayer-Leverkusen-October-3-2021-Bundesliga","Arminia","Home","Edimilson Fernandes",22,"SUI","AM","25-171",14,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,8,100,0,6,0,0,0
"Fußball-Bundesliga","2021-10-03","Fußball-Bundesliga (Matchweek 7)","Arminia","4-4-2",0,0.4,"","4","0","Bayer Leverkusen","4-2-3-1",4,3.1,"Moussa Diaby · 18&rsquor; Patrik Schick · 24&rsquor; Patrik Schick · 57&rsquor; Kerem Demirbay (P) · 90+2&rsquor;","1","0","https://fbref.com/en/matches/2103b5e4/Arminia-Bayer-Leverkusen-October-3-2021-Bundesliga","Arminia","Home","Masaya Okugawa",11,"JPN","LM,FW","25-172",90,0,0,0,0,1,0,0,0,22,0,0,1,0,0,0,2,0,13,17,76.5,1,13,1,0,0
"Fußball-Bundesliga","2021-10-03","Fußball-Bundesliga (Matchweek 7)","Arminia","4-4-2",0,0.4,"","4","0","Bayer Leverkusen","4-2-3-1",4,3.1,"Moussa Diaby · 18&rsquor; Patrik Schick · 24&rsquor; Patrik Schick · 57&rsquor; Kerem Demirbay (P) · 90+2&rsquor;","1","0","https://fbref.com/en/matches/2103b5e4/Arminia-Bayer-Leverkusen-October-3-2021-Bundesliga","Arminia","Home","Alessandro Schöpf",8,"AUT","CM","27-238",61,0,0,0,0,2,1,0,0,31,0,0,4,0.1,0.1,0.1,2,0,14,19,73.7,3,13,2,2,2
"Fußball-Bundesliga","2021-10-03","Fußball-Bundesliga (Matchweek 7)","Arminia","4-4-2",0,0.4,"","4","0","Bayer Leverkusen","4-2-3-1",4,3.1,"Moussa Diaby · 18&rsquor; Patrik Schick · 24&rsquor; Patrik Schick · 57&rsquor; Kerem Demirbay (P) · 90+2&rsquor;","1","0","https://fbref.com/en/matches/2103b5e4/Arminia-Bayer-Leverkusen-October-3-2021-Bundesliga","Arminia","Home","Fabian Kunze",16,"GER","CM,RM","23-111",29,0,0,0,0,0,0,0,0,11,2,1,1,0,0,0,0,0,7,9,77.8,1,9,0,0,0
"Fußball-Bundesliga","2021-10-03","Fußball-Bundesliga (Matchweek 7)","Arminia","4-4-2",0,0.4,"","4","0","Bayer Leverkusen","4-2-3-1",4,3.1,"Moussa Diaby · 18&rsquor; Patrik Schick · 24&rsquor; Patrik Schick · 57&rsquor; Kerem Demirbay (P) · 90+2&rsquor;","1","0","https://fbref.com/en/matches/2103b5e4/Arminia-Bayer-Leverkusen-October-3-2021-Bundesliga","Arminia","Home","Manuel Prietl",19,"AUT","CM","30-061",90,0,0,0,0,1,0,0,0,42,3,4,1,0,0,0,2,0,27,30,90,4,29,0,1,1
"Fußball-Bundesliga","2021-10-03","Fußball-Bundesliga (Matchweek 7)","Arminia","4-4-2",0,0.4,"","4","0","Bayer Leverkusen","4-2-3-1",4,3.1,"Moussa Diaby · 18&rsquor; Patrik Schick · 24&rsquor; Patrik Schick · 57&rsquor; Kerem Demirbay (P) · 90+2&rsquor;","1","0","https://fbref.com/en/matches/2103b5e4/Arminia-Bayer-Leverkusen-October-3-2021-Bundesliga","Arminia","Home","Patrick Wimmer",20,"AUT","RM","20-126",61,0,0,0,0,3,0,1,0,44,2,2,5,0.1,0.1,0.2,7,0,16,25,64,6,24,2,1,0
"Fußball-Bundesliga","2021-10-03","Fußball-Bundesliga (Matchweek 7)","Arminia","4-4-2",0,0.4,"","4","0","Bayer Leverkusen","4-2-3-1",4,3.1,"Moussa Diaby · 18&rsquor; Patrik Schick · 24&rsquor; Patrik Schick · 57&rsquor; Kerem Demirbay (P) · 90+2&rsquor;","1","0","https://fbref.com/en/matches/2103b5e4/Arminia-Bayer-Leverkusen-October-3-2021-Bundesliga","Arminia","Home","Florian Krüger",18,"GER","LM","22-232",29,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0.1,1,0,2,6,33.3,0,8,0,2,0
