"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Arminia","4-1-2-1-2",0,0.4,"","3","0","Freiburg","3-4-3",0,1.6,"","4","0","https://fbref.com/en/matches/e4331e7c/Arminia-Freiburg-August-14-2021-Bundesliga","Arminia","Home","Bryan Lasme",10,"FRA","FW","22-273",76,0,0,0,0,2,0,0,0,20,3,0,0,0,0,0,0,0,5,8,62.5,0,10,0,0,0
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Arminia","4-1-2-1-2",0,0.4,"","3","0","Freiburg","3-4-3",0,1.6,"","4","0","https://fbref.com/en/matches/e4331e7c/Arminia-Freiburg-August-14-2021-Bundesliga","Arminia","Home","Florian Krüger",18,"GER","FW","22-182",14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,3,33.3,0,2,0,1,0
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Arminia","4-1-2-1-2",0,0.4,"","3","0","Freiburg","3-4-3",0,1.6,"","4","0","https://fbref.com/en/matches/e4331e7c/Arminia-Freiburg-August-14-2021-Bundesliga","Arminia","Home","Fabian Klos",9,"GER","FW","33-255",89,0,0,0,0,4,1,1,0,45,0,0,0,0.2,0.2,0,2,0,13,33,39.4,5,17,2,0,0
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Arminia","4-1-2-1-2",0,0.4,"","3","0","Freiburg","3-4-3",0,1.6,"","4","0","https://fbref.com/en/matches/e4331e7c/Arminia-Freiburg-August-14-2021-Bundesliga","Arminia","Home","Janni Serra",23,"GER","FW","23-154",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Arminia","4-1-2-1-2",0,0.4,"","3","0","Freiburg","3-4-3",0,1.6,"","4","0","https://fbref.com/en/matches/e4331e7c/Arminia-Freiburg-August-14-2021-Bundesliga","Arminia","Home","Masaya Okugawa",11,"JPN","AM","25-122",66,0,0,0,0,2,2,0,0,19,2,0,1,0.2,0.2,0,1,0,4,12,33.3,0,10,4,3,1
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Arminia","4-1-2-1-2",0,0.4,"","3","0","Freiburg","3-4-3",0,1.6,"","4","0","https://fbref.com/en/matches/e4331e7c/Arminia-Freiburg-August-14-2021-Bundesliga","Arminia","Home","Robin Hack",21,"GER","AM","22-352",24,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,2,0,3,5,60,0,6,0,0,0
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Arminia","4-1-2-1-2",0,0.4,"","3","0","Freiburg","3-4-3",0,1.6,"","4","0","https://fbref.com/en/matches/e4331e7c/Arminia-Freiburg-August-14-2021-Bundesliga","Arminia","Home","Alessandro Schöpf",8,"AUT","LM","27-188",90,0,0,0,0,1,0,0,0,40,2,1,0,0,0,0.1,2,0,16,27,59.3,1,11,2,2,1
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Arminia","4-1-2-1-2",0,0.4,"","3","0","Freiburg","3-4-3",0,1.6,"","4","0","https://fbref.com/en/matches/e4331e7c/Arminia-Freiburg-August-14-2021-Bundesliga","Arminia","Home","Fabian Kunze",16,"GER","RM","23-061",90,0,0,0,0,0,0,0,0,33,2,0,0,0,0,0.1,2,0,19,25,76,5,12,0,1,1
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Arminia","4-1-2-1-2",0,0.4,"","3","0","Freiburg","3-4-3",0,1.6,"","4","0","https://fbref.com/en/matches/e4331e7c/Arminia-Freiburg-August-14-2021-Bundesliga","Arminia","Home","Manuel Prietl",19,"AUT","DM","30-011",90,0,0,0,0,0,0,1,0,31,2,2,2,0,0,0,0,0,19,24,79.2,1,13,0,0,0
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Arminia","4-1-2-1-2",0,0.4,"","3","0","Freiburg","3-4-3",0,1.6,"","4","0","https://fbref.com/en/matches/e4331e7c/Arminia-Freiburg-August-14-2021-Bundesliga","Arminia","Home","Jacob Barrett Laursen",5,"DEN","LB","26-270",76,0,0,0,0,1,0,1,0,42,1,1,2,0,0,0,1,0,23,38,60.5,3,9,0,1,0
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Arminia","4-1-2-1-2",0,0.4,"","3","0","Freiburg","3-4-3",0,1.6,"","4","0","https://fbref.com/en/matches/e4331e7c/Arminia-Freiburg-August-14-2021-Bundesliga","Arminia","Home","Nathan de Medina",15,"BEL","LB","23-310",14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,3,66.7,0,2,0,0,0
