"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-10-17","Fußball-Bundesliga (Matchweek 8)","Augsburg","3-5-2",1,0.6,"Reece Oxford · 19&rsquor;","3","0","Arminia","4-3-1-2",1,0.3,"Jacob Barrett Laursen · 77&rsquor;","1","0","https://fbref.com/en/matches/7154b5d1/Augsburg-Arminia-October-17-2021-Bundesliga","Augsburg","Home","Andi Zeqiri",21,"SUI","FW","22-117",66,0,0,0,0,2,0,0,0,22,0,0,0,0.1,0.1,0,3,0,6,14,42.9,2,13,2,3,1
"Fußball-Bundesliga","2021-10-17","Fußball-Bundesliga (Matchweek 8)","Augsburg","3-5-2",1,0.6,"Reece Oxford · 19&rsquor;","3","0","Arminia","4-3-1-2",1,0.3,"Jacob Barrett Laursen · 77&rsquor;","1","0","https://fbref.com/en/matches/7154b5d1/Augsburg-Arminia-October-17-2021-Bundesliga","Augsburg","Home","Jan Morávek",14,"CZE","CM,FW","31-350",24,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,1,0,3,7,42.9,0,4,0,0,0
"Fußball-Bundesliga","2021-10-17","Fußball-Bundesliga (Matchweek 8)","Augsburg","3-5-2",1,0.6,"Reece Oxford · 19&rsquor;","3","0","Arminia","4-3-1-2",1,0.3,"Jacob Barrett Laursen · 77&rsquor;","1","0","https://fbref.com/en/matches/7154b5d1/Augsburg-Arminia-October-17-2021-Bundesliga","Augsburg","Home","André Hahn",28,"GER","FW","31-065",84,0,0,0,0,2,1,1,0,22,1,0,2,0,0,0,0,0,6,12,50,1,8,0,0,0
"Fußball-Bundesliga","2021-10-17","Fußball-Bundesliga (Matchweek 8)","Augsburg","3-5-2",1,0.6,"Reece Oxford · 19&rsquor;","3","0","Arminia","4-3-1-2",1,0.3,"Jacob Barrett Laursen · 77&rsquor;","1","0","https://fbref.com/en/matches/7154b5d1/Augsburg-Arminia-October-17-2021-Bundesliga","Augsburg","Home","Alfreð Finnbogason",27,"ISL","FW","32-258",6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0
"Fußball-Bundesliga","2021-10-17","Fußball-Bundesliga (Matchweek 8)","Augsburg","3-5-2",1,0.6,"Reece Oxford · 19&rsquor;","3","0","Arminia","4-3-1-2",1,0.3,"Jacob Barrett Laursen · 77&rsquor;","1","0","https://fbref.com/en/matches/7154b5d1/Augsburg-Arminia-October-17-2021-Bundesliga","Augsburg","Home","Ruben Vargas",16,"SUI","CM","23-073",65,0,0,0,0,1,0,1,0,30,1,0,0,0,0,0,0,0,14,25,56,2,19,1,1,1
"Fußball-Bundesliga","2021-10-17","Fußball-Bundesliga (Matchweek 8)","Augsburg","3-5-2",1,0.6,"Reece Oxford · 19&rsquor;","3","0","Arminia","4-3-1-2",1,0.3,"Jacob Barrett Laursen · 77&rsquor;","1","0","https://fbref.com/en/matches/7154b5d1/Augsburg-Arminia-October-17-2021-Bundesliga","Augsburg","Home","Sergio Córdova",9,"VEN","FW,CM","24-069",25,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,2,3,66.7,0,3,0,0,0
"Fußball-Bundesliga","2021-10-17","Fußball-Bundesliga (Matchweek 8)","Augsburg","3-5-2",1,0.6,"Reece Oxford · 19&rsquor;","3","0","Arminia","4-3-1-2",1,0.3,"Jacob Barrett Laursen · 77&rsquor;","1","0","https://fbref.com/en/matches/7154b5d1/Augsburg-Arminia-October-17-2021-Bundesliga","Augsburg","Home","Tobias Strobl",5,"GER","CM","31-158",90,0,0,0,0,1,1,0,0,41,2,1,2,0,0,0,2,0,19,27,70.4,1,14,0,0,0
"Fußball-Bundesliga","2021-10-17","Fußball-Bundesliga (Matchweek 8)","Augsburg","3-5-2",1,0.6,"Reece Oxford · 19&rsquor;","3","0","Arminia","4-3-1-2",1,0.3,"Jacob Barrett Laursen · 77&rsquor;","1","0","https://fbref.com/en/matches/7154b5d1/Augsburg-Arminia-October-17-2021-Bundesliga","Augsburg","Home","Arne Maier",10,"GER","CM","22-282",90,0,0,0,0,2,1,0,0,38,1,1,1,0.1,0.1,0.1,3,0,24,31,77.4,3,17,0,1,0
"Fußball-Bundesliga","2021-10-17","Fußball-Bundesliga (Matchweek 8)","Augsburg","3-5-2",1,0.6,"Reece Oxford · 19&rsquor;","3","0","Arminia","4-3-1-2",1,0.3,"Jacob Barrett Laursen · 77&rsquor;","1","0","https://fbref.com/en/matches/7154b5d1/Augsburg-Arminia-October-17-2021-Bundesliga","Augsburg","Home","Mads Pedersen",3,"DEN","WB","25-046",78,0,0,0,0,1,0,0,0,51,3,0,2,0,0,0.1,3,0,26,39,66.7,1,19,1,0,0
"Fußball-Bundesliga","2021-10-17","Fußball-Bundesliga (Matchweek 8)","Augsburg","3-5-2",1,0.6,"Reece Oxford · 19&rsquor;","3","0","Arminia","4-3-1-2",1,0.3,"Jacob Barrett Laursen · 77&rsquor;","1","0","https://fbref.com/en/matches/7154b5d1/Augsburg-Arminia-October-17-2021-Bundesliga","Augsburg","Home","Iago",22,"BRA","WB","24-208",12,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,7,13,53.8,2,6,1,0,0
