"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-11-19","Fußball-Bundesliga (Matchweek 12)","Augsburg","4-4-2",2,0.4,"Mads Pedersen · 23&rsquor; André Hahn · 35&rsquor;","2","0","Bayern Munich","4-2-3-1",1,1.2,"Robert Lewandowski · 38&rsquor;","1","0","https://fbref.com/en/matches/75a06726/Augsburg-Bayern-Munich-November-19-2021-Bundesliga","Augsburg","Home","André Hahn",28,"GER","FW","31-098",81,1,0,0,0,1,1,1,0,29,1,0,1,0.1,0.1,0,0,0,8,17,47.1,1,8,0,3,1
"Fußball-Bundesliga","2021-11-19","Fußball-Bundesliga (Matchweek 12)","Augsburg","4-4-2",2,0.4,"Mads Pedersen · 23&rsquor; André Hahn · 35&rsquor;","2","0","Bayern Munich","4-2-3-1",1,1.2,"Robert Lewandowski · 38&rsquor;","1","0","https://fbref.com/en/matches/75a06726/Augsburg-Bayern-Munich-November-19-2021-Bundesliga","Augsburg","Home","Fredrik Jensen",24,"FIN","FW","24-071",9,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,2,7,28.6,0,3,0,0,0
"Fußball-Bundesliga","2021-11-19","Fußball-Bundesliga (Matchweek 12)","Augsburg","4-4-2",2,0.4,"Mads Pedersen · 23&rsquor; André Hahn · 35&rsquor;","2","0","Bayern Munich","4-2-3-1",1,1.2,"Robert Lewandowski · 38&rsquor;","1","0","https://fbref.com/en/matches/75a06726/Augsburg-Bayern-Munich-November-19-2021-Bundesliga","Augsburg","Home","Andi Zeqiri",21,"SUI","FW","22-150",81,0,0,0,0,0,0,0,0,18,1,1,3,0,0,0,1,1,3,6,50,0,10,1,0,0
"Fußball-Bundesliga","2021-11-19","Fußball-Bundesliga (Matchweek 12)","Augsburg","4-4-2",2,0.4,"Mads Pedersen · 23&rsquor; André Hahn · 35&rsquor;","2","0","Bayern Munich","4-2-3-1",1,1.2,"Robert Lewandowski · 38&rsquor;","1","0","https://fbref.com/en/matches/75a06726/Augsburg-Bayern-Munich-November-19-2021-Bundesliga","Augsburg","Home","Sergio Córdova",9,"VEN","FW","24-102",9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,3,66.7,1,1,0,0,0
"Fußball-Bundesliga","2021-11-19","Fußball-Bundesliga (Matchweek 12)","Augsburg","4-4-2",2,0.4,"Mads Pedersen · 23&rsquor; André Hahn · 35&rsquor;","2","0","Bayern Munich","4-2-3-1",1,1.2,"Robert Lewandowski · 38&rsquor;","1","0","https://fbref.com/en/matches/75a06726/Augsburg-Bayern-Munich-November-19-2021-Bundesliga","Augsburg","Home","Mads Pedersen",3,"DEN","LM","25-079",73,1,0,0,0,2,1,0,0,19,0,0,0,0.3,0.3,0,1,0,6,12,50,2,7,2,2,1
"Fußball-Bundesliga","2021-11-19","Fußball-Bundesliga (Matchweek 12)","Augsburg","4-4-2",2,0.4,"Mads Pedersen · 23&rsquor; André Hahn · 35&rsquor;","2","0","Bayern Munich","4-2-3-1",1,1.2,"Robert Lewandowski · 38&rsquor;","1","0","https://fbref.com/en/matches/75a06726/Augsburg-Bayern-Munich-November-19-2021-Bundesliga","Augsburg","Home","Carlos Gruezo",8,"ECU","CM","26-214",17,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2021-11-19","Fußball-Bundesliga (Matchweek 12)","Augsburg","4-4-2",2,0.4,"Mads Pedersen · 23&rsquor; André Hahn · 35&rsquor;","2","0","Bayern Munich","4-2-3-1",1,1.2,"Robert Lewandowski · 38&rsquor;","1","0","https://fbref.com/en/matches/75a06726/Augsburg-Bayern-Munich-November-19-2021-Bundesliga","Augsburg","Home","Niklas Dorsch",30,"GER","CM","23-308",73,0,0,0,0,0,0,0,0,30,5,1,1,0,0,0,0,0,16,17,94.1,1,10,0,2,1
"Fußball-Bundesliga","2021-11-19","Fußball-Bundesliga (Matchweek 12)","Augsburg","4-4-2",2,0.4,"Mads Pedersen · 23&rsquor; André Hahn · 35&rsquor;","2","0","Bayern Munich","4-2-3-1",1,1.2,"Robert Lewandowski · 38&rsquor;","1","0","https://fbref.com/en/matches/75a06726/Augsburg-Bayern-Munich-November-19-2021-Bundesliga","Augsburg","Home","Jan Morávek",14,"CZE","CM","32-018",17,0,0,0,0,0,0,0,0,9,2,0,2,0,0,0,0,0,1,5,20,0,1,0,0,0
"Fußball-Bundesliga","2021-11-19","Fußball-Bundesliga (Matchweek 12)","Augsburg","4-4-2",2,0.4,"Mads Pedersen · 23&rsquor; André Hahn · 35&rsquor;","2","0","Bayern Munich","4-2-3-1",1,1.2,"Robert Lewandowski · 38&rsquor;","1","0","https://fbref.com/en/matches/75a06726/Augsburg-Bayern-Munich-November-19-2021-Bundesliga","Augsburg","Home","Arne Maier",10,"GER","CM","22-315",90,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,1,0,20,28,71.4,3,15,2,2,1
"Fußball-Bundesliga","2021-11-19","Fußball-Bundesliga (Matchweek 12)","Augsburg","4-4-2",2,0.4,"Mads Pedersen · 23&rsquor; André Hahn · 35&rsquor;","2","0","Bayern Munich","4-2-3-1",1,1.2,"Robert Lewandowski · 38&rsquor;","1","0","https://fbref.com/en/matches/75a06726/Augsburg-Bayern-Munich-November-19-2021-Bundesliga","Augsburg","Home","Daniel Caligiuri",20,"ITA","RM","33-308",57,0,0,0,0,0,0,0,0,16,1,0,1,0,0,0,0,0,9,10,90,3,13,2,0,0
"Fußball-Bundesliga","2021-11-19","Fußball-Bundesliga (Matchweek 12)","Augsburg","4-4-2",2,0.4,"Mads Pedersen · 23&rsquor; André Hahn · 35&rsquor;","2","0","Bayern Munich","4-2-3-1",1,1.2,"Robert Lewandowski · 38&rsquor;","1","0","https://fbref.com/en/matches/75a06726/Augsburg-Bayern-Munich-November-19-2021-Bundesliga","Augsburg","Home","Raphael Framberger",32,"GER","RB,RM","26-074",33,0,0,0,0,0,0,1,0,12,2,0,0,0,0,0,0,0,5,7,71.4,2,1,0,0,0
