"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Augsburg","3-4-3",0,2.2,"","1","0","Bochum","4-3-3",1,1.1,"Christopher Antwi-Adjei · 58&rsquor;","1","0","https://fbref.com/en/matches/120ec880/Augsburg-Bochum-November-12-2022-Bundesliga","Augsburg","Home","Mergim Berisha",11,"GER","FW","24-185",90,0,0,0,1,2,0,1,0,26,0,0,0,0.8,0,0.1,2,0,8,18,44.4,0,14,0,0,0
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Augsburg","3-4-3",0,2.2,"","1","0","Bochum","4-3-3",1,1.1,"Christopher Antwi-Adjei · 58&rsquor;","1","0","https://fbref.com/en/matches/120ec880/Augsburg-Bochum-November-12-2022-Bundesliga","Augsburg","Home","Ermedin Demirović",9,"BIH","LW","24-232",90,0,0,0,0,4,1,0,0,27,0,1,0,0.4,0.4,0.7,7,0,11,17,64.7,0,19,1,5,3
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Augsburg","3-4-3",0,2.2,"","1","0","Bochum","4-3-3",1,1.1,"Christopher Antwi-Adjei · 58&rsquor;","1","0","https://fbref.com/en/matches/120ec880/Augsburg-Bochum-November-12-2022-Bundesliga","Augsburg","Home","Florian Niederlechner",7,"GER","RW","32-019",90,0,0,0,0,6,3,0,0,43,0,0,1,1,1,0,5,0,18,29,62.1,6,22,0,6,1
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Augsburg","3-4-3",0,2.2,"","1","0","Bochum","4-3-3",1,1.1,"Christopher Antwi-Adjei · 58&rsquor;","1","0","https://fbref.com/en/matches/120ec880/Augsburg-Bochum-November-12-2022-Bundesliga","Augsburg","Home","Iago",22,"BRA","LM","25-234",90,0,0,0,0,0,0,0,0,51,2,0,0,0,0,0.1,5,0,26,44,59.1,6,30,3,2,1
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Augsburg","3-4-3",0,2.2,"","1","0","Bochum","4-3-3",1,1.1,"Christopher Antwi-Adjei · 58&rsquor;","1","0","https://fbref.com/en/matches/120ec880/Augsburg-Bochum-November-12-2022-Bundesliga","Augsburg","Home","Elvis Rexhbeçaj",13,"GER","CM","25-011",75,0,0,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,17,32,53.1,3,12,0,0,0
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Augsburg","3-4-3",0,2.2,"","1","0","Bochum","4-3-3",1,1.1,"Christopher Antwi-Adjei · 58&rsquor;","1","0","https://fbref.com/en/matches/120ec880/Augsburg-Bochum-November-12-2022-Bundesliga","Augsburg","Home","Julian Baumgartlinger",14,"AUT","CM","34-314",15,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,1,0,14,15,93.3,2,10,0,0,0
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Augsburg","3-4-3",0,2.2,"","1","0","Bochum","4-3-3",1,1.1,"Christopher Antwi-Adjei · 58&rsquor;","1","0","https://fbref.com/en/matches/120ec880/Augsburg-Bochum-November-12-2022-Bundesliga","Augsburg","Home","Carlos Gruezo",8,"ECU","CM","27-207",29,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,8,100,1,6,0,0,0
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Augsburg","3-4-3",0,2.2,"","1","0","Bochum","4-3-3",1,1.1,"Christopher Antwi-Adjei · 58&rsquor;","1","0","https://fbref.com/en/matches/120ec880/Augsburg-Bochum-November-12-2022-Bundesliga","Augsburg","Home","Arne Maier",10,"GER","CM","23-308",61,0,0,0,0,0,0,0,0,48,3,0,1,0,0,0,3,0,26,39,66.7,6,19,1,0,0
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Augsburg","3-4-3",0,2.2,"","1","0","Bochum","4-3-3",1,1.1,"Christopher Antwi-Adjei · 58&rsquor;","1","0","https://fbref.com/en/matches/120ec880/Augsburg-Bochum-November-12-2022-Bundesliga","Augsburg","Home","Robert Gumny",2,"POL","RM","24-161",90,0,0,0,0,1,1,0,0,71,1,0,0,0,0,0.1,1,0,45,61,73.8,8,29,5,0,0
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Augsburg","3-4-3",0,2.2,"","1","0","Bochum","4-3-3",1,1.1,"Christopher Antwi-Adjei · 58&rsquor;","1","0","https://fbref.com/en/matches/120ec880/Augsburg-Bochum-November-12-2022-Bundesliga","Augsburg","Home","Ohis Felix Uduokhai",19,"GER","CB","25-064",90,0,0,0,0,0,0,0,0,64,1,1,0,0,0,0,1,0,40,56,71.4,2,25,1,0,0
