"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-09-02","Fußball-Bundesliga (Matchweek 3)","Augsburg","4-2-2-2",2,1.9,"Dion Drena Beljo · 35&rsquor; Ermedin Demirović · 62&rsquor;","2","0","Bochum","3-5-2",2,1.6,"Takuma Asano · 45+3&rsquor; Takuma Asano · 64&rsquor;","2","0","https://fbref.com/en/matches/c8ab18c8/Augsburg-Bochum-September-2-2023-Bundesliga","Augsburg","Home","Phillip Tietz",21,"GER","FW","26-055",65,0,0,0,0,1,0,0,0,20,1,0,0,0,0,0.4,3,0,6,10,60,2,8,0,3,1
"Fußball-Bundesliga","2023-09-02","Fußball-Bundesliga (Matchweek 3)","Augsburg","4-2-2-2",2,1.9,"Dion Drena Beljo · 35&rsquor; Ermedin Demirović · 62&rsquor;","2","0","Bochum","3-5-2",2,1.6,"Takuma Asano · 45+3&rsquor; Takuma Asano · 64&rsquor;","2","0","https://fbref.com/en/matches/c8ab18c8/Augsburg-Bochum-September-2-2023-Bundesliga","Augsburg","Home","Fredrik Jensen",24,"FIN","AM","25-358",25,0,0,0,0,1,0,0,0,13,0,0,1,0,0,0.3,2,0,2,8,25,0,3,0,0,0
"Fußball-Bundesliga","2023-09-02","Fußball-Bundesliga (Matchweek 3)","Augsburg","4-2-2-2",2,1.9,"Dion Drena Beljo · 35&rsquor; Ermedin Demirović · 62&rsquor;","2","0","Bochum","3-5-2",2,1.6,"Takuma Asano · 45+3&rsquor; Takuma Asano · 64&rsquor;","2","0","https://fbref.com/en/matches/c8ab18c8/Augsburg-Bochum-September-2-2023-Bundesliga","Augsburg","Home","Dion Drena Beljo",7,"CRO","FW","21-185",86,1,0,0,0,3,2,0,0,29,0,0,1,0.7,0.7,0,3,2,12,18,66.7,2,15,3,3,1
"Fußball-Bundesliga","2023-09-02","Fußball-Bundesliga (Matchweek 3)","Augsburg","4-2-2-2",2,1.9,"Dion Drena Beljo · 35&rsquor; Ermedin Demirović · 62&rsquor;","2","0","Bochum","3-5-2",2,1.6,"Takuma Asano · 45+3&rsquor; Takuma Asano · 64&rsquor;","2","0","https://fbref.com/en/matches/c8ab18c8/Augsburg-Bochum-September-2-2023-Bundesliga","Augsburg","Home","Arne Maier",10,"GER","FW","24-237",4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Fußball-Bundesliga","2023-09-02","Fußball-Bundesliga (Matchweek 3)","Augsburg","4-2-2-2",2,1.9,"Dion Drena Beljo · 35&rsquor; Ermedin Demirović · 62&rsquor;","2","0","Bochum","3-5-2",2,1.6,"Takuma Asano · 45+3&rsquor; Takuma Asano · 64&rsquor;","2","0","https://fbref.com/en/matches/c8ab18c8/Augsburg-Bochum-September-2-2023-Bundesliga","Augsburg","Home","Ermedin Demirović",9,"BIH","AM,FW","25-161",90,1,1,0,0,4,1,0,0,38,1,0,2,1.2,1.2,0.3,3,1,12,24,50,3,13,0,3,1
"Fußball-Bundesliga","2023-09-02","Fußball-Bundesliga (Matchweek 3)","Augsburg","4-2-2-2",2,1.9,"Dion Drena Beljo · 35&rsquor; Ermedin Demirović · 62&rsquor;","2","0","Bochum","3-5-2",2,1.6,"Takuma Asano · 45+3&rsquor; Takuma Asano · 64&rsquor;","2","0","https://fbref.com/en/matches/c8ab18c8/Augsburg-Bochum-September-2-2023-Bundesliga","Augsburg","Home","Ruben Vargas",16,"SUI","AM","25-028",77,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0.1,2,0,14,21,66.7,1,14,0,2,1
"Fußball-Bundesliga","2023-09-02","Fußball-Bundesliga (Matchweek 3)","Augsburg","4-2-2-2",2,1.9,"Dion Drena Beljo · 35&rsquor; Ermedin Demirović · 62&rsquor;","2","0","Bochum","3-5-2",2,1.6,"Takuma Asano · 45+3&rsquor; Takuma Asano · 64&rsquor;","2","0","https://fbref.com/en/matches/c8ab18c8/Augsburg-Bochum-September-2-2023-Bundesliga","Augsburg","Home","Irvin Cardona",48,"FRA","AM","26-025",13,0,0,0,0,1,0,0,0,4,0,0,0,0.2,0.2,0,0,0,1,1,100,0,1,0,0,0
"Fußball-Bundesliga","2023-09-02","Fußball-Bundesliga (Matchweek 3)","Augsburg","4-2-2-2",2,1.9,"Dion Drena Beljo · 35&rsquor; Ermedin Demirović · 62&rsquor;","2","0","Bochum","3-5-2",2,1.6,"Takuma Asano · 45+3&rsquor; Takuma Asano · 64&rsquor;","2","0","https://fbref.com/en/matches/c8ab18c8/Augsburg-Bochum-September-2-2023-Bundesliga","Augsburg","Home","Niklas Dorsch",30,"GER","DM","25-230",90,0,0,0,0,0,0,0,0,38,1,1,2,0,0,0,0,0,17,25,68,3,11,0,0,0
"Fußball-Bundesliga","2023-09-02","Fußball-Bundesliga (Matchweek 3)","Augsburg","4-2-2-2",2,1.9,"Dion Drena Beljo · 35&rsquor; Ermedin Demirović · 62&rsquor;","2","0","Bochum","3-5-2",2,1.6,"Takuma Asano · 45+3&rsquor; Takuma Asano · 64&rsquor;","2","0","https://fbref.com/en/matches/c8ab18c8/Augsburg-Bochum-September-2-2023-Bundesliga","Augsburg","Home","Elvis Rexhbeçaj",8,"GER","DM","25-305",77,0,0,0,0,0,0,1,0,27,2,2,1,0,0,0,1,0,11,18,61.1,1,7,1,1,0
"Fußball-Bundesliga","2023-09-02","Fußball-Bundesliga (Matchweek 3)","Augsburg","4-2-2-2",2,1.9,"Dion Drena Beljo · 35&rsquor; Ermedin Demirović · 62&rsquor;","2","0","Bochum","3-5-2",2,1.6,"Takuma Asano · 45+3&rsquor; Takuma Asano · 64&rsquor;","2","0","https://fbref.com/en/matches/c8ab18c8/Augsburg-Bochum-September-2-2023-Bundesliga","Augsburg","Home","Tim Breithaupt",18,"GER","DM","21-207",13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,3,66.7,0,1,0,0,0
