"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-01-16","Fußball-Bundesliga (Matchweek 19)","Augsburg","4-4-2",1,1,"Michael Gregoritsch · 38&rsquor;","3","0","Eintracht Frankfurt","3-4-3",1,2.6,"Daichi Kamada · 22&rsquor;","3","0","https://fbref.com/en/matches/c63c7a3d/Augsburg-Eintracht-Frankfurt-January-16-2022-Bundesliga","Augsburg","Home","Michael Gregoritsch",11,"AUT","FW","27-273",67,1,0,0,0,1,1,1,0,31,0,1,3,0.1,0.1,0.1,1,0,14,23,60.9,2,5,0,0,0
"Fußball-Bundesliga","2022-01-16","Fußball-Bundesliga (Matchweek 19)","Augsburg","4-4-2",1,1,"Michael Gregoritsch · 38&rsquor;","3","0","Eintracht Frankfurt","3-4-3",1,2.6,"Daichi Kamada · 22&rsquor;","3","0","https://fbref.com/en/matches/c63c7a3d/Augsburg-Eintracht-Frankfurt-January-16-2022-Bundesliga","Augsburg","Home","Florian Niederlechner",7,"GER","FW","31-084",23,0,0,0,0,1,1,1,0,8,0,0,1,0.4,0.4,0,0,0,4,5,80,1,1,0,0,0
"Fußball-Bundesliga","2022-01-16","Fußball-Bundesliga (Matchweek 19)","Augsburg","4-4-2",1,1,"Michael Gregoritsch · 38&rsquor;","3","0","Eintracht Frankfurt","3-4-3",1,2.6,"Daichi Kamada · 22&rsquor;","3","0","https://fbref.com/en/matches/c63c7a3d/Augsburg-Eintracht-Frankfurt-January-16-2022-Bundesliga","Augsburg","Home","Ricardo Pepi",18,"USA","FW,LW","19-007",83,0,0,0,0,2,1,0,0,32,1,0,3,0.2,0.2,0,1,0,15,22,68.2,0,13,1,1,1
"Fußball-Bundesliga","2022-01-16","Fußball-Bundesliga (Matchweek 19)","Augsburg","4-4-2",1,1,"Michael Gregoritsch · 38&rsquor;","3","0","Eintracht Frankfurt","3-4-3",1,2.6,"Daichi Kamada · 22&rsquor;","3","0","https://fbref.com/en/matches/c63c7a3d/Augsburg-Eintracht-Frankfurt-January-16-2022-Bundesliga","Augsburg","Home","Alfreð Finnbogason",27,"ISL","LW","32-349",7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.4,1,0,4,6,66.7,2,3,0,2,2
"Fußball-Bundesliga","2022-01-16","Fußball-Bundesliga (Matchweek 19)","Augsburg","4-4-2",1,1,"Michael Gregoritsch · 38&rsquor;","3","0","Eintracht Frankfurt","3-4-3",1,2.6,"Daichi Kamada · 22&rsquor;","3","0","https://fbref.com/en/matches/c63c7a3d/Augsburg-Eintracht-Frankfurt-January-16-2022-Bundesliga","Augsburg","Home","Andi Zeqiri",21,"SUI","LM","22-208",45,0,0,0,0,0,0,1,0,17,2,0,3,0,0,0,0,0,5,9,55.6,0,5,0,1,0
"Fußball-Bundesliga","2022-01-16","Fußball-Bundesliga (Matchweek 19)","Augsburg","4-4-2",1,1,"Michael Gregoritsch · 38&rsquor;","3","0","Eintracht Frankfurt","3-4-3",1,2.6,"Daichi Kamada · 22&rsquor;","3","0","https://fbref.com/en/matches/c63c7a3d/Augsburg-Eintracht-Frankfurt-January-16-2022-Bundesliga","Augsburg","Home","Mads Pedersen",3,"DEN","LM","25-137",45,0,0,0,0,1,0,0,0,27,1,0,1,0.1,0.1,0.1,1,0,8,18,44.4,0,9,1,2,0
"Fußball-Bundesliga","2022-01-16","Fußball-Bundesliga (Matchweek 19)","Augsburg","4-4-2",1,1,"Michael Gregoritsch · 38&rsquor;","3","0","Eintracht Frankfurt","3-4-3",1,2.6,"Daichi Kamada · 22&rsquor;","3","0","https://fbref.com/en/matches/c63c7a3d/Augsburg-Eintracht-Frankfurt-January-16-2022-Bundesliga","Augsburg","Home","Niklas Dorsch",30,"GER","CM","24-001",90,0,0,0,0,1,0,0,0,69,1,2,0,0,0,0,1,0,47,55,85.5,3,35,0,6,3
"Fußball-Bundesliga","2022-01-16","Fußball-Bundesliga (Matchweek 19)","Augsburg","4-4-2",1,1,"Michael Gregoritsch · 38&rsquor;","3","0","Eintracht Frankfurt","3-4-3",1,2.6,"Daichi Kamada · 22&rsquor;","3","0","https://fbref.com/en/matches/c63c7a3d/Augsburg-Eintracht-Frankfurt-January-16-2022-Bundesliga","Augsburg","Home","Arne Maier",10,"GER","CM","23-008",90,0,0,0,0,1,1,0,0,66,1,1,0,0,0,0,1,0,44,60,73.3,10,31,2,0,0
"Fußball-Bundesliga","2022-01-16","Fußball-Bundesliga (Matchweek 19)","Augsburg","4-4-2",1,1,"Michael Gregoritsch · 38&rsquor;","3","0","Eintracht Frankfurt","3-4-3",1,2.6,"Daichi Kamada · 22&rsquor;","3","0","https://fbref.com/en/matches/c63c7a3d/Augsburg-Eintracht-Frankfurt-January-16-2022-Bundesliga","Augsburg","Home","Ruben Vargas",16,"SUI","RM","23-164",67,0,0,0,0,1,0,0,0,40,1,2,0,0,0,0,4,0,18,27,66.7,1,21,4,6,2
"Fußball-Bundesliga","2022-01-16","Fußball-Bundesliga (Matchweek 19)","Augsburg","4-4-2",1,1,"Michael Gregoritsch · 38&rsquor;","3","0","Eintracht Frankfurt","3-4-3",1,2.6,"Daichi Kamada · 22&rsquor;","3","0","https://fbref.com/en/matches/c63c7a3d/Augsburg-Eintracht-Frankfurt-January-16-2022-Bundesliga","Augsburg","Home","André Hahn",28,"GER","RM,RW","31-156",23,0,0,0,0,1,0,0,0,14,2,0,0,0,0,0,0,0,4,10,40,2,8,0,0,0
