"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Augsburg","4-2-3-1",0,0.6,"","1","0","Hoffenheim","4-2-3-1",4,3.8,"Jacob Bruun Larsen · 37&rsquor; Sargis Adamyan · 78&rsquor; Georginio Rutter · 87&rsquor; Sebastian Rudy · 90+5&rsquor;","2","0","https://fbref.com/en/matches/eee6b64c/Augsburg-Hoffenheim-August-14-2021-Bundesliga","Augsburg","Home","Florian Niederlechner",7,"GER","FW","30-294",90,0,0,0,0,1,0,0,0,25,0,0,3,0.1,0.1,0.1,3,0,12,14,85.7,0,13,0,2,0
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Augsburg","4-2-3-1",0,0.6,"","1","0","Hoffenheim","4-2-3-1",4,3.8,"Jacob Bruun Larsen · 37&rsquor; Sargis Adamyan · 78&rsquor; Georginio Rutter · 87&rsquor; Sebastian Rudy · 90+5&rsquor;","2","0","https://fbref.com/en/matches/eee6b64c/Augsburg-Hoffenheim-August-14-2021-Bundesliga","Augsburg","Home","Ruben Vargas",16,"SUI","LW","23-009",80,0,0,0,0,1,0,0,0,45,2,2,1,0.2,0.2,0.1,1,0,19,26,73.1,2,27,2,3,0
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Augsburg","4-2-3-1",0,0.6,"","1","0","Hoffenheim","4-2-3-1",4,3.8,"Jacob Bruun Larsen · 37&rsquor; Sargis Adamyan · 78&rsquor; Georginio Rutter · 87&rsquor; Sebastian Rudy · 90+5&rsquor;","2","0","https://fbref.com/en/matches/eee6b64c/Augsburg-Hoffenheim-August-14-2021-Bundesliga","Augsburg","Home","Noah Joel Sarenren Bazee",17,"NGA","LW","24-358",10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Augsburg","4-2-3-1",0,0.6,"","1","0","Hoffenheim","4-2-3-1",4,3.8,"Jacob Bruun Larsen · 37&rsquor; Sargis Adamyan · 78&rsquor; Georginio Rutter · 87&rsquor; Sebastian Rudy · 90+5&rsquor;","2","0","https://fbref.com/en/matches/eee6b64c/Augsburg-Hoffenheim-August-14-2021-Bundesliga","Augsburg","Home","André Hahn",28,"GER","RW","31-001",63,0,0,0,0,1,0,0,0,16,1,0,1,0.1,0.1,0,1,0,3,11,27.3,0,13,1,3,2
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Augsburg","4-2-3-1",0,0.6,"","1","0","Hoffenheim","4-2-3-1",4,3.8,"Jacob Bruun Larsen · 37&rsquor; Sargis Adamyan · 78&rsquor; Georginio Rutter · 87&rsquor; Sebastian Rudy · 90+5&rsquor;","2","0","https://fbref.com/en/matches/eee6b64c/Augsburg-Hoffenheim-August-14-2021-Bundesliga","Augsburg","Home","Daniel Caligiuri",20,"ITA","RW","33-211",27,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,7,71.4,1,5,0,0,0
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Augsburg","4-2-3-1",0,0.6,"","1","0","Hoffenheim","4-2-3-1",4,3.8,"Jacob Bruun Larsen · 37&rsquor; Sargis Adamyan · 78&rsquor; Georginio Rutter · 87&rsquor; Sebastian Rudy · 90+5&rsquor;","2","0","https://fbref.com/en/matches/eee6b64c/Augsburg-Hoffenheim-August-14-2021-Bundesliga","Augsburg","Home","Fredrik Jensen",24,"FIN","AM","23-339",63,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0.4,5,0,15,21,71.4,2,14,5,0,0
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Augsburg","4-2-3-1",0,0.6,"","1","0","Hoffenheim","4-2-3-1",4,3.8,"Jacob Bruun Larsen · 37&rsquor; Sargis Adamyan · 78&rsquor; Georginio Rutter · 87&rsquor; Sebastian Rudy · 90+5&rsquor;","2","0","https://fbref.com/en/matches/eee6b64c/Augsburg-Hoffenheim-August-14-2021-Bundesliga","Augsburg","Home","Michael Gregoritsch",11,"AUT","AM","27-118",27,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,3,5,60,0,3,1,0,0
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Augsburg","4-2-3-1",0,0.6,"","1","0","Hoffenheim","4-2-3-1",4,3.8,"Jacob Bruun Larsen · 37&rsquor; Sargis Adamyan · 78&rsquor; Georginio Rutter · 87&rsquor; Sebastian Rudy · 90+5&rsquor;","2","0","https://fbref.com/en/matches/eee6b64c/Augsburg-Hoffenheim-August-14-2021-Bundesliga","Augsburg","Home","Niklas Dorsch",30,"GER","DM","23-211",90,0,0,0,0,0,0,0,0,50,1,0,3,0,0,0,0,0,35,41,85.4,3,26,0,1,1
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Augsburg","4-2-3-1",0,0.6,"","1","0","Hoffenheim","4-2-3-1",4,3.8,"Jacob Bruun Larsen · 37&rsquor; Sargis Adamyan · 78&rsquor; Georginio Rutter · 87&rsquor; Sebastian Rudy · 90+5&rsquor;","2","0","https://fbref.com/en/matches/eee6b64c/Augsburg-Hoffenheim-August-14-2021-Bundesliga","Augsburg","Home","Jan Morávek",14,"CZE","DM","31-286",58,0,0,0,0,0,0,0,0,28,0,0,2,0,0,0,2,0,16,20,80,3,13,1,3,1
"Fußball-Bundesliga","2021-08-14","Fußball-Bundesliga (Matchweek 1)","Augsburg","4-2-3-1",0,0.6,"","1","0","Hoffenheim","4-2-3-1",4,3.8,"Jacob Bruun Larsen · 37&rsquor; Sargis Adamyan · 78&rsquor; Georginio Rutter · 87&rsquor; Sebastian Rudy · 90+5&rsquor;","2","0","https://fbref.com/en/matches/eee6b64c/Augsburg-Hoffenheim-August-14-2021-Bundesliga","Augsburg","Home","Arne Maier",10,"GER","DM","22-218",32,0,0,0,0,1,0,0,0,16,0,0,1,0,0,0,1,0,7,12,58.3,0,12,0,0,0
