"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Augsburg","3-4-3",1,1.7,"Florian Niederlechner · 73&rsquor;","2","0","Köln","4-1-3-2",4,2.5,"Jan Thielmann · 12&rsquor; Mark Uth · 15&rsquor; Anthony Modeste (P) · 63&rsquor; Anthony Modeste · 77&rsquor;","4","0","https://fbref.com/en/matches/9d63dd8a/Augsburg-Koln-April-30-2022-Bundesliga","Augsburg","Home","Michael Gregoritsch",11,"AUT","FW","28-012",90,0,0,0,0,5,2,0,0,50,0,1,1,0.3,0.3,0,3,0,20,36,55.6,4,26,2,4,1
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Augsburg","3-4-3",1,1.7,"Florian Niederlechner · 73&rsquor;","2","0","Köln","4-1-3-2",4,2.5,"Jan Thielmann · 12&rsquor; Mark Uth · 15&rsquor; Anthony Modeste (P) · 63&rsquor; Anthony Modeste · 77&rsquor;","4","0","https://fbref.com/en/matches/9d63dd8a/Augsburg-Koln-April-30-2022-Bundesliga","Augsburg","Home","Ruben Vargas",16,"SUI","AM","23-268",90,0,0,0,0,2,0,0,0,32,2,1,0,0.2,0.2,0.1,2,0,14,21,66.7,1,26,3,11,5
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Augsburg","3-4-3",1,1.7,"Florian Niederlechner · 73&rsquor;","2","0","Köln","4-1-3-2",4,2.5,"Jan Thielmann · 12&rsquor; Mark Uth · 15&rsquor; Anthony Modeste (P) · 63&rsquor; Anthony Modeste · 77&rsquor;","4","0","https://fbref.com/en/matches/9d63dd8a/Augsburg-Koln-April-30-2022-Bundesliga","Augsburg","Home","André Hahn",28,"GER","AM","31-260",60,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0.1,1,0,7,14,50,0,9,1,3,1
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Augsburg","3-4-3",1,1.7,"Florian Niederlechner · 73&rsquor;","2","0","Köln","4-1-3-2",4,2.5,"Jan Thielmann · 12&rsquor; Mark Uth · 15&rsquor; Anthony Modeste (P) · 63&rsquor; Anthony Modeste · 77&rsquor;","4","0","https://fbref.com/en/matches/9d63dd8a/Augsburg-Koln-April-30-2022-Bundesliga","Augsburg","Home","Florian Niederlechner",7,"GER","AM","31-188",30,1,0,0,0,2,2,0,0,11,0,1,0,0.7,0.7,0,0,0,3,5,60,0,7,0,2,1
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Augsburg","3-4-3",1,1.7,"Florian Niederlechner · 73&rsquor;","2","0","Köln","4-1-3-2",4,2.5,"Jan Thielmann · 12&rsquor; Mark Uth · 15&rsquor; Anthony Modeste (P) · 63&rsquor; Anthony Modeste · 77&rsquor;","4","0","https://fbref.com/en/matches/9d63dd8a/Augsburg-Koln-April-30-2022-Bundesliga","Augsburg","Home","Niklas Dorsch",30,"GER","CM","24-105",90,0,0,0,0,0,0,0,0,32,3,1,1,0,0,0,2,0,20,26,76.9,4,23,2,3,3
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Augsburg","3-4-3",1,1.7,"Florian Niederlechner · 73&rsquor;","2","0","Köln","4-1-3-2",4,2.5,"Jan Thielmann · 12&rsquor; Mark Uth · 15&rsquor; Anthony Modeste (P) · 63&rsquor; Anthony Modeste · 77&rsquor;","4","0","https://fbref.com/en/matches/9d63dd8a/Augsburg-Koln-April-30-2022-Bundesliga","Augsburg","Home","Carlos Gruezo",8,"ECU","CM","27-011",60,0,0,0,0,0,0,1,0,23,3,0,0,0,0,0,2,0,12,19,63.2,2,13,0,0,0
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Augsburg","3-4-3",1,1.7,"Florian Niederlechner · 73&rsquor;","2","0","Köln","4-1-3-2",4,2.5,"Jan Thielmann · 12&rsquor; Mark Uth · 15&rsquor; Anthony Modeste (P) · 63&rsquor; Anthony Modeste · 77&rsquor;","4","0","https://fbref.com/en/matches/9d63dd8a/Augsburg-Koln-April-30-2022-Bundesliga","Augsburg","Home","Arne Maier",10,"GER","CM","23-112",30,0,1,0,0,1,0,0,0,24,0,0,0,0,0,0.3,2,1,15,21,71.4,2,18,1,0,0
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Augsburg","3-4-3",1,1.7,"Florian Niederlechner · 73&rsquor;","2","0","Köln","4-1-3-2",4,2.5,"Jan Thielmann · 12&rsquor; Mark Uth · 15&rsquor; Anthony Modeste (P) · 63&rsquor; Anthony Modeste · 77&rsquor;","4","0","https://fbref.com/en/matches/9d63dd8a/Augsburg-Koln-April-30-2022-Bundesliga","Augsburg","Home","Iago",22,"BRA","WB","25-038",49,0,0,0,0,1,0,0,0,32,2,1,1,0.1,0.1,0.1,2,0,17,25,68,1,17,1,3,2
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Augsburg","3-4-3",1,1.7,"Florian Niederlechner · 73&rsquor;","2","0","Köln","4-1-3-2",4,2.5,"Jan Thielmann · 12&rsquor; Mark Uth · 15&rsquor; Anthony Modeste (P) · 63&rsquor; Anthony Modeste · 77&rsquor;","4","0","https://fbref.com/en/matches/9d63dd8a/Augsburg-Koln-April-30-2022-Bundesliga","Augsburg","Home","Ohis Felix Uduokhai",19,"GER","WB","24-233",41,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,17,23,73.9,4,15,1,2,1
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Augsburg","3-4-3",1,1.7,"Florian Niederlechner · 73&rsquor;","2","0","Köln","4-1-3-2",4,2.5,"Jan Thielmann · 12&rsquor; Mark Uth · 15&rsquor; Anthony Modeste (P) · 63&rsquor; Anthony Modeste · 77&rsquor;","4","0","https://fbref.com/en/matches/9d63dd8a/Augsburg-Koln-April-30-2022-Bundesliga","Augsburg","Home","Daniel Caligiuri",20,"ITA","WB","34-105",79,0,0,0,0,0,0,0,0,55,0,1,0,0,0,0.5,4,1,33,48,68.8,2,37,4,5,2
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Augsburg","3-4-3",1,1.7,"Florian Niederlechner · 73&rsquor;","2","0","Köln","4-1-3-2",4,2.5,"Jan Thielmann · 12&rsquor; Mark Uth · 15&rsquor; Anthony Modeste (P) · 63&rsquor; Anthony Modeste · 77&rsquor;","4","0","https://fbref.com/en/matches/9d63dd8a/Augsburg-Koln-April-30-2022-Bundesliga","Augsburg","Home","Alfreð Finnbogason",27,"ISL","WB","33-088",11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
