"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-04-06","Fußball-Bundesliga (Matchweek 26)","Augsburg","3-4-3",2,1.8,"Jeffrey Gouweleeuw (P) · 11&rsquor; Ruben Vargas · 56&rsquor;","3","0","Mainz 05","3-5-2",1,1.8,"Silvan Widmer · 54&rsquor;","2","0","https://fbref.com/en/matches/d614186f/Augsburg-Mainz-05-April-6-2022-Bundesliga","Augsburg","Home","Florian Niederlechner",7,"GER","FW","31-164",70,0,0,0,0,1,0,0,0,13,1,0,0,0.2,0.2,0,2,1,7,10,70,1,9,1,0,0
"Fußball-Bundesliga","2022-04-06","Fußball-Bundesliga (Matchweek 26)","Augsburg","3-4-3",2,1.8,"Jeffrey Gouweleeuw (P) · 11&rsquor; Ruben Vargas · 56&rsquor;","3","0","Mainz 05","3-5-2",1,1.8,"Silvan Widmer · 54&rsquor;","2","0","https://fbref.com/en/matches/d614186f/Augsburg-Mainz-05-April-6-2022-Bundesliga","Augsburg","Home","Ricardo Pepi",18,"USA","FW","19-087",20,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,2,50,0,4,0,0,0
"Fußball-Bundesliga","2022-04-06","Fußball-Bundesliga (Matchweek 26)","Augsburg","3-4-3",2,1.8,"Jeffrey Gouweleeuw (P) · 11&rsquor; Ruben Vargas · 56&rsquor;","3","0","Mainz 05","3-5-2",1,1.8,"Silvan Widmer · 54&rsquor;","2","0","https://fbref.com/en/matches/d614186f/Augsburg-Mainz-05-April-6-2022-Bundesliga","Augsburg","Home","Mads Pedersen",3,"DEN","AM","25-217",53,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.3,2,0,5,11,45.5,1,9,2,0,0
"Fußball-Bundesliga","2022-04-06","Fußball-Bundesliga (Matchweek 26)","Augsburg","3-4-3",2,1.8,"Jeffrey Gouweleeuw (P) · 11&rsquor; Ruben Vargas · 56&rsquor;","3","0","Mainz 05","3-5-2",1,1.8,"Silvan Widmer · 54&rsquor;","2","0","https://fbref.com/en/matches/d614186f/Augsburg-Mainz-05-April-6-2022-Bundesliga","Augsburg","Home","Ruben Vargas",16,"SUI","AM","23-244",37,1,0,0,0,4,2,0,0,15,0,0,0,0.4,0.4,0,1,1,2,6,33.3,1,10,3,0,0
"Fußball-Bundesliga","2022-04-06","Fußball-Bundesliga (Matchweek 26)","Augsburg","3-4-3",2,1.8,"Jeffrey Gouweleeuw (P) · 11&rsquor; Ruben Vargas · 56&rsquor;","3","0","Mainz 05","3-5-2",1,1.8,"Silvan Widmer · 54&rsquor;","2","0","https://fbref.com/en/matches/d614186f/Augsburg-Mainz-05-April-6-2022-Bundesliga","Augsburg","Home","André Hahn",28,"GER","AM","31-236",87,0,1,0,0,1,0,0,0,29,2,1,0,0.1,0.1,0.5,2,0,6,13,46.2,0,16,1,1,0
"Fußball-Bundesliga","2022-04-06","Fußball-Bundesliga (Matchweek 26)","Augsburg","3-4-3",2,1.8,"Jeffrey Gouweleeuw (P) · 11&rsquor; Ruben Vargas · 56&rsquor;","3","0","Mainz 05","3-5-2",1,1.8,"Silvan Widmer · 54&rsquor;","2","0","https://fbref.com/en/matches/d614186f/Augsburg-Mainz-05-April-6-2022-Bundesliga","Augsburg","Home","Jan Morávek",14,"CZE","AM","32-156",3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0
"Fußball-Bundesliga","2022-04-06","Fußball-Bundesliga (Matchweek 26)","Augsburg","3-4-3",2,1.8,"Jeffrey Gouweleeuw (P) · 11&rsquor; Ruben Vargas · 56&rsquor;","3","0","Mainz 05","3-5-2",1,1.8,"Silvan Widmer · 54&rsquor;","2","0","https://fbref.com/en/matches/d614186f/Augsburg-Mainz-05-April-6-2022-Bundesliga","Augsburg","Home","Niklas Dorsch",30,"GER","CM","24-081",90,0,0,0,0,0,0,0,0,39,3,3,0,0,0,0,0,0,18,28,64.3,1,21,0,0,0
"Fußball-Bundesliga","2022-04-06","Fußball-Bundesliga (Matchweek 26)","Augsburg","3-4-3",2,1.8,"Jeffrey Gouweleeuw (P) · 11&rsquor; Ruben Vargas · 56&rsquor;","3","0","Mainz 05","3-5-2",1,1.8,"Silvan Widmer · 54&rsquor;","2","0","https://fbref.com/en/matches/d614186f/Augsburg-Mainz-05-April-6-2022-Bundesliga","Augsburg","Home","Arne Maier",10,"GER","CM","23-088",53,0,0,0,0,2,0,0,0,26,0,0,0,0.2,0.2,0,2,0,13,18,72.2,1,11,1,2,0
"Fußball-Bundesliga","2022-04-06","Fußball-Bundesliga (Matchweek 26)","Augsburg","3-4-3",2,1.8,"Jeffrey Gouweleeuw (P) · 11&rsquor; Ruben Vargas · 56&rsquor;","3","0","Mainz 05","3-5-2",1,1.8,"Silvan Widmer · 54&rsquor;","2","0","https://fbref.com/en/matches/d614186f/Augsburg-Mainz-05-April-6-2022-Bundesliga","Augsburg","Home","Carlos Gruezo",8,"ECU","CM","26-352",37,0,0,0,0,0,0,1,0,18,1,1,2,0,0,0,1,0,8,13,61.5,1,7,0,0,0
"Fußball-Bundesliga","2022-04-06","Fußball-Bundesliga (Matchweek 26)","Augsburg","3-4-3",2,1.8,"Jeffrey Gouweleeuw (P) · 11&rsquor; Ruben Vargas · 56&rsquor;","3","0","Mainz 05","3-5-2",1,1.8,"Silvan Widmer · 54&rsquor;","2","0","https://fbref.com/en/matches/d614186f/Augsburg-Mainz-05-April-6-2022-Bundesliga","Augsburg","Home","Iago",22,"BRA","WB","25-014",90,0,0,0,0,0,0,0,0,44,2,2,1,0,0,0,2,0,21,34,61.8,5,28,2,1,0
