"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Augsburg","3-4-3",1,0.5,"Ermedin Demirović · 35&rsquor;","2","0","Mainz 05","3-5-2",2,2.1,"Karim Onisiwo · 31&rsquor; Lee Jae-sung · 90+3&rsquor;","2","0","https://fbref.com/en/matches/5c135cd8/Augsburg-Mainz-05-August-20-2022-Bundesliga","Augsburg","Home","Ermedin Demirović",9,"BIH","FW","24-148",70,1,0,0,0,1,1,0,0,25,0,0,2,0.2,0.2,0,1,0,4,13,30.8,1,10,0,3,0
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Augsburg","3-4-3",1,0.5,"Ermedin Demirović · 35&rsquor;","2","0","Mainz 05","3-5-2",2,2.1,"Karim Onisiwo · 31&rsquor; Lee Jae-sung · 90+3&rsquor;","2","0","https://fbref.com/en/matches/5c135cd8/Augsburg-Mainz-05-August-20-2022-Bundesliga","Augsburg","Home","André Hahn",28,"GER","AM","32-007",20,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,NA,0,2,0,0,0
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Augsburg","3-4-3",1,0.5,"Ermedin Demirović · 35&rsquor;","2","0","Mainz 05","3-5-2",2,2.1,"Karim Onisiwo · 31&rsquor; Lee Jae-sung · 90+3&rsquor;","2","0","https://fbref.com/en/matches/5c135cd8/Augsburg-Mainz-05-August-20-2022-Bundesliga","Augsburg","Home","Fredrik Jensen",24,"FIN","AM","24-345",67,0,0,0,0,1,0,0,0,17,1,0,1,0.1,0.1,0,0,0,4,11,36.4,1,7,0,1,0
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Augsburg","3-4-3",1,0.5,"Ermedin Demirović · 35&rsquor;","2","0","Mainz 05","3-5-2",2,2.1,"Karim Onisiwo · 31&rsquor; Lee Jae-sung · 90+3&rsquor;","2","0","https://fbref.com/en/matches/5c135cd8/Augsburg-Mainz-05-August-20-2022-Bundesliga","Augsburg","Home","Ricardo Pepi",18,"USA","FW","19-223",23,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,1,3,33.3,0,2,0,2,2
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Augsburg","3-4-3",1,0.5,"Ermedin Demirović · 35&rsquor;","2","0","Mainz 05","3-5-2",2,2.1,"Karim Onisiwo · 31&rsquor; Lee Jae-sung · 90+3&rsquor;","2","0","https://fbref.com/en/matches/5c135cd8/Augsburg-Mainz-05-August-20-2022-Bundesliga","Augsburg","Home","Arne Maier",10,"GER","AM","23-224",67,0,0,0,0,2,1,0,0,29,0,0,0,0.1,0.1,0.1,4,0,18,24,75,2,11,1,1,0
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Augsburg","3-4-3",1,0.5,"Ermedin Demirović · 35&rsquor;","2","0","Mainz 05","3-5-2",2,2.1,"Karim Onisiwo · 31&rsquor; Lee Jae-sung · 90+3&rsquor;","2","0","https://fbref.com/en/matches/5c135cd8/Augsburg-Mainz-05-August-20-2022-Bundesliga","Augsburg","Home","Ruben Vargas",16,"SUI","CM","24-015",23,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,1,0,2,5,40,0,7,1,2,1
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Augsburg","3-4-3",1,0.5,"Ermedin Demirović · 35&rsquor;","2","0","Mainz 05","3-5-2",2,2.1,"Karim Onisiwo · 31&rsquor; Lee Jae-sung · 90+3&rsquor;","2","0","https://fbref.com/en/matches/5c135cd8/Augsburg-Mainz-05-August-20-2022-Bundesliga","Augsburg","Home","Elvis Rexhbeçaj",13,"GER","CM","24-292",90,0,0,0,0,0,0,1,0,38,0,0,1,0,0,0,1,0,23,34,67.6,6,18,0,2,1
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Augsburg","3-4-3",1,0.5,"Ermedin Demirović · 35&rsquor;","2","0","Mainz 05","3-5-2",2,2.1,"Karim Onisiwo · 31&rsquor; Lee Jae-sung · 90+3&rsquor;","2","0","https://fbref.com/en/matches/5c135cd8/Augsburg-Mainz-05-August-20-2022-Bundesliga","Augsburg","Home","Carlos Gruezo",8,"ECU","CM","27-123",84,0,0,0,0,0,0,0,0,36,1,2,0,0,0,0,1,0,27,30,90,2,27,0,0,0
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Augsburg","3-4-3",1,0.5,"Ermedin Demirović · 35&rsquor;","2","0","Mainz 05","3-5-2",2,2.1,"Karim Onisiwo · 31&rsquor; Lee Jae-sung · 90+3&rsquor;","2","0","https://fbref.com/en/matches/5c135cd8/Augsburg-Mainz-05-August-20-2022-Bundesliga","Augsburg","Home","Julian Baumgartlinger",14,"AUT","AM","34-230",6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,100,0,2,0,0,0
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Augsburg","3-4-3",1,0.5,"Ermedin Demirović · 35&rsquor;","2","0","Mainz 05","3-5-2",2,2.1,"Karim Onisiwo · 31&rsquor; Lee Jae-sung · 90+3&rsquor;","2","0","https://fbref.com/en/matches/5c135cd8/Augsburg-Mainz-05-August-20-2022-Bundesliga","Augsburg","Home","Iago",22,"BRA","WB","25-150",90,0,0,0,0,0,0,0,0,56,2,1,0,0,0,0,1,1,31,47,66,4,18,1,1,1
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Augsburg","3-4-3",1,0.5,"Ermedin Demirović · 35&rsquor;","2","0","Mainz 05","3-5-2",2,2.1,"Karim Onisiwo · 31&rsquor; Lee Jae-sung · 90+3&rsquor;","2","0","https://fbref.com/en/matches/5c135cd8/Augsburg-Mainz-05-August-20-2022-Bundesliga","Augsburg","Home","Mads Pedersen",3,"DEN","WB","25-353",84,0,0,0,0,1,0,0,0,44,2,0,0,0,0,0,1,0,24,37,64.9,0,19,1,0,0
