"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-4-3",2,0.8,"Ermedin Demirović · 15&rsquor; Ermedin Demirović · 45&rsquor; Arne Engels · 62&rsquor;","2","1","Mainz 05","3-4-3",1,0.6,"Ludovic Ajorque · 6&rsquor;","3","0","https://fbref.com/en/matches/6ac8a673/Augsburg-Mainz-05-September-23-2023-Bundesliga","Augsburg","Home","Phillip Tietz",21,"GER","FW","26-076",64,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2,1,10,18,55.6,0,13,0,1,1
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-4-3",2,0.8,"Ermedin Demirović · 15&rsquor; Ermedin Demirović · 45&rsquor; Arne Engels · 62&rsquor;","2","1","Mainz 05","3-4-3",1,0.6,"Ludovic Ajorque · 6&rsquor;","3","0","https://fbref.com/en/matches/6ac8a673/Augsburg-Mainz-05-September-23-2023-Bundesliga","Augsburg","Home","Tim Breithaupt",18,"GER","CM,FW","21-228",26,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,4,7,57.1,0,4,0,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-4-3",2,0.8,"Ermedin Demirović · 15&rsquor; Ermedin Demirović · 45&rsquor; Arne Engels · 62&rsquor;","2","1","Mainz 05","3-4-3",1,0.6,"Ludovic Ajorque · 6&rsquor;","3","0","https://fbref.com/en/matches/6ac8a673/Augsburg-Mainz-05-September-23-2023-Bundesliga","Augsburg","Home","Ermedin Demirović",9,"BIH","AM","25-182",88,2,0,0,0,2,2,0,0,25,1,1,1,0.7,0.7,0,1,0,10,16,62.5,2,9,0,1,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-4-3",2,0.8,"Ermedin Demirović · 15&rsquor; Ermedin Demirović · 45&rsquor; Arne Engels · 62&rsquor;","2","1","Mainz 05","3-4-3",1,0.6,"Ludovic Ajorque · 6&rsquor;","3","0","https://fbref.com/en/matches/6ac8a673/Augsburg-Mainz-05-September-23-2023-Bundesliga","Augsburg","Home","Dion Drena Beljo",7,"CRO","AM","21-206",2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,3,66.7,0,1,0,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-4-3",2,0.8,"Ermedin Demirović · 15&rsquor; Ermedin Demirović · 45&rsquor; Arne Engels · 62&rsquor;","2","1","Mainz 05","3-4-3",1,0.6,"Ludovic Ajorque · 6&rsquor;","3","0","https://fbref.com/en/matches/6ac8a673/Augsburg-Mainz-05-September-23-2023-Bundesliga","Augsburg","Home","Ruben Vargas",16,"SUI","AM","25-049",64,0,0,0,0,0,0,0,0,32,2,0,3,0,0,0,1,0,9,17,52.9,2,20,3,2,1
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-4-3",2,0.8,"Ermedin Demirović · 15&rsquor; Ermedin Demirović · 45&rsquor; Arne Engels · 62&rsquor;","2","1","Mainz 05","3-4-3",1,0.6,"Ludovic Ajorque · 6&rsquor;","3","0","https://fbref.com/en/matches/6ac8a673/Augsburg-Mainz-05-September-23-2023-Bundesliga","Augsburg","Home","Sven Michel",20,"GER","AM","33-070",26,0,0,0,0,1,1,0,0,10,0,0,0,0,0,0,0,0,2,3,66.7,0,7,0,2,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-4-3",2,0.8,"Ermedin Demirović · 15&rsquor; Ermedin Demirović · 45&rsquor; Arne Engels · 62&rsquor;","2","1","Mainz 05","3-4-3",1,0.6,"Ludovic Ajorque · 6&rsquor;","3","0","https://fbref.com/en/matches/6ac8a673/Augsburg-Mainz-05-September-23-2023-Bundesliga","Augsburg","Home","Arne Engels",27,"BEL","CM","20-015",61,0,0,0,0,0,0,0,1,33,2,1,1,0,0,0,1,0,16,25,64,0,16,1,2,1
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-4-3",2,0.8,"Ermedin Demirović · 15&rsquor; Ermedin Demirović · 45&rsquor; Arne Engels · 62&rsquor;","2","1","Mainz 05","3-4-3",1,0.6,"Ludovic Ajorque · 6&rsquor;","3","0","https://fbref.com/en/matches/6ac8a673/Augsburg-Mainz-05-September-23-2023-Bundesliga","Augsburg","Home","Elvis Rexhbeçaj",8,"GER","CM","25-326",88,0,0,0,0,2,0,0,0,47,3,0,0,0,0,0,0,0,24,36,66.7,2,19,0,2,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-4-3",2,0.8,"Ermedin Demirović · 15&rsquor; Ermedin Demirović · 45&rsquor; Arne Engels · 62&rsquor;","2","1","Mainz 05","3-4-3",1,0.6,"Ludovic Ajorque · 6&rsquor;","3","0","https://fbref.com/en/matches/6ac8a673/Augsburg-Mainz-05-September-23-2023-Bundesliga","Augsburg","Home","Niklas Dorsch",30,"GER","CM","25-251",2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,100,0,2,0,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-4-3",2,0.8,"Ermedin Demirović · 15&rsquor; Ermedin Demirović · 45&rsquor; Arne Engels · 62&rsquor;","2","1","Mainz 05","3-4-3",1,0.6,"Ludovic Ajorque · 6&rsquor;","3","0","https://fbref.com/en/matches/6ac8a673/Augsburg-Mainz-05-September-23-2023-Bundesliga","Augsburg","Home","Iago",22,"BRA","WB","26-184",90,0,0,0,0,0,0,0,0,41,4,1,1,0,0,0,1,1,20,29,69,3,16,0,3,1
