"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-09-18","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-5-2",1,0.3,"Florian Niederlechner · 80&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,0.6,"","2","0","https://fbref.com/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga","Augsburg","Home","Andi Zeqiri",21,"SUI","FW","22-088",65,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,1,0,5,5,100,1,7,0,1,1
"Fußball-Bundesliga","2021-09-18","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-5-2",1,0.3,"Florian Niederlechner · 80&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,0.6,"","2","0","https://fbref.com/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga","Augsburg","Home","Florian Niederlechner",7,"GER","FW","30-329",25,1,0,0,0,1,1,0,0,8,0,0,0,0.2,0.2,0,0,0,1,6,16.7,0,4,0,1,0
"Fußball-Bundesliga","2021-09-18","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-5-2",1,0.3,"Florian Niederlechner · 80&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,0.6,"","2","0","https://fbref.com/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga","Augsburg","Home","Ruben Vargas",16,"SUI","FW,CM","23-044",84,0,1,0,0,1,0,0,0,31,0,0,0,0,0,0.2,1,1,14,24,58.3,1,23,3,6,5
"Fußball-Bundesliga","2021-09-18","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-5-2",1,0.3,"Florian Niederlechner · 80&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,0.6,"","2","0","https://fbref.com/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga","Augsburg","Home","Arne Maier",10,"GER","CM","22-253",6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,66.7,1,2,0,0,0
"Fußball-Bundesliga","2021-09-18","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-5-2",1,0.3,"Florian Niederlechner · 80&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,0.6,"","2","0","https://fbref.com/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga","Augsburg","Home","Daniel Caligiuri",20,"ITA","CM","33-246",84,0,0,0,0,0,0,0,0,40,3,1,3,0,0,0,0,0,11,22,50,1,16,0,4,3
"Fußball-Bundesliga","2021-09-18","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-5-2",1,0.3,"Florian Niederlechner · 80&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,0.6,"","2","0","https://fbref.com/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga","Augsburg","Home","Fredrik Jensen",24,"FIN","CM","24-009",6,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,3,3,100,0,0,0,0,0
"Fußball-Bundesliga","2021-09-18","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-5-2",1,0.3,"Florian Niederlechner · 80&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,0.6,"","2","0","https://fbref.com/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga","Augsburg","Home","Niklas Dorsch",30,"GER","CM","23-246",90,0,0,0,0,1,0,0,0,31,5,0,2,0,0,0,1,0,16,20,80,3,11,0,1,1
"Fußball-Bundesliga","2021-09-18","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-5-2",1,0.3,"Florian Niederlechner · 80&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,0.6,"","2","0","https://fbref.com/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga","Augsburg","Home","André Hahn",28,"GER","CM,WB","31-036",90,0,0,0,0,1,0,1,0,30,1,0,1,0,0,0,0,0,9,21,42.9,1,13,1,1,1
"Fußball-Bundesliga","2021-09-18","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-5-2",1,0.3,"Florian Niederlechner · 80&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,0.6,"","2","0","https://fbref.com/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga","Augsburg","Home","Iago",22,"BRA","WB","24-179",43,0,0,0,0,0,0,0,0,20,2,0,1,0,0,0,2,0,15,17,88.2,1,9,1,0,0
"Fußball-Bundesliga","2021-09-18","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-5-2",1,0.3,"Florian Niederlechner · 80&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,0.6,"","2","0","https://fbref.com/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga","Augsburg","Home","Mads Pedersen",3,"DEN","WB","25-017",47,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,10,15,66.7,0,4,0,1,0
"Fußball-Bundesliga","2021-09-18","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-5-2",1,0.3,"Florian Niederlechner · 80&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,0.6,"","2","0","https://fbref.com/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga","Augsburg","Home","Raphael Framberger",32,"GER","WB","26-012",65,0,0,0,0,0,0,0,0,38,1,0,0,0,0,0,1,0,19,31,61.3,2,14,1,0,0
"Fußball-Bundesliga","2021-09-18","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-5-2",1,0.3,"Florian Niederlechner · 80&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,0.6,"","2","0","https://fbref.com/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga","Augsburg","Home","Sergio Córdova",9,"VEN","FW","24-040",25,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,3,66.7,0,4,0,2,1
"Fußball-Bundesliga","2021-09-18","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-5-2",1,0.3,"Florian Niederlechner · 80&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,0.6,"","2","0","https://fbref.com/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga","Augsburg","Home","Reece Oxford",4,"ENG","CB","22-276",90,0,0,0,0,0,0,0,0,42,4,5,1,0,0,0,1,0,20,24,83.3,1,17,1,1,1
"Fußball-Bundesliga","2021-09-18","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-5-2",1,0.3,"Florian Niederlechner · 80&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,0.6,"","2","0","https://fbref.com/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga","Augsburg","Home","Jeffrey Gouweleeuw",6,"NED","CB","30-070",90,0,0,0,0,0,0,0,0,45,2,2,1,0,0,0,0,0,14,28,50,2,18,0,0,0
"Fußball-Bundesliga","2021-09-18","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-5-2",1,0.3,"Florian Niederlechner · 80&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,0.6,"","2","0","https://fbref.com/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga","Augsburg","Home","Robert Gumny",2,"POL","CB","23-106",90,0,0,0,0,1,0,0,0,36,1,2,1,0,0,0,1,0,17,24,70.8,1,17,0,1,0
"Fußball-Bundesliga","2021-09-18","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-5-2",1,0.3,"Florian Niederlechner · 80&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,0.6,"","2","0","https://fbref.com/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga","Augsburg","Home","Rafał Gikiewicz",1,"POL","GK","33-327",90,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,1,18,31,58.1,0,18,0,0,0
"Fußball-Bundesliga","2021-09-18","Fußball-Bundesliga (Matchweek 5)","Augsburg","3-5-2",1,0.3,"Florian Niederlechner · 80&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,0.6,"","2","0","https://fbref.com/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga","Mönchengladbach","Away","Alassane Pléa",14,"FRA","FW","28-192",90,0,0,0,0,4,0,0,0,25,0,0,0,0.3,0.3,0,3,0,13,16,81.3,2,19,2,2,1
