"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-03-18","Fußball-Bundesliga (Matchweek 25)","Augsburg","4-4-2",1,0.3,"Arne Maier · 51&rsquor; Ermedin Demirović · 53&rsquor;","4","1","Schalke 04","4-3-3",1,1.8,"Marius Bülter (P) · 90+3&rsquor;","4","0","https://fbref.com/en/matches/0a29bb4d/Augsburg-Schalke-04-March-18-2023-Bundesliga","Augsburg","Home","Ermedin Demirović",9,"BIH","FW","24-358",52,0,1,0,0,0,0,0,1,20,0,0,1,0,0,0.1,2,1,8,13,61.5,3,13,1,1,0
"Fußball-Bundesliga","2023-03-18","Fußball-Bundesliga (Matchweek 25)","Augsburg","4-4-2",1,0.3,"Arne Maier · 51&rsquor; Ermedin Demirović · 53&rsquor;","4","1","Schalke 04","4-3-3",1,1.8,"Marius Bülter (P) · 90+3&rsquor;","4","0","https://fbref.com/en/matches/0a29bb4d/Augsburg-Schalke-04-March-18-2023-Bundesliga","Augsburg","Home","Mergim Berisha",11,"GER","FW","24-311",73,0,0,0,0,1,0,0,0,13,1,0,0,0,0,0,0,0,1,6,16.7,0,6,0,0,0
"Fußball-Bundesliga","2023-03-18","Fußball-Bundesliga (Matchweek 25)","Augsburg","4-4-2",1,0.3,"Arne Maier · 51&rsquor; Ermedin Demirović · 53&rsquor;","4","1","Schalke 04","4-3-3",1,1.8,"Marius Bülter (P) · 90+3&rsquor;","4","0","https://fbref.com/en/matches/0a29bb4d/Augsburg-Schalke-04-March-18-2023-Bundesliga","Augsburg","Home","Dion Drena Beljo",7,"CRO","FW","21-017",17,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,7,57.1,0,1,0,0,0
"Fußball-Bundesliga","2023-03-18","Fußball-Bundesliga (Matchweek 25)","Augsburg","4-4-2",1,0.3,"Arne Maier · 51&rsquor; Ermedin Demirović · 53&rsquor;","4","1","Schalke 04","4-3-3",1,1.8,"Marius Bülter (P) · 90+3&rsquor;","4","0","https://fbref.com/en/matches/0a29bb4d/Augsburg-Schalke-04-March-18-2023-Bundesliga","Augsburg","Home","Ruben Vargas",16,"SUI","LM","24-225",73,0,0,0,0,2,1,1,0,30,1,0,0,0,0,0.1,2,0,15,24,62.5,2,10,0,0,0
"Fußball-Bundesliga","2023-03-18","Fußball-Bundesliga (Matchweek 25)","Augsburg","4-4-2",1,0.3,"Arne Maier · 51&rsquor; Ermedin Demirović · 53&rsquor;","4","1","Schalke 04","4-3-3",1,1.8,"Marius Bülter (P) · 90+3&rsquor;","4","0","https://fbref.com/en/matches/0a29bb4d/Augsburg-Schalke-04-March-18-2023-Bundesliga","Augsburg","Home","Irvin Cardona",48,"FRA","LM","25-222",17,0,0,0,0,0,0,1,0,9,1,0,0,0,0,0,1,0,2,4,50,0,5,1,0,0
"Fußball-Bundesliga","2023-03-18","Fußball-Bundesliga (Matchweek 25)","Augsburg","4-4-2",1,0.3,"Arne Maier · 51&rsquor; Ermedin Demirović · 53&rsquor;","4","1","Schalke 04","4-3-3",1,1.8,"Marius Bülter (P) · 90+3&rsquor;","4","0","https://fbref.com/en/matches/0a29bb4d/Augsburg-Schalke-04-March-18-2023-Bundesliga","Augsburg","Home","Elvis Rexhbeçaj",13,"GER","CM","25-137",73,0,0,0,0,1,1,0,0,24,1,0,0,0,0,0,1,0,14,19,73.7,1,7,0,1,0
"Fußball-Bundesliga","2023-03-18","Fußball-Bundesliga (Matchweek 25)","Augsburg","4-4-2",1,0.3,"Arne Maier · 51&rsquor; Ermedin Demirović · 53&rsquor;","4","1","Schalke 04","4-3-3",1,1.8,"Marius Bülter (P) · 90+3&rsquor;","4","0","https://fbref.com/en/matches/0a29bb4d/Augsburg-Schalke-04-March-18-2023-Bundesliga","Augsburg","Home","Julian Baumgartlinger",14,"AUT","CM","35-075",17,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,2,3,66.7,0,2,0,0,0
"Fußball-Bundesliga","2023-03-18","Fußball-Bundesliga (Matchweek 25)","Augsburg","4-4-2",1,0.3,"Arne Maier · 51&rsquor; Ermedin Demirović · 53&rsquor;","4","1","Schalke 04","4-3-3",1,1.8,"Marius Bülter (P) · 90+3&rsquor;","4","0","https://fbref.com/en/matches/0a29bb4d/Augsburg-Schalke-04-March-18-2023-Bundesliga","Augsburg","Home","Arne Engels",27,"BEL","CM","19-191",90,0,0,0,0,2,0,0,0,36,2,0,0,0,0,0,1,0,14,30,46.7,2,15,1,0,0
"Fußball-Bundesliga","2023-03-18","Fußball-Bundesliga (Matchweek 25)","Augsburg","4-4-2",1,0.3,"Arne Maier · 51&rsquor; Ermedin Demirović · 53&rsquor;","4","1","Schalke 04","4-3-3",1,1.8,"Marius Bülter (P) · 90+3&rsquor;","4","0","https://fbref.com/en/matches/0a29bb4d/Augsburg-Schalke-04-March-18-2023-Bundesliga","Augsburg","Home","Arne Maier",10,"GER","RM","24-069",84,1,0,0,0,1,1,0,0,36,3,0,0,0.1,0.1,0,2,1,19,27,70.4,3,13,0,1,0
"Fußball-Bundesliga","2023-03-18","Fußball-Bundesliga (Matchweek 25)","Augsburg","4-4-2",1,0.3,"Arne Maier · 51&rsquor; Ermedin Demirović · 53&rsquor;","4","1","Schalke 04","4-3-3",1,1.8,"Marius Bülter (P) · 90+3&rsquor;","4","0","https://fbref.com/en/matches/0a29bb4d/Augsburg-Schalke-04-March-18-2023-Bundesliga","Augsburg","Home","Mads Pedersen",3,"DEN","RM","26-198",6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,100,1,1,1,1,0
