"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Augsburg","Home","Michael Gregoritsch",11,"AUT","FW","27-293",90,1,0,0,0,3,2,0,0,39,0,2,2,0.7,0.7,0.3,3,0,15,26,57.7,4,10,0,1,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Augsburg","Home","Florian Niederlechner",7,"GER","FW","31-104",73,0,1,0,0,4,1,0,0,20,0,0,0,0.4,0.4,0,7,1,10,13,76.9,1,7,3,2,1
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Augsburg","Home","Andi Zeqiri",21,"SUI","FW","22-228",17,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,4,6,66.7,0,5,0,1,1
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Augsburg","Home","Ruben Vargas",16,"SUI","AM","23-184",79,0,0,0,0,2,1,0,0,35,2,0,2,0.7,0.7,0,1,0,18,20,90,0,20,1,2,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Augsburg","Home","Ohis Felix Uduokhai",19,"GER","LB","24-149",11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,7,57.1,1,1,0,0,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Augsburg","Home","André Hahn",28,"GER","AM,RM","31-176",86,1,0,0,0,1,1,0,0,36,3,0,1,0,0,0,1,0,11,18,61.1,1,13,0,1,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Augsburg","Home","Noah Joel Sarenren Bazee",17,"NGA","RM","25-168",4,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,1,100,0,3,0,1,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Augsburg","Home","Niklas Dorsch",30,"GER","DM,CM","24-021",90,0,0,0,0,0,0,0,0,64,1,0,1,0,0,0,1,0,47,54,87,2,37,0,1,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Augsburg","Home","Arne Maier",10,"GER","DM,CM","23-028",86,0,0,0,0,1,1,0,0,53,1,0,0,0.1,0.1,0.1,3,0,33,45,73.3,7,23,2,0,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Augsburg","Home","Jan Morávek",14,"CZE","CM","32-096",4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,3,4,75,1,2,0,1,1
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Augsburg","Home","Iago",22,"BRA","LB","24-319",79,0,0,0,0,0,0,0,0,67,3,2,1,0,0,0,1,1,38,53,71.7,2,18,0,1,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Augsburg","Home","Mads Pedersen",3,"DEN","LM","25-157",11,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,2,6,33.3,1,2,0,0,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Augsburg","Home","Reece Oxford",4,"ENG","CB","23-051",90,0,0,0,0,0,0,0,0,60,0,2,0,0,0,0,0,0,37,47,78.7,0,31,0,0,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Augsburg","Home","Jeffrey Gouweleeuw",6,"NED","CB","30-210",90,0,0,0,0,1,0,0,0,54,1,0,2,0,0,0,0,0,32,46,69.6,3,28,0,0,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Augsburg","Home","Raphael Framberger",32,"GER","RB","26-152",90,0,0,0,0,0,0,0,0,55,3,0,0,0,0,0.1,3,0,38,47,80.9,1,22,2,1,1
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Augsburg","Home","Rafał Gikiewicz",1,"POL","GK","34-102",90,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,1,0,23,35,65.7,0,13,0,0,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Union Berlin","Away","Andreas Voglsammer",9,"GER","FW","30-027",60,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,1,0,6,12,50,0,7,0,1,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Union Berlin","Away","Sven Michel",10,"GER","FW","31-205",30,0,0,0,0,1,0,0,0,14,0,0,1,0,0,0,2,0,5,6,83.3,0,5,1,1,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Augsburg","4-2-2-2",2,1.8,"Michael Gregoritsch · 16&rsquor; André Hahn · 59&rsquor;","0","0","Union Berlin","3-5-2",0,1.7,"","2","0","https://fbref.com/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga","Union Berlin","Away","Taiwo Awoniyi",14,"NGA","FW","24-177",74,0,0,0,0,2,0,0,0,28,0,0,0,0.2,0.2,0.1,1,0,12,16,75,0,16,0,3,2
