"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-05-06","Fußball-Bundesliga (Matchweek 31)","Augsburg","3-4-3",1,0.9,"Dion Drena Beljo · 53&rsquor;","2","0","Union Berlin","3-5-2",0,0.7,"","2","0","https://fbref.com/en/matches/e3d5bffe/Augsburg-Union-Berlin-May-6-2023-Bundesliga","Augsburg","Home","Dion Drena Beljo",7,"CRO","FW","21-066",84,1,0,0,0,2,1,0,0,15,0,0,1,0.3,0.3,0,4,0,7,10,70,1,6,0,1,1
"Fußball-Bundesliga","2023-05-06","Fußball-Bundesliga (Matchweek 31)","Augsburg","3-4-3",1,0.9,"Dion Drena Beljo · 53&rsquor;","2","0","Union Berlin","3-5-2",0,0.7,"","2","0","https://fbref.com/en/matches/e3d5bffe/Augsburg-Union-Berlin-May-6-2023-Bundesliga","Augsburg","Home","Mergim Berisha",11,"GER","FW","24-360",6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Fußball-Bundesliga","2023-05-06","Fußball-Bundesliga (Matchweek 31)","Augsburg","3-4-3",1,0.9,"Dion Drena Beljo · 53&rsquor;","2","0","Union Berlin","3-5-2",0,0.7,"","2","0","https://fbref.com/en/matches/e3d5bffe/Augsburg-Union-Berlin-May-6-2023-Bundesliga","Augsburg","Home","Ermedin Demirović",9,"BIH","LW","25-042",89,0,0,0,0,5,1,0,0,32,1,0,1,0.4,0.4,0.1,2,0,11,22,50,1,15,2,1,1
"Fußball-Bundesliga","2023-05-06","Fußball-Bundesliga (Matchweek 31)","Augsburg","3-4-3",1,0.9,"Dion Drena Beljo · 53&rsquor;","2","0","Union Berlin","3-5-2",0,0.7,"","2","0","https://fbref.com/en/matches/e3d5bffe/Augsburg-Union-Berlin-May-6-2023-Bundesliga","Augsburg","Home","Renato Veiga",8,"POR","LW","19-281",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2023-05-06","Fußball-Bundesliga (Matchweek 31)","Augsburg","3-4-3",1,0.9,"Dion Drena Beljo · 53&rsquor;","2","0","Union Berlin","3-5-2",0,0.7,"","2","0","https://fbref.com/en/matches/e3d5bffe/Augsburg-Union-Berlin-May-6-2023-Bundesliga","Augsburg","Home","Ruben Vargas",16,"SUI","RW","24-274",78,0,1,0,0,1,1,0,0,31,0,0,0,0,0,0.2,1,1,11,26,42.3,2,15,1,1,0
"Fußball-Bundesliga","2023-05-06","Fußball-Bundesliga (Matchweek 31)","Augsburg","3-4-3",1,0.9,"Dion Drena Beljo · 53&rsquor;","2","0","Union Berlin","3-5-2",0,0.7,"","2","0","https://fbref.com/en/matches/e3d5bffe/Augsburg-Union-Berlin-May-6-2023-Bundesliga","Augsburg","Home","Robert Gumny",2,"POL","RM","24-336",12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0
"Fußball-Bundesliga","2023-05-06","Fußball-Bundesliga (Matchweek 31)","Augsburg","3-4-3",1,0.9,"Dion Drena Beljo · 53&rsquor;","2","0","Union Berlin","3-5-2",0,0.7,"","2","0","https://fbref.com/en/matches/e3d5bffe/Augsburg-Union-Berlin-May-6-2023-Bundesliga","Augsburg","Home","Mads Pedersen",3,"DEN","LM","26-247",90,0,0,0,0,0,0,0,0,31,0,1,3,0,0,0.2,2,0,15,24,62.5,1,18,2,1,1
"Fußball-Bundesliga","2023-05-06","Fußball-Bundesliga (Matchweek 31)","Augsburg","3-4-3",1,0.9,"Dion Drena Beljo · 53&rsquor;","2","0","Union Berlin","3-5-2",0,0.7,"","2","0","https://fbref.com/en/matches/e3d5bffe/Augsburg-Union-Berlin-May-6-2023-Bundesliga","Augsburg","Home","Elvis Rexhbeçaj",13,"GER","CM","25-186",90,0,0,0,0,0,0,0,0,24,1,0,3,0,0,0,3,0,14,17,82.4,2,8,0,0,0
"Fußball-Bundesliga","2023-05-06","Fußball-Bundesliga (Matchweek 31)","Augsburg","3-4-3",1,0.9,"Dion Drena Beljo · 53&rsquor;","2","0","Union Berlin","3-5-2",0,0.7,"","2","0","https://fbref.com/en/matches/e3d5bffe/Augsburg-Union-Berlin-May-6-2023-Bundesliga","Augsburg","Home","Arne Engels",27,"BEL","CM","19-240",84,0,0,0,0,3,0,1,0,45,0,1,1,0.1,0.1,0.2,4,1,25,37,67.6,7,25,0,1,1
"Fußball-Bundesliga","2023-05-06","Fußball-Bundesliga (Matchweek 31)","Augsburg","3-4-3",1,0.9,"Dion Drena Beljo · 53&rsquor;","2","0","Union Berlin","3-5-2",0,0.7,"","2","0","https://fbref.com/en/matches/e3d5bffe/Augsburg-Union-Berlin-May-6-2023-Bundesliga","Augsburg","Home","Niklas Dorsch",30,"GER","CM","25-111",6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
