"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-11-20","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",1,1.7,"Amine Adli · 3&rsquor;","3","0","Bochum","4-3-3",0,0.8,"","2","0","https://fbref.com/en/matches/983ef159/Bayer-Leverkusen-Bochum-November-20-2021-Bundesliga","Bayer Leverkusen","Home","Florian Wirtz",27,"GER","FW","18-201",89,0,0,0,0,4,0,0,0,46,0,0,1,0.7,0.7,0.5,5,0,23,35,65.7,4,27,8,4,2
"Fußball-Bundesliga","2021-11-20","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",1,1.7,"Amine Adli · 3&rsquor;","3","0","Bochum","4-3-3",0,0.8,"","2","0","https://fbref.com/en/matches/983ef159/Bayer-Leverkusen-Bochum-November-20-2021-Bundesliga","Bayer Leverkusen","Home","Odilon Kossonou",6,"CIV","FW","20-320",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,100,0,1,0,0,0
"Fußball-Bundesliga","2021-11-20","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",1,1.7,"Amine Adli · 3&rsquor;","3","0","Bochum","4-3-3",0,0.8,"","2","0","https://fbref.com/en/matches/983ef159/Bayer-Leverkusen-Bochum-November-20-2021-Bundesliga","Bayer Leverkusen","Home","Amine Adli",31,"MAR","FW","21-194",90,1,0,0,0,2,2,1,0,45,1,0,1,0.2,0.2,0.1,2,0,22,31,71,2,25,3,2,1
"Fußball-Bundesliga","2021-11-20","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",1,1.7,"Amine Adli · 3&rsquor;","3","0","Bochum","4-3-3",0,0.8,"","2","0","https://fbref.com/en/matches/983ef159/Bayer-Leverkusen-Bochum-November-20-2021-Bundesliga","Bayer Leverkusen","Home","Nadiem Amiri",11,"GER","LM","25-024",75,0,0,0,0,1,0,0,0,42,0,0,1,0,0,0,1,0,23,33,69.7,6,36,3,2,0
"Fußball-Bundesliga","2021-11-20","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",1,1.7,"Amine Adli · 3&rsquor;","3","0","Bochum","4-3-3",0,0.8,"","2","0","https://fbref.com/en/matches/983ef159/Bayer-Leverkusen-Bochum-November-20-2021-Bundesliga","Bayer Leverkusen","Home","Paulinho",7,"BRA","LM","21-128",15,0,0,0,0,1,1,0,0,13,1,0,0,0.3,0.3,0,0,0,4,6,66.7,1,8,1,2,0
"Fußball-Bundesliga","2021-11-20","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",1,1.7,"Amine Adli · 3&rsquor;","3","0","Bochum","4-3-3",0,0.8,"","2","0","https://fbref.com/en/matches/983ef159/Bayer-Leverkusen-Bochum-November-20-2021-Bundesliga","Bayer Leverkusen","Home","Kerem Demirbay",10,"GER","CM","28-140",65,0,0,0,0,0,0,0,0,52,1,0,2,0,0,0,0,0,42,49,85.7,5,33,1,3,3
"Fußball-Bundesliga","2021-11-20","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",1,1.7,"Amine Adli · 3&rsquor;","3","0","Bochum","4-3-3",0,0.8,"","2","0","https://fbref.com/en/matches/983ef159/Bayer-Leverkusen-Bochum-November-20-2021-Bundesliga","Bayer Leverkusen","Home","Exequiel Palacios",25,"ARG","CM","23-046",25,0,0,0,0,0,0,0,0,24,1,2,1,0,0,0,0,0,17,18,94.4,4,12,0,1,0
"Fußball-Bundesliga","2021-11-20","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",1,1.7,"Amine Adli · 3&rsquor;","3","0","Bochum","4-3-3",0,0.8,"","2","0","https://fbref.com/en/matches/983ef159/Bayer-Leverkusen-Bochum-November-20-2021-Bundesliga","Bayer Leverkusen","Home","Robert Andrich",8,"GER","CM","27-059",90,0,0,0,0,1,0,0,0,57,2,1,4,0,0,0.3,1,0,35,46,76.1,7,23,0,0,0
"Fußball-Bundesliga","2021-11-20","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",1,1.7,"Amine Adli · 3&rsquor;","3","0","Bochum","4-3-3",0,0.8,"","2","0","https://fbref.com/en/matches/983ef159/Bayer-Leverkusen-Bochum-November-20-2021-Bundesliga","Bayer Leverkusen","Home","Moussa Diaby",19,"FRA","RM","22-136",90,0,0,0,0,1,1,1,0,55,0,0,1,0.2,0.2,0.3,5,1,28,39,71.8,8,44,7,12,6
"Fußball-Bundesliga","2021-11-20","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",1,1.7,"Amine Adli · 3&rsquor;","3","0","Bochum","4-3-3",0,0.8,"","2","0","https://fbref.com/en/matches/983ef159/Bayer-Leverkusen-Bochum-November-20-2021-Bundesliga","Bayer Leverkusen","Home","Daley Sinkgraven",22,"NED","LB","26-139",75,0,0,0,0,1,1,0,0,54,0,0,2,0.2,0.2,0.2,2,0,40,48,83.3,8,37,2,1,0
