"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 80&rsquor;","2","0","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 49&rsquor; Kevin Großkreutz · 53&rsquor; Mario Götze · 55&rsquor;","1","0","https://fbref.com/en/matches/d6be580b/Bayer-Leverkusen-Dortmund-January-14-2011-Bundesliga","Bayer Leverkusen","Home","Patrick Helmes",NA,"GER","FW","26-319",59,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 80&rsquor;","2","0","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 49&rsquor; Kevin Großkreutz · 53&rsquor; Mario Götze · 55&rsquor;","1","0","https://fbref.com/en/matches/d6be580b/Bayer-Leverkusen-Dortmund-January-14-2011-Bundesliga","Bayer Leverkusen","Home","Eren Derdiyok",NA,"SUI","FW","22-216",31,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 80&rsquor;","2","0","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 49&rsquor; Kevin Großkreutz · 53&rsquor; Mario Götze · 55&rsquor;","1","0","https://fbref.com/en/matches/d6be580b/Bayer-Leverkusen-Dortmund-January-14-2011-Bundesliga","Bayer Leverkusen","Home","Stefan Kießling",NA,"GER","FW,MF","26-354",90,1,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 80&rsquor;","2","0","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 49&rsquor; Kevin Großkreutz · 53&rsquor; Mario Götze · 55&rsquor;","1","0","https://fbref.com/en/matches/d6be580b/Bayer-Leverkusen-Dortmund-January-14-2011-Bundesliga","Bayer Leverkusen","Home","Sidney Sam",NA,"GER","FW,MF","22-348",59,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 80&rsquor;","2","0","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 49&rsquor; Kevin Großkreutz · 53&rsquor; Mario Götze · 55&rsquor;","1","0","https://fbref.com/en/matches/d6be580b/Bayer-Leverkusen-Dortmund-January-14-2011-Bundesliga","Bayer Leverkusen","Home","Arturo Vidal",NA,"CHI","MF","23-237",31,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 80&rsquor;","2","0","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 49&rsquor; Kevin Großkreutz · 53&rsquor; Mario Götze · 55&rsquor;","1","0","https://fbref.com/en/matches/d6be580b/Bayer-Leverkusen-Dortmund-January-14-2011-Bundesliga","Bayer Leverkusen","Home","Simon Rolfes",NA,"GER","MF","28-358",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 80&rsquor;","2","0","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 49&rsquor; Kevin Großkreutz · 53&rsquor; Mario Götze · 55&rsquor;","1","0","https://fbref.com/en/matches/d6be580b/Bayer-Leverkusen-Dortmund-January-14-2011-Bundesliga","Bayer Leverkusen","Home","Lars Bender",NA,"GER","DF,MF","21-262",59,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 80&rsquor;","2","0","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 49&rsquor; Kevin Großkreutz · 53&rsquor; Mario Götze · 55&rsquor;","1","0","https://fbref.com/en/matches/d6be580b/Bayer-Leverkusen-Dortmund-January-14-2011-Bundesliga","Bayer Leverkusen","Home","Tranquillo Barnetta",NA,"SUI","MF","25-237",31,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 80&rsquor;","2","0","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 49&rsquor; Kevin Großkreutz · 53&rsquor; Mario Götze · 55&rsquor;","1","0","https://fbref.com/en/matches/d6be580b/Bayer-Leverkusen-Dortmund-January-14-2011-Bundesliga","Bayer Leverkusen","Home","Renato Augusto",NA,"BRA","MF","22-340",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 80&rsquor;","2","0","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 49&rsquor; Kevin Großkreutz · 53&rsquor; Mario Götze · 55&rsquor;","1","0","https://fbref.com/en/matches/d6be580b/Bayer-Leverkusen-Dortmund-January-14-2011-Bundesliga","Bayer Leverkusen","Home","Gonzalo Castro",NA,"GER","DF,MF","23-217",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
