"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-05-02","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-2-3-1",2,1.8,"Paulinho · 18&rsquor; Patrik Schick · 51&rsquor;","0","0","Eintracht Frankfurt","3-4-3",0,0.3,"","0","0","https://fbref.com/en/matches/a2953956/Bayer-Leverkusen-Eintracht-Frankfurt-May-2-2022-Bundesliga","Bayer Leverkusen","Home","Patrik Schick",14,"CZE","FW","26-098",86,1,0,0,0,4,1,0,0,31,0,0,2,0.6,0.6,0,2,1,12,16,75,1,19,0,4,2
"Fußball-Bundesliga","2022-05-02","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-2-3-1",2,1.8,"Paulinho · 18&rsquor; Patrik Schick · 51&rsquor;","0","0","Eintracht Frankfurt","3-4-3",0,0.3,"","0","0","https://fbref.com/en/matches/a2953956/Bayer-Leverkusen-Eintracht-Frankfurt-May-2-2022-Bundesliga","Bayer Leverkusen","Home","Lucas Alario",13,"ARG","FW","29-206",4,0,0,0,0,1,0,0,0,3,0,0,0,0.3,0.3,0,0,0,1,1,100,0,2,0,0,0
"Fußball-Bundesliga","2022-05-02","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-2-3-1",2,1.8,"Paulinho · 18&rsquor; Patrik Schick · 51&rsquor;","0","0","Eintracht Frankfurt","3-4-3",0,0.3,"","0","0","https://fbref.com/en/matches/a2953956/Bayer-Leverkusen-Eintracht-Frankfurt-May-2-2022-Bundesliga","Bayer Leverkusen","Home","Paulinho",7,"BRA","LW","21-291",81,1,0,0,0,1,1,0,0,43,2,0,1,0.5,0.5,0,3,0,27,36,75,3,30,2,3,1
"Fußball-Bundesliga","2022-05-02","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-2-3-1",2,1.8,"Paulinho · 18&rsquor; Patrik Schick · 51&rsquor;","0","0","Eintracht Frankfurt","3-4-3",0,0.3,"","0","0","https://fbref.com/en/matches/a2953956/Bayer-Leverkusen-Eintracht-Frankfurt-May-2-2022-Bundesliga","Bayer Leverkusen","Home","Mitchel Bakker",5,"NED","LW","21-316",9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.3,1,0,6,7,85.7,0,6,1,0,0
"Fußball-Bundesliga","2022-05-02","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-2-3-1",2,1.8,"Paulinho · 18&rsquor; Patrik Schick · 51&rsquor;","0","0","Eintracht Frankfurt","3-4-3",0,0.3,"","0","0","https://fbref.com/en/matches/a2953956/Bayer-Leverkusen-Eintracht-Frankfurt-May-2-2022-Bundesliga","Bayer Leverkusen","Home","Moussa Diaby",19,"FRA","RW","22-299",87,0,2,0,0,0,0,0,0,51,0,1,0,0,0,1.1,7,2,30,42,71.4,1,37,7,6,2
"Fußball-Bundesliga","2022-05-02","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-2-3-1",2,1.8,"Paulinho · 18&rsquor; Patrik Schick · 51&rsquor;","0","0","Eintracht Frankfurt","3-4-3",0,0.3,"","0","0","https://fbref.com/en/matches/a2953956/Bayer-Leverkusen-Eintracht-Frankfurt-May-2-2022-Bundesliga","Bayer Leverkusen","Home","Daley Sinkgraven",22,"NED","RW","26-302",3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,100,0,1,0,0,0
"Fußball-Bundesliga","2022-05-02","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-2-3-1",2,1.8,"Paulinho · 18&rsquor; Patrik Schick · 51&rsquor;","0","0","Eintracht Frankfurt","3-4-3",0,0.3,"","0","0","https://fbref.com/en/matches/a2953956/Bayer-Leverkusen-Eintracht-Frankfurt-May-2-2022-Bundesliga","Bayer Leverkusen","Home","Sardar Azmoun",9,"IRN","AM","27-121",86,0,0,0,0,1,1,0,0,38,2,0,1,0.1,0.1,0.1,1,0,18,28,64.3,5,22,2,6,4
"Fußball-Bundesliga","2022-05-02","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-2-3-1",2,1.8,"Paulinho · 18&rsquor; Patrik Schick · 51&rsquor;","0","0","Eintracht Frankfurt","3-4-3",0,0.3,"","0","0","https://fbref.com/en/matches/a2953956/Bayer-Leverkusen-Eintracht-Frankfurt-May-2-2022-Bundesliga","Bayer Leverkusen","Home","Julian Baumgartlinger",15,"AUT","DM","34-120",4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7,100,1,5,0,0,0
"Fußball-Bundesliga","2022-05-02","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-2-3-1",2,1.8,"Paulinho · 18&rsquor; Patrik Schick · 51&rsquor;","0","0","Eintracht Frankfurt","3-4-3",0,0.3,"","0","0","https://fbref.com/en/matches/a2953956/Bayer-Leverkusen-Eintracht-Frankfurt-May-2-2022-Bundesliga","Bayer Leverkusen","Home","Robert Andrich",8,"GER","DM","27-222",90,0,0,0,0,1,0,0,0,73,4,1,0,0.1,0.1,0,2,0,53,65,81.5,4,52,2,3,3
"Fußball-Bundesliga","2022-05-02","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-2-3-1",2,1.8,"Paulinho · 18&rsquor; Patrik Schick · 51&rsquor;","0","0","Eintracht Frankfurt","3-4-3",0,0.3,"","0","0","https://fbref.com/en/matches/a2953956/Bayer-Leverkusen-Eintracht-Frankfurt-May-2-2022-Bundesliga","Bayer Leverkusen","Home","Charles Aránguiz",20,"CHI","DM","33-015",80,0,0,0,0,0,0,0,0,65,4,1,0,0,0,0,0,0,46,55,83.6,1,39,1,2,1
