"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",4,NA,"Stefan Kießling · 2&rsquor; Stefan Reinartz · 6&rsquor; Toni Kroos · 11&rsquor; Lars Bender · 86&rsquor;","0","0","Eintracht Frankfurt","4-1-2-1-2",0,NA,"","2","0","https://fbref.com/en/matches/630ea865/Bayer-Leverkusen-Eintracht-Frankfurt-November-6-2009-Bundesliga","Bayer Leverkusen","Home","Eren Derdiyok",NA,"SUI","FW","21-147",82,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",4,NA,"Stefan Kießling · 2&rsquor; Stefan Reinartz · 6&rsquor; Toni Kroos · 11&rsquor; Lars Bender · 86&rsquor;","0","0","Eintracht Frankfurt","4-1-2-1-2",0,NA,"","2","0","https://fbref.com/en/matches/630ea865/Bayer-Leverkusen-Eintracht-Frankfurt-November-6-2009-Bundesliga","Bayer Leverkusen","Home","Lars Bender",NA,"GER","DF,MF","20-193",8,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",4,NA,"Stefan Kießling · 2&rsquor; Stefan Reinartz · 6&rsquor; Toni Kroos · 11&rsquor; Lars Bender · 86&rsquor;","0","0","Eintracht Frankfurt","4-1-2-1-2",0,NA,"","2","0","https://fbref.com/en/matches/630ea865/Bayer-Leverkusen-Eintracht-Frankfurt-November-6-2009-Bundesliga","Bayer Leverkusen","Home","Stefan Kießling",NA,"GER","FW,MF","25-285",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",4,NA,"Stefan Kießling · 2&rsquor; Stefan Reinartz · 6&rsquor; Toni Kroos · 11&rsquor; Lars Bender · 86&rsquor;","0","0","Eintracht Frankfurt","4-1-2-1-2",0,NA,"","2","0","https://fbref.com/en/matches/630ea865/Bayer-Leverkusen-Eintracht-Frankfurt-November-6-2009-Bundesliga","Bayer Leverkusen","Home","Toni Kroos",NA,"GER","MF","19-306",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",4,NA,"Stefan Kießling · 2&rsquor; Stefan Reinartz · 6&rsquor; Toni Kroos · 11&rsquor; Lars Bender · 86&rsquor;","0","0","Eintracht Frankfurt","4-1-2-1-2",0,NA,"","2","0","https://fbref.com/en/matches/630ea865/Bayer-Leverkusen-Eintracht-Frankfurt-November-6-2009-Bundesliga","Bayer Leverkusen","Home","Stefan Reinartz",NA,"GER","DF,MF","20-309",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",4,NA,"Stefan Kießling · 2&rsquor; Stefan Reinartz · 6&rsquor; Toni Kroos · 11&rsquor; Lars Bender · 86&rsquor;","0","0","Eintracht Frankfurt","4-1-2-1-2",0,NA,"","2","0","https://fbref.com/en/matches/630ea865/Bayer-Leverkusen-Eintracht-Frankfurt-November-6-2009-Bundesliga","Bayer Leverkusen","Home","Arturo Vidal",NA,"CHI","MF","22-168",88,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",4,NA,"Stefan Kießling · 2&rsquor; Stefan Reinartz · 6&rsquor; Toni Kroos · 11&rsquor; Lars Bender · 86&rsquor;","0","0","Eintracht Frankfurt","4-1-2-1-2",0,NA,"","2","0","https://fbref.com/en/matches/630ea865/Bayer-Leverkusen-Eintracht-Frankfurt-November-6-2009-Bundesliga","Bayer Leverkusen","Home","Tomasz Zdebel",NA,"POL","MF","36-165",2,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",4,NA,"Stefan Kießling · 2&rsquor; Stefan Reinartz · 6&rsquor; Toni Kroos · 11&rsquor; Lars Bender · 86&rsquor;","0","0","Eintracht Frankfurt","4-1-2-1-2",0,NA,"","2","0","https://fbref.com/en/matches/630ea865/Bayer-Leverkusen-Eintracht-Frankfurt-November-6-2009-Bundesliga","Bayer Leverkusen","Home","Tranquillo Barnetta",NA,"SUI","MF","24-168",87,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",4,NA,"Stefan Kießling · 2&rsquor; Stefan Reinartz · 6&rsquor; Toni Kroos · 11&rsquor; Lars Bender · 86&rsquor;","0","0","Eintracht Frankfurt","4-1-2-1-2",0,NA,"","2","0","https://fbref.com/en/matches/630ea865/Bayer-Leverkusen-Eintracht-Frankfurt-November-6-2009-Bundesliga","Bayer Leverkusen","Home","Theofanis Gekas",NA,"GRE","FW","29-167",3,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayer Leverkusen","4-4-2",4,NA,"Stefan Kießling · 2&rsquor; Stefan Reinartz · 6&rsquor; Toni Kroos · 11&rsquor; Lars Bender · 86&rsquor;","0","0","Eintracht Frankfurt","4-1-2-1-2",0,NA,"","2","0","https://fbref.com/en/matches/630ea865/Bayer-Leverkusen-Eintracht-Frankfurt-November-6-2009-Bundesliga","Bayer Leverkusen","Home","Gonzalo Castro",NA,"GER","DF,MF","22-148",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
