"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Bayer Leverkusen","3-1-4-2",2,1.8,"Kerem Demirbay · 16&rsquor; Patrik Schick · 65&rsquor;","2","0","Freiburg","3-4-3",3,1.9,"Matthias Ginter · 48&rsquor; Michael Gregoritsch · 51&rsquor; Ritsu Doan · 72&rsquor;","2","0","https://fbref.com/en/matches/857c6eda/Bayer-Leverkusen-Freiburg-September-3-2022-Bundesliga","Bayer Leverkusen","Home","Patrik Schick",14,"CZE","FW","26-222",90,1,0,0,0,5,2,0,0,24,0,0,1,0.4,0.4,0.1,1,0,8,15,53.3,0,17,1,0,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Bayer Leverkusen","3-1-4-2",2,1.8,"Kerem Demirbay · 16&rsquor; Patrik Schick · 65&rsquor;","2","0","Freiburg","3-4-3",3,1.9,"Matthias Ginter · 48&rsquor; Michael Gregoritsch · 51&rsquor; Ritsu Doan · 72&rsquor;","2","0","https://fbref.com/en/matches/857c6eda/Bayer-Leverkusen-Freiburg-September-3-2022-Bundesliga","Bayer Leverkusen","Home","Moussa Diaby",19,"FRA","FW,RW","23-058",90,0,0,0,0,3,1,0,0,43,0,0,0,0.3,0.3,0.2,4,0,29,37,78.4,2,30,2,2,2
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Bayer Leverkusen","3-1-4-2",2,1.8,"Kerem Demirbay · 16&rsquor; Patrik Schick · 65&rsquor;","2","0","Freiburg","3-4-3",3,1.9,"Matthias Ginter · 48&rsquor; Michael Gregoritsch · 51&rsquor; Ritsu Doan · 72&rsquor;","2","0","https://fbref.com/en/matches/857c6eda/Bayer-Leverkusen-Freiburg-September-3-2022-Bundesliga","Bayer Leverkusen","Home","Daley Sinkgraven",22,"NED","LW,LB","27-061",77,0,0,0,0,1,0,0,0,25,0,1,1,0,0,0,2,1,17,19,89.5,2,16,0,1,1
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Bayer Leverkusen","3-1-4-2",2,1.8,"Kerem Demirbay · 16&rsquor; Patrik Schick · 65&rsquor;","2","0","Freiburg","3-4-3",3,1.9,"Matthias Ginter · 48&rsquor; Michael Gregoritsch · 51&rsquor; Ritsu Doan · 72&rsquor;","2","0","https://fbref.com/en/matches/857c6eda/Bayer-Leverkusen-Freiburg-September-3-2022-Bundesliga","Bayer Leverkusen","Home","Timothy Fosu-Mensah",24,"NED","LB","24-244",13,0,0,0,0,1,1,0,0,16,0,0,0,0,0,0,1,0,12,14,85.7,2,10,1,0,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Bayer Leverkusen","3-1-4-2",2,1.8,"Kerem Demirbay · 16&rsquor; Patrik Schick · 65&rsquor;","2","0","Freiburg","3-4-3",3,1.9,"Matthias Ginter · 48&rsquor; Michael Gregoritsch · 51&rsquor; Ritsu Doan · 72&rsquor;","2","0","https://fbref.com/en/matches/857c6eda/Bayer-Leverkusen-Freiburg-September-3-2022-Bundesliga","Bayer Leverkusen","Home","Jeremie Frimpong",30,"NED","RW,RB","21-267",90,0,0,0,0,1,0,0,0,57,3,0,1,0.1,0.1,0.3,7,1,38,48,79.2,4,39,10,8,5
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Bayer Leverkusen","3-1-4-2",2,1.8,"Kerem Demirbay · 16&rsquor; Patrik Schick · 65&rsquor;","2","0","Freiburg","3-4-3",3,1.9,"Matthias Ginter · 48&rsquor; Michael Gregoritsch · 51&rsquor; Ritsu Doan · 72&rsquor;","2","0","https://fbref.com/en/matches/857c6eda/Bayer-Leverkusen-Freiburg-September-3-2022-Bundesliga","Bayer Leverkusen","Home","Kerem Demirbay",10,"GER","CM","29-062",59,1,0,0,0,1,1,0,0,31,0,0,0,0.7,0.7,0,1,0,18,27,66.7,3,20,1,1,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Bayer Leverkusen","3-1-4-2",2,1.8,"Kerem Demirbay · 16&rsquor; Patrik Schick · 65&rsquor;","2","0","Freiburg","3-4-3",3,1.9,"Matthias Ginter · 48&rsquor; Michael Gregoritsch · 51&rsquor; Ritsu Doan · 72&rsquor;","2","0","https://fbref.com/en/matches/857c6eda/Bayer-Leverkusen-Freiburg-September-3-2022-Bundesliga","Bayer Leverkusen","Home","Charles Aránguiz",20,"CHI","DM","33-139",31,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0.2,2,0,21,30,70,3,17,0,0,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Bayer Leverkusen","3-1-4-2",2,1.8,"Kerem Demirbay · 16&rsquor; Patrik Schick · 65&rsquor;","2","0","Freiburg","3-4-3",3,1.9,"Matthias Ginter · 48&rsquor; Michael Gregoritsch · 51&rsquor; Ritsu Doan · 72&rsquor;","2","0","https://fbref.com/en/matches/857c6eda/Bayer-Leverkusen-Freiburg-September-3-2022-Bundesliga","Bayer Leverkusen","Home","Exequiel Palacios",25,"ARG","CM","23-333",59,0,0,0,0,0,0,0,0,33,1,2,0,0,0,0,1,0,26,28,92.9,6,21,0,0,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Bayer Leverkusen","3-1-4-2",2,1.8,"Kerem Demirbay · 16&rsquor; Patrik Schick · 65&rsquor;","2","0","Freiburg","3-4-3",3,1.9,"Matthias Ginter · 48&rsquor; Michael Gregoritsch · 51&rsquor; Ritsu Doan · 72&rsquor;","2","0","https://fbref.com/en/matches/857c6eda/Bayer-Leverkusen-Freiburg-September-3-2022-Bundesliga","Bayer Leverkusen","Home","Sardar Azmoun",9,"IRN","AM","27-245",31,0,0,0,0,2,1,0,0,15,0,0,1,0.2,0.2,0,2,0,7,10,70,1,11,1,0,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Bayer Leverkusen","3-1-4-2",2,1.8,"Kerem Demirbay · 16&rsquor; Patrik Schick · 65&rsquor;","2","0","Freiburg","3-4-3",3,1.9,"Matthias Ginter · 48&rsquor; Michael Gregoritsch · 51&rsquor; Ritsu Doan · 72&rsquor;","2","0","https://fbref.com/en/matches/857c6eda/Bayer-Leverkusen-Freiburg-September-3-2022-Bundesliga","Bayer Leverkusen","Home","Robert Andrich",8,"GER","DM","27-346",78,0,0,0,0,1,0,0,0,43,0,2,2,0,0,0.1,1,0,30,36,83.3,8,25,2,1,1
