"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-4-2",3,NA,"Stefan Kießling · 26&rsquor; Burak Kaplan · 64&rsquor; Stefan Kießling (P) · 88&rsquor;","2","0","Hannover 96","4-2-3-1",0,NA,"","2","0","https://fbref.com/en/matches/048d222e/Bayer-Leverkusen-Hannover-96-April-24-2010-Bundesliga","Bayer Leverkusen","Home","Stefan Kießling",NA,"GER","FW,MF","26-089",88,2,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-4-2",3,NA,"Stefan Kießling · 26&rsquor; Burak Kaplan · 64&rsquor; Stefan Kießling (P) · 88&rsquor;","2","0","Hannover 96","4-2-3-1",0,NA,"","2","0","https://fbref.com/en/matches/048d222e/Bayer-Leverkusen-Hannover-96-April-24-2010-Bundesliga","Bayer Leverkusen","Home","Tomasz Zdebel",NA,"POL","MF","36-334",2,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-4-2",3,NA,"Stefan Kießling · 26&rsquor; Burak Kaplan · 64&rsquor; Stefan Kießling (P) · 88&rsquor;","2","0","Hannover 96","4-2-3-1",0,NA,"","2","0","https://fbref.com/en/matches/048d222e/Bayer-Leverkusen-Hannover-96-April-24-2010-Bundesliga","Bayer Leverkusen","Home","Eren Derdiyok",NA,"SUI","FW","21-316",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-4-2",3,NA,"Stefan Kießling · 26&rsquor; Burak Kaplan · 64&rsquor; Stefan Kießling (P) · 88&rsquor;","2","0","Hannover 96","4-2-3-1",0,NA,"","2","0","https://fbref.com/en/matches/048d222e/Bayer-Leverkusen-Hannover-96-April-24-2010-Bundesliga","Bayer Leverkusen","Home","Toni Kroos",NA,"GER","MF","20-110",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-4-2",3,NA,"Stefan Kießling · 26&rsquor; Burak Kaplan · 64&rsquor; Stefan Kießling (P) · 88&rsquor;","2","0","Hannover 96","4-2-3-1",0,NA,"","2","0","https://fbref.com/en/matches/048d222e/Bayer-Leverkusen-Hannover-96-April-24-2010-Bundesliga","Bayer Leverkusen","Home","Stefan Reinartz",NA,"GER","DF,MF","21-113",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-4-2",3,NA,"Stefan Kießling · 26&rsquor; Burak Kaplan · 64&rsquor; Stefan Kießling (P) · 88&rsquor;","2","0","Hannover 96","4-2-3-1",0,NA,"","2","0","https://fbref.com/en/matches/048d222e/Bayer-Leverkusen-Hannover-96-April-24-2010-Bundesliga","Bayer Leverkusen","Home","Lars Bender",NA,"GER","DF,MF","20-362",61,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-4-2",3,NA,"Stefan Kießling · 26&rsquor; Burak Kaplan · 64&rsquor; Stefan Kießling (P) · 88&rsquor;","2","0","Hannover 96","4-2-3-1",0,NA,"","2","0","https://fbref.com/en/matches/048d222e/Bayer-Leverkusen-Hannover-96-April-24-2010-Bundesliga","Bayer Leverkusen","Home","Hans Sarpei",NA,"GHA","DF","33-300",29,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-4-2",3,NA,"Stefan Kießling · 26&rsquor; Burak Kaplan · 64&rsquor; Stefan Kießling (P) · 88&rsquor;","2","0","Hannover 96","4-2-3-1",0,NA,"","2","0","https://fbref.com/en/matches/048d222e/Bayer-Leverkusen-Hannover-96-April-24-2010-Bundesliga","Bayer Leverkusen","Home","Burak Kaplan",NA,"TUR","MF","20-082",78,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-4-2",3,NA,"Stefan Kießling · 26&rsquor; Burak Kaplan · 64&rsquor; Stefan Kießling (P) · 88&rsquor;","2","0","Hannover 96","4-2-3-1",0,NA,"","2","0","https://fbref.com/en/matches/048d222e/Bayer-Leverkusen-Hannover-96-April-24-2010-Bundesliga","Bayer Leverkusen","Home","Thanos Petsos",NA,"GRE","DF,MF","18-323",12,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Bayer Leverkusen","4-4-2",3,NA,"Stefan Kießling · 26&rsquor; Burak Kaplan · 64&rsquor; Stefan Kießling (P) · 88&rsquor;","2","0","Hannover 96","4-2-3-1",0,NA,"","2","0","https://fbref.com/en/matches/048d222e/Bayer-Leverkusen-Hannover-96-April-24-2010-Bundesliga","Bayer Leverkusen","Home","Michal Kadlec",NA,"CZE","DF","25-132",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
