"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Bayer Leverkusen","4-2-3-1",2,NA,"Arturo Vidal · 21&rsquor; Simon Rolfes · 42&rsquor;","0","0","Hannover 96","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/8f6b362d/Bayer-Leverkusen-Hannover-96-January-28-2011-Bundesliga","Bayer Leverkusen","Home","Stefan Kießling",NA,"GER","FW,MF","27-003",75,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Bayer Leverkusen","4-2-3-1",2,NA,"Arturo Vidal · 21&rsquor; Simon Rolfes · 42&rsquor;","0","0","Hannover 96","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/8f6b362d/Bayer-Leverkusen-Hannover-96-January-28-2011-Bundesliga","Bayer Leverkusen","Home","Eren Derdiyok",NA,"SUI","FW","22-230",15,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Bayer Leverkusen","4-2-3-1",2,NA,"Arturo Vidal · 21&rsquor; Simon Rolfes · 42&rsquor;","0","0","Hannover 96","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/8f6b362d/Bayer-Leverkusen-Hannover-96-January-28-2011-Bundesliga","Bayer Leverkusen","Home","Gonzalo Castro",NA,"GER","DF,MF","23-231",86,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Bayer Leverkusen","4-2-3-1",2,NA,"Arturo Vidal · 21&rsquor; Simon Rolfes · 42&rsquor;","0","0","Hannover 96","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/8f6b362d/Bayer-Leverkusen-Hannover-96-January-28-2011-Bundesliga","Bayer Leverkusen","Home","Hanno Balitsch",NA,"GER","MF","30-026",4,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Bayer Leverkusen","4-2-3-1",2,NA,"Arturo Vidal · 21&rsquor; Simon Rolfes · 42&rsquor;","0","0","Hannover 96","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/8f6b362d/Bayer-Leverkusen-Hannover-96-January-28-2011-Bundesliga","Bayer Leverkusen","Home","Renato Augusto",NA,"BRA","MF","22-354",89,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Bayer Leverkusen","4-2-3-1",2,NA,"Arturo Vidal · 21&rsquor; Simon Rolfes · 42&rsquor;","0","0","Hannover 96","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/8f6b362d/Bayer-Leverkusen-Hannover-96-January-28-2011-Bundesliga","Bayer Leverkusen","Home","Manuel Friedrich",NA,"GER","DF","31-137",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Bayer Leverkusen","4-2-3-1",2,NA,"Arturo Vidal · 21&rsquor; Simon Rolfes · 42&rsquor;","0","0","Hannover 96","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/8f6b362d/Bayer-Leverkusen-Hannover-96-January-28-2011-Bundesliga","Bayer Leverkusen","Home","Arturo Vidal",NA,"CHI","MF","23-251",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Bayer Leverkusen","4-2-3-1",2,NA,"Arturo Vidal · 21&rsquor; Simon Rolfes · 42&rsquor;","0","0","Hannover 96","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/8f6b362d/Bayer-Leverkusen-Hannover-96-January-28-2011-Bundesliga","Bayer Leverkusen","Home","Simon Rolfes",NA,"GER","MF","29-007",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Bayer Leverkusen","4-2-3-1",2,NA,"Arturo Vidal · 21&rsquor; Simon Rolfes · 42&rsquor;","0","0","Hannover 96","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/8f6b362d/Bayer-Leverkusen-Hannover-96-January-28-2011-Bundesliga","Bayer Leverkusen","Home","Michael Ballack",NA,"GER","MF","34-124",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Bayer Leverkusen","4-2-3-1",2,NA,"Arturo Vidal · 21&rsquor; Simon Rolfes · 42&rsquor;","0","0","Hannover 96","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/8f6b362d/Bayer-Leverkusen-Hannover-96-January-28-2011-Bundesliga","Bayer Leverkusen","Home","Michal Kadlec",NA,"CZE","DF","26-046",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
