"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Bayer Leverkusen","4-2-3-1",2,1.5,"Lucas Alario · 34&rsquor; Karim Bellarabi · 40&rsquor;","0","0","Hertha BSC","4-1-4-1",1,0.8,"Vladimír Darida · 42&rsquor;","1","0","https://fbref.com/en/matches/5be07425/Bayer-Leverkusen-Hertha-BSC-April-2-2022-Bundesliga","Bayer Leverkusen","Home","Lucas Alario",13,"ARG","FW","29-176",64,1,0,0,0,4,2,0,0,17,0,0,0,0.3,0.3,0.1,2,0,8,10,80,1,10,0,1,1
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Bayer Leverkusen","4-2-3-1",2,1.5,"Lucas Alario · 34&rsquor; Karim Bellarabi · 40&rsquor;","0","0","Hertha BSC","4-1-4-1",1,0.8,"Vladimír Darida · 42&rsquor;","1","0","https://fbref.com/en/matches/5be07425/Bayer-Leverkusen-Hertha-BSC-April-2-2022-Bundesliga","Bayer Leverkusen","Home","Patrik Schick",14,"CZE","RW","26-068",26,0,0,0,0,2,1,0,0,9,0,0,0,0.2,0.2,0,2,0,3,3,100,1,5,1,3,1
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Bayer Leverkusen","4-2-3-1",2,1.5,"Lucas Alario · 34&rsquor; Karim Bellarabi · 40&rsquor;","0","0","Hertha BSC","4-1-4-1",1,0.8,"Vladimír Darida · 42&rsquor;","1","0","https://fbref.com/en/matches/5be07425/Bayer-Leverkusen-Hertha-BSC-April-2-2022-Bundesliga","Bayer Leverkusen","Home","Moussa Diaby",19,"FRA","LW","22-269",90,0,2,0,0,1,0,0,0,67,0,0,1,0.1,0.1,0.6,9,2,47,59,79.7,6,51,6,2,0
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Bayer Leverkusen","4-2-3-1",2,1.5,"Lucas Alario · 34&rsquor; Karim Bellarabi · 40&rsquor;","0","0","Hertha BSC","4-1-4-1",1,0.8,"Vladimír Darida · 42&rsquor;","1","0","https://fbref.com/en/matches/5be07425/Bayer-Leverkusen-Hertha-BSC-April-2-2022-Bundesliga","Bayer Leverkusen","Home","Karim Bellarabi",38,"GER","RW","31-359",64,1,0,0,0,3,2,0,0,40,1,0,1,0.3,0.3,0.1,4,0,20,27,74.1,1,29,0,5,2
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Bayer Leverkusen","4-2-3-1",2,1.5,"Lucas Alario · 34&rsquor; Karim Bellarabi · 40&rsquor;","0","0","Hertha BSC","4-1-4-1",1,0.8,"Vladimír Darida · 42&rsquor;","1","0","https://fbref.com/en/matches/5be07425/Bayer-Leverkusen-Hertha-BSC-April-2-2022-Bundesliga","Bayer Leverkusen","Home","Sardar Azmoun",9,"IRN","FW","27-091",26,0,0,0,0,2,1,0,0,15,0,0,0,0.3,0.3,0,1,0,8,9,88.9,1,9,0,0,0
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Bayer Leverkusen","4-2-3-1",2,1.5,"Lucas Alario · 34&rsquor; Karim Bellarabi · 40&rsquor;","0","0","Hertha BSC","4-1-4-1",1,0.8,"Vladimír Darida · 42&rsquor;","1","0","https://fbref.com/en/matches/5be07425/Bayer-Leverkusen-Hertha-BSC-April-2-2022-Bundesliga","Bayer Leverkusen","Home","Paulinho",7,"BRA","AM","21-261",90,0,0,0,0,2,0,0,0,56,1,0,1,0.2,0.2,0.1,6,1,31,40,77.5,4,33,2,6,4
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Bayer Leverkusen","4-2-3-1",2,1.5,"Lucas Alario · 34&rsquor; Karim Bellarabi · 40&rsquor;","0","0","Hertha BSC","4-1-4-1",1,0.8,"Vladimír Darida · 42&rsquor;","1","0","https://fbref.com/en/matches/5be07425/Bayer-Leverkusen-Hertha-BSC-April-2-2022-Bundesliga","Bayer Leverkusen","Home","Charles Aránguiz",20,"CHI","DM","32-350",64,0,0,0,0,0,0,0,0,60,2,1,1,0,0,0.1,2,1,51,55,92.7,5,36,0,0,0
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Bayer Leverkusen","4-2-3-1",2,1.5,"Lucas Alario · 34&rsquor; Karim Bellarabi · 40&rsquor;","0","0","Hertha BSC","4-1-4-1",1,0.8,"Vladimír Darida · 42&rsquor;","1","0","https://fbref.com/en/matches/5be07425/Bayer-Leverkusen-Hertha-BSC-April-2-2022-Bundesliga","Bayer Leverkusen","Home","Exequiel Palacios",25,"ARG","DM","23-179",26,0,0,0,0,0,0,0,0,29,0,2,0,0,0,0.2,2,0,25,28,89.3,2,19,1,0,0
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Bayer Leverkusen","4-2-3-1",2,1.5,"Lucas Alario · 34&rsquor; Karim Bellarabi · 40&rsquor;","0","0","Hertha BSC","4-1-4-1",1,0.8,"Vladimír Darida · 42&rsquor;","1","0","https://fbref.com/en/matches/5be07425/Bayer-Leverkusen-Hertha-BSC-April-2-2022-Bundesliga","Bayer Leverkusen","Home","Robert Andrich",8,"GER","DM","27-192",90,0,0,0,0,3,0,0,0,85,3,0,1,0.1,0.1,0.1,6,0,63,74,85.1,3,43,0,3,3
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Bayer Leverkusen","4-2-3-1",2,1.5,"Lucas Alario · 34&rsquor; Karim Bellarabi · 40&rsquor;","0","0","Hertha BSC","4-1-4-1",1,0.8,"Vladimír Darida · 42&rsquor;","1","0","https://fbref.com/en/matches/5be07425/Bayer-Leverkusen-Hertha-BSC-April-2-2022-Bundesliga","Bayer Leverkusen","Home","Mitchel Bakker",5,"NED","LB","21-286",73,0,0,0,0,1,0,0,0,68,0,1,0,0,0,0,1,0,43,57,75.4,3,35,1,2,0
