"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 67&rsquor;","3","0","Hoffenheim","4-3-3",0,NA,"","2","0","https://fbref.com/en/matches/10cd1bf0/Bayer-Leverkusen-Hoffenheim-August-15-2009-Bundesliga","Bayer Leverkusen","Home","Eren Derdiyok",NA,"SUI","FW","21-064",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 67&rsquor;","3","0","Hoffenheim","4-3-3",0,NA,"","2","0","https://fbref.com/en/matches/10cd1bf0/Bayer-Leverkusen-Hoffenheim-August-15-2009-Bundesliga","Bayer Leverkusen","Home","Stefan Kießling",NA,"GER","FW,MF","25-202",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 67&rsquor;","3","0","Hoffenheim","4-3-3",0,NA,"","2","0","https://fbref.com/en/matches/10cd1bf0/Bayer-Leverkusen-Hoffenheim-August-15-2009-Bundesliga","Bayer Leverkusen","Home","Tranquillo Barnetta",NA,"SUI","MF","24-085",87,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 67&rsquor;","3","0","Hoffenheim","4-3-3",0,NA,"","2","0","https://fbref.com/en/matches/10cd1bf0/Bayer-Leverkusen-Hoffenheim-August-15-2009-Bundesliga","Bayer Leverkusen","Home","Tomasz Zdebel",NA,"POL","MF","36-082",3,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 67&rsquor;","3","0","Hoffenheim","4-3-3",0,NA,"","2","0","https://fbref.com/en/matches/10cd1bf0/Bayer-Leverkusen-Hoffenheim-August-15-2009-Bundesliga","Bayer Leverkusen","Home","Simon Rolfes",NA,"GER","MF","27-206",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 67&rsquor;","3","0","Hoffenheim","4-3-3",0,NA,"","2","0","https://fbref.com/en/matches/10cd1bf0/Bayer-Leverkusen-Hoffenheim-August-15-2009-Bundesliga","Bayer Leverkusen","Home","Arturo Vidal",NA,"CHI","MF","22-085",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 67&rsquor;","3","0","Hoffenheim","4-3-3",0,NA,"","2","0","https://fbref.com/en/matches/10cd1bf0/Bayer-Leverkusen-Hoffenheim-August-15-2009-Bundesliga","Bayer Leverkusen","Home","Renato Augusto",NA,"BRA","MF","21-188",87,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 67&rsquor;","3","0","Hoffenheim","4-3-3",0,NA,"","2","0","https://fbref.com/en/matches/10cd1bf0/Bayer-Leverkusen-Hoffenheim-August-15-2009-Bundesliga","Bayer Leverkusen","Home","Toni Kroos",NA,"GER","MF","19-223",3,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 67&rsquor;","3","0","Hoffenheim","4-3-3",0,NA,"","2","0","https://fbref.com/en/matches/10cd1bf0/Bayer-Leverkusen-Hoffenheim-August-15-2009-Bundesliga","Bayer Leverkusen","Home","Michal Kadlec",NA,"CZE","DF","24-245",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",1,NA,"Stefan Kießling · 67&rsquor;","3","0","Hoffenheim","4-3-3",0,NA,"","2","0","https://fbref.com/en/matches/10cd1bf0/Bayer-Leverkusen-Hoffenheim-August-15-2009-Bundesliga","Bayer Leverkusen","Home","Sami Hyypiä",NA,"FIN","DF","35-312",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
