"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-03-13","Fußball-Bundesliga (Matchweek 26)","Bayer Leverkusen","4-2-3-1",0,2.4,"","2","0","Köln","4-1-3-2",1,0.5,"Kingsley Schindler · 67&rsquor;","2","0","https://fbref.com/en/matches/7c2bdd85/Bayer-Leverkusen-Koln-March-13-2022-Bundesliga","Bayer Leverkusen","Home","Lucas Alario",13,"ARG","FW","29-156",90,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0.5,5,0,24,34,70.6,2,26,0,1,1
"Fußball-Bundesliga","2022-03-13","Fußball-Bundesliga (Matchweek 26)","Bayer Leverkusen","4-2-3-1",0,2.4,"","2","0","Köln","4-1-3-2",1,0.5,"Kingsley Schindler · 67&rsquor;","2","0","https://fbref.com/en/matches/7c2bdd85/Bayer-Leverkusen-Koln-March-13-2022-Bundesliga","Bayer Leverkusen","Home","Paulinho",7,"BRA","LW","21-241",63,0,0,0,0,2,1,0,0,31,0,0,1,0.7,0.7,0,0,0,20,22,90.9,2,22,4,1,1
"Fußball-Bundesliga","2022-03-13","Fußball-Bundesliga (Matchweek 26)","Bayer Leverkusen","4-2-3-1",0,2.4,"","2","0","Köln","4-1-3-2",1,0.5,"Kingsley Schindler · 67&rsquor;","2","0","https://fbref.com/en/matches/7c2bdd85/Bayer-Leverkusen-Koln-March-13-2022-Bundesliga","Bayer Leverkusen","Home","Sardar Azmoun",9,"IRN","FW,LW","27-071",27,0,0,0,0,3,1,0,0,16,1,0,0,1,1,0,3,0,10,11,90.9,2,8,0,0,0
"Fußball-Bundesliga","2022-03-13","Fußball-Bundesliga (Matchweek 26)","Bayer Leverkusen","4-2-3-1",0,2.4,"","2","0","Köln","4-1-3-2",1,0.5,"Kingsley Schindler · 67&rsquor;","2","0","https://fbref.com/en/matches/7c2bdd85/Bayer-Leverkusen-Koln-March-13-2022-Bundesliga","Bayer Leverkusen","Home","Moussa Diaby",19,"FRA","RW,RM","22-249",90,0,0,0,0,1,0,0,0,35,1,1,1,0.1,0.1,0.1,4,0,21,29,72.4,3,28,4,5,4
"Fußball-Bundesliga","2022-03-13","Fußball-Bundesliga (Matchweek 26)","Bayer Leverkusen","4-2-3-1",0,2.4,"","2","0","Köln","4-1-3-2",1,0.5,"Kingsley Schindler · 67&rsquor;","2","0","https://fbref.com/en/matches/7c2bdd85/Bayer-Leverkusen-Koln-March-13-2022-Bundesliga","Bayer Leverkusen","Home","Florian Wirtz",27,"GER","AM","18-314",27,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.6,2,0,6,10,60,2,8,1,1,1
"Fußball-Bundesliga","2022-03-13","Fußball-Bundesliga (Matchweek 26)","Bayer Leverkusen","4-2-3-1",0,2.4,"","2","0","Köln","4-1-3-2",1,0.5,"Kingsley Schindler · 67&rsquor;","2","0","https://fbref.com/en/matches/7c2bdd85/Bayer-Leverkusen-Koln-March-13-2022-Bundesliga","Bayer Leverkusen","Home","Amine Adli",31,"MAR","AM,LM","21-307",63,0,0,0,0,4,0,0,0,41,1,0,1,0.3,0.3,0.1,4,0,26,31,83.9,4,30,2,0,0
"Fußball-Bundesliga","2022-03-13","Fußball-Bundesliga (Matchweek 26)","Bayer Leverkusen","4-2-3-1",0,2.4,"","2","0","Köln","4-1-3-2",1,0.5,"Kingsley Schindler · 67&rsquor;","2","0","https://fbref.com/en/matches/7c2bdd85/Bayer-Leverkusen-Koln-March-13-2022-Bundesliga","Bayer Leverkusen","Home","Kerem Demirbay",10,"GER","DM,CM","28-253",90,0,0,0,0,5,1,1,0,81,1,0,3,0.4,0.4,0,0,0,46,64,71.9,7,43,1,4,2
"Fußball-Bundesliga","2022-03-13","Fußball-Bundesliga (Matchweek 26)","Bayer Leverkusen","4-2-3-1",0,2.4,"","2","0","Köln","4-1-3-2",1,0.5,"Kingsley Schindler · 67&rsquor;","2","0","https://fbref.com/en/matches/7c2bdd85/Bayer-Leverkusen-Koln-March-13-2022-Bundesliga","Bayer Leverkusen","Home","Exequiel Palacios",25,"ARG","DM","23-159",63,0,0,0,0,0,0,1,0,45,0,1,1,0,0,0,1,0,28,38,73.7,5,28,1,0,0
"Fußball-Bundesliga","2022-03-13","Fußball-Bundesliga (Matchweek 26)","Bayer Leverkusen","4-2-3-1",0,2.4,"","2","0","Köln","4-1-3-2",1,0.5,"Kingsley Schindler · 67&rsquor;","2","0","https://fbref.com/en/matches/7c2bdd85/Bayer-Leverkusen-Koln-March-13-2022-Bundesliga","Bayer Leverkusen","Home","Charles Aránguiz",20,"CHI","CM,DM","32-330",27,0,0,0,0,0,0,0,0,26,3,0,0,0,0,0,2,0,16,21,76.2,3,11,0,1,1
"Fußball-Bundesliga","2022-03-13","Fußball-Bundesliga (Matchweek 26)","Bayer Leverkusen","4-2-3-1",0,2.4,"","2","0","Köln","4-1-3-2",1,0.5,"Kingsley Schindler · 67&rsquor;","2","0","https://fbref.com/en/matches/7c2bdd85/Bayer-Leverkusen-Koln-March-13-2022-Bundesliga","Bayer Leverkusen","Home","Piero Hincapié",33,"ECU","LB","20-063",90,0,0,0,0,0,0,0,0,67,2,3,1,0,0,0.2,3,0,38,52,73.1,8,38,7,4,2
