"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Bayer Leverkusen","4-4-2",4,NA,"Toni Kroos · 2&rsquor; Simon Rolfes (P) · 28&rsquor; Eren Derdiyok · 34&rsquor; Stefan Kießling · 68&rsquor;","0","0","Nürnberg","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/80ce06a5/Bayer-Leverkusen-Nurnberg-October-3-2009-Bundesliga","Bayer Leverkusen","Home","Stefan Kießling",NA,"GER","FW,MF","25-251",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Bayer Leverkusen","4-4-2",4,NA,"Toni Kroos · 2&rsquor; Simon Rolfes (P) · 28&rsquor; Eren Derdiyok · 34&rsquor; Stefan Kießling · 68&rsquor;","0","0","Nürnberg","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/80ce06a5/Bayer-Leverkusen-Nurnberg-October-3-2009-Bundesliga","Bayer Leverkusen","Home","Eren Derdiyok",NA,"SUI","FW","21-113",70,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Bayer Leverkusen","4-4-2",4,NA,"Toni Kroos · 2&rsquor; Simon Rolfes (P) · 28&rsquor; Eren Derdiyok · 34&rsquor; Stefan Kießling · 68&rsquor;","0","0","Nürnberg","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/80ce06a5/Bayer-Leverkusen-Nurnberg-October-3-2009-Bundesliga","Bayer Leverkusen","Home","Theofanis Gekas",NA,"GRE","FW","29-133",20,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Bayer Leverkusen","4-4-2",4,NA,"Toni Kroos · 2&rsquor; Simon Rolfes (P) · 28&rsquor; Eren Derdiyok · 34&rsquor; Stefan Kießling · 68&rsquor;","0","0","Nürnberg","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/80ce06a5/Bayer-Leverkusen-Nurnberg-October-3-2009-Bundesliga","Bayer Leverkusen","Home","Toni Kroos",NA,"GER","MF","19-272",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Bayer Leverkusen","4-4-2",4,NA,"Toni Kroos · 2&rsquor; Simon Rolfes (P) · 28&rsquor; Eren Derdiyok · 34&rsquor; Stefan Kießling · 68&rsquor;","0","0","Nürnberg","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/80ce06a5/Bayer-Leverkusen-Nurnberg-October-3-2009-Bundesliga","Bayer Leverkusen","Home","Simon Rolfes",NA,"GER","MF","27-255",90,1,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Bayer Leverkusen","4-4-2",4,NA,"Toni Kroos · 2&rsquor; Simon Rolfes (P) · 28&rsquor; Eren Derdiyok · 34&rsquor; Stefan Kießling · 68&rsquor;","0","0","Nürnberg","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/80ce06a5/Bayer-Leverkusen-Nurnberg-October-3-2009-Bundesliga","Bayer Leverkusen","Home","Arturo Vidal",NA,"CHI","MF","22-134",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Bayer Leverkusen","4-4-2",4,NA,"Toni Kroos · 2&rsquor; Simon Rolfes (P) · 28&rsquor; Eren Derdiyok · 34&rsquor; Stefan Kießling · 68&rsquor;","0","0","Nürnberg","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/80ce06a5/Bayer-Leverkusen-Nurnberg-October-3-2009-Bundesliga","Bayer Leverkusen","Home","Tranquillo Barnetta",NA,"SUI","MF","24-134",72,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Bayer Leverkusen","4-4-2",4,NA,"Toni Kroos · 2&rsquor; Simon Rolfes (P) · 28&rsquor; Eren Derdiyok · 34&rsquor; Stefan Kießling · 68&rsquor;","0","0","Nürnberg","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/80ce06a5/Bayer-Leverkusen-Nurnberg-October-3-2009-Bundesliga","Bayer Leverkusen","Home","Stefan Reinartz",NA,"GER","DF,MF","20-275",18,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Bayer Leverkusen","4-4-2",4,NA,"Toni Kroos · 2&rsquor; Simon Rolfes (P) · 28&rsquor; Eren Derdiyok · 34&rsquor; Stefan Kießling · 68&rsquor;","0","0","Nürnberg","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/80ce06a5/Bayer-Leverkusen-Nurnberg-October-3-2009-Bundesliga","Bayer Leverkusen","Home","Gonzalo Castro",NA,"GER","DF,MF","22-114",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Bayer Leverkusen","4-4-2",4,NA,"Toni Kroos · 2&rsquor; Simon Rolfes (P) · 28&rsquor; Eren Derdiyok · 34&rsquor; Stefan Kießling · 68&rsquor;","0","0","Nürnberg","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/80ce06a5/Bayer-Leverkusen-Nurnberg-October-3-2009-Bundesliga","Bayer Leverkusen","Home","Sami Hyypiä",NA,"FIN","DF","35-361",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
