"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayer Leverkusen","4-4-2",2,NA,"Stefan Reinartz · 48&rsquor; Eren Derdiyok · 68&rsquor;","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Edin Džeko · 79&rsquor;","3","0","https://fbref.com/en/matches/1291fda2/Bayer-Leverkusen-Wolfsburg-February-13-2010-Bundesliga","Bayer Leverkusen","Home","Eren Derdiyok",NA,"SUI","FW","21-246",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayer Leverkusen","4-4-2",2,NA,"Stefan Reinartz · 48&rsquor; Eren Derdiyok · 68&rsquor;","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Edin Džeko · 79&rsquor;","3","0","https://fbref.com/en/matches/1291fda2/Bayer-Leverkusen-Wolfsburg-February-13-2010-Bundesliga","Bayer Leverkusen","Home","Stefan Kießling",NA,"GER","FW,MF","26-019",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayer Leverkusen","4-4-2",2,NA,"Stefan Reinartz · 48&rsquor; Eren Derdiyok · 68&rsquor;","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Edin Džeko · 79&rsquor;","3","0","https://fbref.com/en/matches/1291fda2/Bayer-Leverkusen-Wolfsburg-February-13-2010-Bundesliga","Bayer Leverkusen","Home","Toni Kroos",NA,"GER","MF","20-040",84,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayer Leverkusen","4-4-2",2,NA,"Stefan Reinartz · 48&rsquor; Eren Derdiyok · 68&rsquor;","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Edin Džeko · 79&rsquor;","3","0","https://fbref.com/en/matches/1291fda2/Bayer-Leverkusen-Wolfsburg-February-13-2010-Bundesliga","Bayer Leverkusen","Home","Gonzalo Castro",NA,"GER","DF,MF","22-247",6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayer Leverkusen","4-4-2",2,NA,"Stefan Reinartz · 48&rsquor; Eren Derdiyok · 68&rsquor;","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Edin Džeko · 79&rsquor;","3","0","https://fbref.com/en/matches/1291fda2/Bayer-Leverkusen-Wolfsburg-February-13-2010-Bundesliga","Bayer Leverkusen","Home","Stefan Reinartz",NA,"GER","DF,MF","21-043",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayer Leverkusen","4-4-2",2,NA,"Stefan Reinartz · 48&rsquor; Eren Derdiyok · 68&rsquor;","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Edin Džeko · 79&rsquor;","3","0","https://fbref.com/en/matches/1291fda2/Bayer-Leverkusen-Wolfsburg-February-13-2010-Bundesliga","Bayer Leverkusen","Home","Lars Bender",NA,"GER","DF,MF","20-292",89,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayer Leverkusen","4-4-2",2,NA,"Stefan Reinartz · 48&rsquor; Eren Derdiyok · 68&rsquor;","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Edin Džeko · 79&rsquor;","3","0","https://fbref.com/en/matches/1291fda2/Bayer-Leverkusen-Wolfsburg-February-13-2010-Bundesliga","Bayer Leverkusen","Home","Lukas Sinkiewicz",NA,"GER","DF,MF","24-127",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayer Leverkusen","4-4-2",2,NA,"Stefan Reinartz · 48&rsquor; Eren Derdiyok · 68&rsquor;","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Edin Džeko · 79&rsquor;","3","0","https://fbref.com/en/matches/1291fda2/Bayer-Leverkusen-Wolfsburg-February-13-2010-Bundesliga","Bayer Leverkusen","Home","Tranquillo Barnetta",NA,"SUI","MF","24-267",84,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayer Leverkusen","4-4-2",2,NA,"Stefan Reinartz · 48&rsquor; Eren Derdiyok · 68&rsquor;","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Edin Džeko · 79&rsquor;","3","0","https://fbref.com/en/matches/1291fda2/Bayer-Leverkusen-Wolfsburg-February-13-2010-Bundesliga","Bayer Leverkusen","Home","Renato Augusto",NA,"BRA","MF","22-005",6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayer Leverkusen","4-4-2",2,NA,"Stefan Reinartz · 48&rsquor; Eren Derdiyok · 68&rsquor;","2","0","Wolfsburg","4-1-2-1-2",1,NA,"Edin Džeko · 79&rsquor;","3","0","https://fbref.com/en/matches/1291fda2/Bayer-Leverkusen-Wolfsburg-February-13-2010-Bundesliga","Bayer Leverkusen","Home","Michal Kadlec",NA,"CZE","DF","25-062",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
