"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 18&rsquor; Thomas Müller · 20&rsquor; Thomas Müller · 69&rsquor;","2","0","Bochum","4-4-2",1,NA,"Christian Fuchs · 85&rsquor;","0","0","https://fbref.com/en/matches/0308d28c/Bayern-Munich-Bochum-May-1-2010-Bundesliga","Bayern Munich","Home","Ivica Olić",NA,"CRO","FW","30-229",78,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 18&rsquor; Thomas Müller · 20&rsquor; Thomas Müller · 69&rsquor;","2","0","Bochum","4-4-2",1,NA,"Christian Fuchs · 85&rsquor;","0","0","https://fbref.com/en/matches/0308d28c/Bayern-Munich-Bochum-May-1-2010-Bundesliga","Bayern Munich","Home","Mario Gómez",NA,"GER","FW","24-295",12,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 18&rsquor; Thomas Müller · 20&rsquor; Thomas Müller · 69&rsquor;","2","0","Bochum","4-4-2",1,NA,"Christian Fuchs · 85&rsquor;","0","0","https://fbref.com/en/matches/0308d28c/Bayern-Munich-Bochum-May-1-2010-Bundesliga","Bayern Munich","Home","Thomas Müller",NA,"GER","FW,MF","20-230",70,3,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 18&rsquor; Thomas Müller · 20&rsquor; Thomas Müller · 69&rsquor;","2","0","Bochum","4-4-2",1,NA,"Christian Fuchs · 85&rsquor;","0","0","https://fbref.com/en/matches/0308d28c/Bayern-Munich-Bochum-May-1-2010-Bundesliga","Bayern Munich","Home","Miroslav Klose",NA,"GER","FW","31-326",20,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 18&rsquor; Thomas Müller · 20&rsquor; Thomas Müller · 69&rsquor;","2","0","Bochum","4-4-2",1,NA,"Christian Fuchs · 85&rsquor;","0","0","https://fbref.com/en/matches/0308d28c/Bayern-Munich-Bochum-May-1-2010-Bundesliga","Bayern Munich","Home","Franck Ribéry",NA,"FRA","FW,MF","27-024",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 18&rsquor; Thomas Müller · 20&rsquor; Thomas Müller · 69&rsquor;","2","0","Bochum","4-4-2",1,NA,"Christian Fuchs · 85&rsquor;","0","0","https://fbref.com/en/matches/0308d28c/Bayern-Munich-Bochum-May-1-2010-Bundesliga","Bayern Munich","Home","Bastian Schweinsteiger",NA,"GER","DF,MF","25-273",83,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 18&rsquor; Thomas Müller · 20&rsquor; Thomas Müller · 69&rsquor;","2","0","Bochum","4-4-2",1,NA,"Christian Fuchs · 85&rsquor;","0","0","https://fbref.com/en/matches/0308d28c/Bayern-Munich-Bochum-May-1-2010-Bundesliga","Bayern Munich","Home","Anatoliy Tymoshchuk",NA,"UKR","DF,MF","31-032",7,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 18&rsquor; Thomas Müller · 20&rsquor; Thomas Müller · 69&rsquor;","2","0","Bochum","4-4-2",1,NA,"Christian Fuchs · 85&rsquor;","0","0","https://fbref.com/en/matches/0308d28c/Bayern-Munich-Bochum-May-1-2010-Bundesliga","Bayern Munich","Home","Mark van Bommel",NA,"NED","MF","33-009",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 18&rsquor; Thomas Müller · 20&rsquor; Thomas Müller · 69&rsquor;","2","0","Bochum","4-4-2",1,NA,"Christian Fuchs · 85&rsquor;","0","0","https://fbref.com/en/matches/0308d28c/Bayern-Munich-Bochum-May-1-2010-Bundesliga","Bayern Munich","Home","Arjen Robben",NA,"NED","FW,MF","26-098",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 18&rsquor; Thomas Müller · 20&rsquor; Thomas Müller · 69&rsquor;","2","0","Bochum","4-4-2",1,NA,"Christian Fuchs · 85&rsquor;","0","0","https://fbref.com/en/matches/0308d28c/Bayern-Munich-Bochum-May-1-2010-Bundesliga","Bayern Munich","Home","Diego Contento",NA,"GER","DF","20-000",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
