"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Bayern Munich","4-2-3-1",3,2.4,"Kingsley Coman · 12&rsquor; Leroy Sané · 25&rsquor; Kingsley Coman · 85&rsquor;","1","0","Freiburg","4-4-2",0,0.1,"","0","0","https://fbref.com/en/matches/8a7f496b/Bayern-Munich-Freiburg-October-8-2023-Bundesliga","Bayern Munich","Home","Harry Kane",9,"ENG","FW","30-072",72,0,1,0,0,4,0,0,0,48,1,0,0,0.3,0.3,0.9,4,1,28,35,80,2,30,0,1,0
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Bayern Munich","4-2-3-1",3,2.4,"Kingsley Coman · 12&rsquor; Leroy Sané · 25&rsquor; Kingsley Coman · 85&rsquor;","1","0","Freiburg","4-4-2",0,0.1,"","0","0","https://fbref.com/en/matches/8a7f496b/Bayern-Munich-Freiburg-October-8-2023-Bundesliga","Bayern Munich","Home","Mathys Tel",39,"FRA","FW","18-164",18,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,4,100,1,4,0,0,0
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Bayern Munich","4-2-3-1",3,2.4,"Kingsley Coman · 12&rsquor; Leroy Sané · 25&rsquor; Kingsley Coman · 85&rsquor;","1","0","Freiburg","4-4-2",0,0.1,"","0","0","https://fbref.com/en/matches/8a7f496b/Bayern-Munich-Freiburg-October-8-2023-Bundesliga","Bayern Munich","Home","Leroy Sané",10,"GER","LW","27-270",90,1,0,0,0,3,1,0,0,52,0,0,1,1,1,0.8,10,1,38,43,88.4,4,42,4,5,4
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Bayern Munich","4-2-3-1",3,2.4,"Kingsley Coman · 12&rsquor; Leroy Sané · 25&rsquor; Kingsley Coman · 85&rsquor;","1","0","Freiburg","4-4-2",0,0.1,"","0","0","https://fbref.com/en/matches/8a7f496b/Bayern-Munich-Freiburg-October-8-2023-Bundesliga","Bayern Munich","Home","Kingsley Coman",11,"FRA","RW","27-117",87,2,0,0,0,6,3,0,0,66,1,0,1,0.5,0.5,0.3,4,0,39,49,79.6,7,53,12,8,4
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Bayern Munich","4-2-3-1",3,2.4,"Kingsley Coman · 12&rsquor; Leroy Sané · 25&rsquor; Kingsley Coman · 85&rsquor;","1","0","Freiburg","4-4-2",0,0.1,"","0","0","https://fbref.com/en/matches/8a7f496b/Bayern-Munich-Freiburg-October-8-2023-Bundesliga","Bayern Munich","Home","Eric Maxim Choupo-Moting",13,"CMR","RW","34-199",3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Bayern Munich","4-2-3-1",3,2.4,"Kingsley Coman · 12&rsquor; Leroy Sané · 25&rsquor; Kingsley Coman · 85&rsquor;","1","0","Freiburg","4-4-2",0,0.1,"","0","0","https://fbref.com/en/matches/8a7f496b/Bayern-Munich-Freiburg-October-8-2023-Bundesliga","Bayern Munich","Home","Thomas Müller",25,"GER","AM","34-025",71,0,1,0,0,2,0,0,0,40,1,0,3,0.2,0.2,0,2,1,18,29,62.1,1,24,1,1,0
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Bayern Munich","4-2-3-1",3,2.4,"Kingsley Coman · 12&rsquor; Leroy Sané · 25&rsquor; Kingsley Coman · 85&rsquor;","1","0","Freiburg","4-4-2",0,0.1,"","0","0","https://fbref.com/en/matches/8a7f496b/Bayern-Munich-Freiburg-October-8-2023-Bundesliga","Bayern Munich","Home","Jamal Musiala",42,"GER","AM","20-224",19,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,2,0,8,9,88.9,3,7,2,1,1
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Bayern Munich","4-2-3-1",3,2.4,"Kingsley Coman · 12&rsquor; Leroy Sané · 25&rsquor; Kingsley Coman · 85&rsquor;","1","0","Freiburg","4-4-2",0,0.1,"","0","0","https://fbref.com/en/matches/8a7f496b/Bayern-Munich-Freiburg-October-8-2023-Bundesliga","Bayern Munich","Home","Joshua Kimmich",6,"GER","DM","28-242",87,0,0,0,0,1,0,0,0,112,3,3,1,0,0,0.2,6,0,85,102,83.3,15,73,2,0,0
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Bayern Munich","4-2-3-1",3,2.4,"Kingsley Coman · 12&rsquor; Leroy Sané · 25&rsquor; Kingsley Coman · 85&rsquor;","1","0","Freiburg","4-4-2",0,0.1,"","0","0","https://fbref.com/en/matches/8a7f496b/Bayern-Munich-Freiburg-October-8-2023-Bundesliga","Bayern Munich","Home","Frans Krätzig",41,"GER","DM","20-267",3,0,0,0,0,1,1,0,0,6,1,0,0,0.2,0.2,0,0,0,0,2,0,0,2,0,1,0
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Bayern Munich","4-2-3-1",3,2.4,"Kingsley Coman · 12&rsquor; Leroy Sané · 25&rsquor; Kingsley Coman · 85&rsquor;","1","0","Freiburg","4-4-2",0,0.1,"","0","0","https://fbref.com/en/matches/8a7f496b/Bayern-Munich-Freiburg-October-8-2023-Bundesliga","Bayern Munich","Home","Leon Goretzka",8,"GER","DM","28-244",90,0,0,0,0,2,1,0,0,68,0,0,0,0.1,0.1,0.1,1,0,51,60,85,7,42,2,1,1
