"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Bayern Munich","Home","Ivica Olić",NA,"CRO","FW","30-123",62,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Bayern Munich","Home","Miroslav Klose",NA,"GER","FW","31-220",28,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Bayern Munich","Home","Mario Gómez",NA,"GER","FW","24-189",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Bayern Munich","Home","Thomas Müller",NA,"GER","FW,MF","20-124",76,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Bayern Munich","Home","Danijel Pranjić",NA,"CRO","DF,MF","28-044",14,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Bayern Munich","Home","Bastian Schweinsteiger",NA,"GER","DF,MF","25-167",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Bayern Munich","Home","Mark van Bommel",NA,"NED","MF","32-268",89,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Bayern Munich","Home","Anatoliy Tymoshchuk",NA,"UKR","DF,MF","30-291",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Bayern Munich","Home","Arjen Robben",NA,"NED","FW,MF","25-357",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Bayern Munich","Home","Holger Badstuber",NA,"GER","DF","20-308",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Bayern Munich","Home","Martín Demichelis",NA,"ARG","DF,MF","29-026",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Bayern Munich","Home","Daniel Van Buyten",NA,"BEL","DF","31-342",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Bayern Munich","Home","Philipp Lahm",NA,"GER","DF,MF","26-065",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Bayern Munich","Home","Hans-Jörg Butt",NA,"GER","GK","35-232",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Hoffenheim","Away","Vedad Ibišević",NA,"BIH","FW","25-162",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Hoffenheim","Away","Demba Ba",NA,"SEN","FW","24-235",86,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Hoffenheim","Away","Marco Terrazzino",NA,"GER","FW,MF","18-275",4,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Hoffenheim","Away","Maicosuel",NA,"BRA","MF","23-213",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Hoffenheim","Away","Boris Vukčević",NA,"GER","MF","19-305",45,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Hoffenheim","Away","Andreas Ludwig",NA,"GER","MF","19-126",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Hoffenheim","Away","Sejad Salihović",NA,"BIH","DF,MF","25-099",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Hoffenheim","Away","Franco Zuculini",NA,"ARG","MF","19-132",71,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Hoffenheim","Away","Christian Eichner",NA,"GER","DF","27-052",19,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Hoffenheim","Away","Andreas Ibertsberger",NA,"AUT","DF","27-172",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Hoffenheim","Away","Marvin Compper",NA,"GER","DF","24-215",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-4-2",2,NA,"Martín Demichelis · 35&rsquor; Miroslav Klose · 86&rsquor;","0","0","Hoffenheim","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/bfbf31a4/Bayern-Munich-Hoffenheim-January-15-2010-Bundesliga","Hoffenheim","Away","Josip Šimunić",NA,"CRO","DF","31-331",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
