"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-01-24","Fußball-Bundesliga (Matchweek 17)","Bayern Munich","4-2-3-1",1,1.4,"Joshua Kimmich · 90&rsquor;","0","0","Köln","4-2-3-1",1,0.8,"Ellyes Skhiri · 4&rsquor;","1","0","https://fbref.com/en/matches/d292482b/Bayern-Munich-Koln-January-24-2023-Bundesliga","Bayern Munich","Home","Eric Maxim Choupo-Moting",13,"CMR","FW","33-307",90,0,0,0,0,4,0,0,0,36,0,0,0,0.4,0.4,0,5,0,21,27,77.8,7,24,0,2,2
"Fußball-Bundesliga","2023-01-24","Fußball-Bundesliga (Matchweek 17)","Bayern Munich","4-2-3-1",1,1.4,"Joshua Kimmich · 90&rsquor;","0","0","Köln","4-2-3-1",1,0.8,"Ellyes Skhiri · 4&rsquor;","1","0","https://fbref.com/en/matches/d292482b/Bayern-Munich-Koln-January-24-2023-Bundesliga","Bayern Munich","Home","Serge Gnabry",7,"GER","LW","27-194",45,0,0,0,0,2,1,0,0,22,1,0,1,0.2,0.2,0,0,0,11,14,78.6,1,17,2,0,0
"Fußball-Bundesliga","2023-01-24","Fußball-Bundesliga (Matchweek 17)","Bayern Munich","4-2-3-1",1,1.4,"Joshua Kimmich · 90&rsquor;","0","0","Köln","4-2-3-1",1,0.8,"Ellyes Skhiri · 4&rsquor;","1","0","https://fbref.com/en/matches/d292482b/Bayern-Munich-Koln-January-24-2023-Bundesliga","Bayern Munich","Home","Kingsley Coman",11,"FRA","LW,LB","26-225",45,0,0,0,0,3,1,0,0,60,0,0,0,0.1,0.1,0.3,5,0,44,56,78.6,3,47,7,2,2
"Fußball-Bundesliga","2023-01-24","Fußball-Bundesliga (Matchweek 17)","Bayern Munich","4-2-3-1",1,1.4,"Joshua Kimmich · 90&rsquor;","0","0","Köln","4-2-3-1",1,0.8,"Ellyes Skhiri · 4&rsquor;","1","0","https://fbref.com/en/matches/d292482b/Bayern-Munich-Koln-January-24-2023-Bundesliga","Bayern Munich","Home","Leroy Sané",10,"GER","RW,AM","27-013",90,0,0,0,0,4,0,0,0,71,3,0,0,0.2,0.2,0.1,2,0,47,57,82.5,8,53,4,7,4
"Fußball-Bundesliga","2023-01-24","Fußball-Bundesliga (Matchweek 17)","Bayern Munich","4-2-3-1",1,1.4,"Joshua Kimmich · 90&rsquor;","0","0","Köln","4-2-3-1",1,0.8,"Ellyes Skhiri · 4&rsquor;","1","0","https://fbref.com/en/matches/d292482b/Bayern-Munich-Koln-January-24-2023-Bundesliga","Bayern Munich","Home","Jamal Musiala",42,"GER","AM","19-332",67,0,0,0,0,1,0,0,0,44,2,1,1,0.1,0.1,0.1,2,0,28,33,84.8,3,35,1,5,1
"Fußball-Bundesliga","2023-01-24","Fußball-Bundesliga (Matchweek 17)","Bayern Munich","4-2-3-1",1,1.4,"Joshua Kimmich · 90&rsquor;","0","0","Köln","4-2-3-1",1,0.8,"Ellyes Skhiri · 4&rsquor;","1","0","https://fbref.com/en/matches/d292482b/Bayern-Munich-Koln-January-24-2023-Bundesliga","Bayern Munich","Home","Thomas Müller",25,"GER","AM,LW","33-133",23,0,0,0,0,1,1,0,0,13,0,0,1,0.1,0.1,0.1,3,0,8,10,80,3,5,0,0,0
"Fußball-Bundesliga","2023-01-24","Fußball-Bundesliga (Matchweek 17)","Bayern Munich","4-2-3-1",1,1.4,"Joshua Kimmich · 90&rsquor;","0","0","Köln","4-2-3-1",1,0.8,"Ellyes Skhiri · 4&rsquor;","1","0","https://fbref.com/en/matches/d292482b/Bayern-Munich-Koln-January-24-2023-Bundesliga","Bayern Munich","Home","Leon Goretzka",8,"GER","DM","27-352",45,0,0,0,0,4,0,0,0,39,1,1,3,0.2,0.2,0.2,4,0,23,27,85.2,1,15,2,1,1
"Fußball-Bundesliga","2023-01-24","Fußball-Bundesliga (Matchweek 17)","Bayern Munich","4-2-3-1",1,1.4,"Joshua Kimmich · 90&rsquor;","0","0","Köln","4-2-3-1",1,0.8,"Ellyes Skhiri · 4&rsquor;","1","0","https://fbref.com/en/matches/d292482b/Bayern-Munich-Koln-January-24-2023-Bundesliga","Bayern Munich","Home","Ryan Gravenberch",38,"NED","DM","20-253",45,0,0,0,0,1,0,0,0,52,1,0,0,0,0,0,1,0,46,50,92,9,41,0,3,2
"Fußball-Bundesliga","2023-01-24","Fußball-Bundesliga (Matchweek 17)","Bayern Munich","4-2-3-1",1,1.4,"Joshua Kimmich · 90&rsquor;","0","0","Köln","4-2-3-1",1,0.8,"Ellyes Skhiri · 4&rsquor;","1","0","https://fbref.com/en/matches/d292482b/Bayern-Munich-Koln-January-24-2023-Bundesliga","Bayern Munich","Home","Joshua Kimmich",6,"GER","DM","27-350",90,1,0,0,0,1,1,0,0,107,3,2,1,0,0,0.1,5,1,78,95,82.1,10,57,0,2,1
"Fußball-Bundesliga","2023-01-24","Fußball-Bundesliga (Matchweek 17)","Bayern Munich","4-2-3-1",1,1.4,"Joshua Kimmich · 90&rsquor;","0","0","Köln","4-2-3-1",1,0.8,"Ellyes Skhiri · 4&rsquor;","1","0","https://fbref.com/en/matches/d292482b/Bayern-Munich-Koln-January-24-2023-Bundesliga","Bayern Munich","Home","Alphonso Davies",19,"CAN","LB","22-083",81,0,0,0,0,0,0,0,0,101,3,0,0,0,0,0.2,6,0,83,92,90.2,6,68,3,9,7
"Fußball-Bundesliga","2023-01-24","Fußball-Bundesliga (Matchweek 17)","Bayern Munich","4-2-3-1",1,1.4,"Joshua Kimmich · 90&rsquor;","0","0","Köln","4-2-3-1",1,0.8,"Ellyes Skhiri · 4&rsquor;","1","0","https://fbref.com/en/matches/d292482b/Bayern-Munich-Koln-January-24-2023-Bundesliga","Bayern Munich","Home","Mathys Tel",39,"FRA","RW,LB","17-272",9,0,0,0,0,1,0,0,0,15,0,0,0,0.1,0.1,0,0,0,10,10,100,1,11,0,2,0
"Fußball-Bundesliga","2023-01-24","Fußball-Bundesliga (Matchweek 17)","Bayern Munich","4-2-3-1",1,1.4,"Joshua Kimmich · 90&rsquor;","0","0","Köln","4-2-3-1",1,0.8,"Ellyes Skhiri · 4&rsquor;","1","0","https://fbref.com/en/matches/d292482b/Bayern-Munich-Koln-January-24-2023-Bundesliga","Bayern Munich","Home","Matthijs de Ligt",4,"NED","CB","23-165",90,0,0,0,0,1,1,0,0,140,1,0,2,0,0,0,2,0,125,130,96.2,15,113,1,0,0
