"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-12-11","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-2-3-1",2,1.6,"Kingsley Coman · 53&rsquor; Jamal Musiala · 74&rsquor;","3","0","Mainz 05","3-5-2",1,0.8,"Karim Onisiwo · 22&rsquor;","3","0","https://fbref.com/en/matches/66f449cb/Bayern-Munich-Mainz-05-December-11-2021-Bundesliga","Bayern Munich","Home","Robert Lewandowski",9,"POL","FW","33-112",90,0,0,0,0,3,1,0,0,45,0,0,2,0.1,0.1,0.1,4,0,22,25,88,3,31,2,5,4
"Fußball-Bundesliga","2021-12-11","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-2-3-1",2,1.6,"Kingsley Coman · 53&rsquor; Jamal Musiala · 74&rsquor;","3","0","Mainz 05","3-5-2",1,0.8,"Karim Onisiwo · 22&rsquor;","3","0","https://fbref.com/en/matches/66f449cb/Bayern-Munich-Mainz-05-December-11-2021-Bundesliga","Bayern Munich","Home","Leroy Sané",10,"GER","LW","25-334",64,0,0,0,0,2,1,1,0,48,2,0,1,0.1,0.1,0,5,0,32,37,86.5,4,31,1,2,1
"Fußball-Bundesliga","2021-12-11","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-2-3-1",2,1.6,"Kingsley Coman · 53&rsquor; Jamal Musiala · 74&rsquor;","3","0","Mainz 05","3-5-2",1,0.8,"Karim Onisiwo · 22&rsquor;","3","0","https://fbref.com/en/matches/66f449cb/Bayern-Munich-Mainz-05-December-11-2021-Bundesliga","Bayern Munich","Home","Serge Gnabry",7,"GER","LW","26-150",26,0,0,0,0,1,0,0,0,24,1,0,0,0,0,0,0,0,17,20,85,2,18,2,2,1
"Fußball-Bundesliga","2021-12-11","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-2-3-1",2,1.6,"Kingsley Coman · 53&rsquor; Jamal Musiala · 74&rsquor;","3","0","Mainz 05","3-5-2",1,0.8,"Karim Onisiwo · 22&rsquor;","3","0","https://fbref.com/en/matches/66f449cb/Bayern-Munich-Mainz-05-December-11-2021-Bundesliga","Bayern Munich","Home","Kingsley Coman",11,"FRA","RW","25-181",90,1,0,0,0,5,2,0,0,66,2,1,1,0.6,0.6,0.2,6,0,32,43,74.4,3,43,8,13,7
"Fußball-Bundesliga","2021-12-11","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-2-3-1",2,1.6,"Kingsley Coman · 53&rsquor; Jamal Musiala · 74&rsquor;","3","0","Mainz 05","3-5-2",1,0.8,"Karim Onisiwo · 22&rsquor;","3","0","https://fbref.com/en/matches/66f449cb/Bayern-Munich-Mainz-05-December-11-2021-Bundesliga","Bayern Munich","Home","Thomas Müller",25,"GER","AM","32-089",90,0,0,0,0,1,1,0,0,62,0,0,3,0.1,0.1,0.1,3,0,40,53,75.5,5,36,0,0,0
"Fußball-Bundesliga","2021-12-11","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-2-3-1",2,1.6,"Kingsley Coman · 53&rsquor; Jamal Musiala · 74&rsquor;","3","0","Mainz 05","3-5-2",1,0.8,"Karim Onisiwo · 22&rsquor;","3","0","https://fbref.com/en/matches/66f449cb/Bayern-Munich-Mainz-05-December-11-2021-Bundesliga","Bayern Munich","Home","Corentin Tolisso",24,"FRA","DM","27-130",64,0,1,0,0,2,0,0,0,80,1,0,1,0.2,0.2,0.3,5,1,62,68,91.2,15,59,0,0,0
"Fußball-Bundesliga","2021-12-11","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-2-3-1",2,1.6,"Kingsley Coman · 53&rsquor; Jamal Musiala · 74&rsquor;","3","0","Mainz 05","3-5-2",1,0.8,"Karim Onisiwo · 22&rsquor;","3","0","https://fbref.com/en/matches/66f449cb/Bayern-Munich-Mainz-05-December-11-2021-Bundesliga","Bayern Munich","Home","Marc Roca",22,"ESP","DM","25-015",26,0,0,0,0,0,0,0,0,27,0,1,1,0,0,0,0,0,19,21,90.5,4,15,0,2,0
"Fußball-Bundesliga","2021-12-11","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-2-3-1",2,1.6,"Kingsley Coman · 53&rsquor; Jamal Musiala · 74&rsquor;","3","0","Mainz 05","3-5-2",1,0.8,"Karim Onisiwo · 22&rsquor;","3","0","https://fbref.com/en/matches/66f449cb/Bayern-Munich-Mainz-05-December-11-2021-Bundesliga","Bayern Munich","Home","Jamal Musiala",42,"GER","DM","18-288",81,1,0,0,0,2,1,1,0,48,1,2,3,0.1,0.1,0,4,1,25,29,86.2,3,32,2,10,5
"Fußball-Bundesliga","2021-12-11","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-2-3-1",2,1.6,"Kingsley Coman · 53&rsquor; Jamal Musiala · 74&rsquor;","3","0","Mainz 05","3-5-2",1,0.8,"Karim Onisiwo · 22&rsquor;","3","0","https://fbref.com/en/matches/66f449cb/Bayern-Munich-Mainz-05-December-11-2021-Bundesliga","Bayern Munich","Home","Tanguy Nianzou",23,"FRA","DM","19-187",9,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,7,7,100,0,7,0,0,0
"Fußball-Bundesliga","2021-12-11","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-2-3-1",2,1.6,"Kingsley Coman · 53&rsquor; Jamal Musiala · 74&rsquor;","3","0","Mainz 05","3-5-2",1,0.8,"Karim Onisiwo · 22&rsquor;","3","0","https://fbref.com/en/matches/66f449cb/Bayern-Munich-Mainz-05-December-11-2021-Bundesliga","Bayern Munich","Home","Alphonso Davies",19,"CAN","LB","21-039",90,0,0,0,0,3,0,0,0,87,0,1,2,0.3,0.3,0,2,0,55,67,82.1,5,59,10,7,5
"Fußball-Bundesliga","2021-12-11","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-2-3-1",2,1.6,"Kingsley Coman · 53&rsquor; Jamal Musiala · 74&rsquor;","3","0","Mainz 05","3-5-2",1,0.8,"Karim Onisiwo · 22&rsquor;","3","0","https://fbref.com/en/matches/66f449cb/Bayern-Munich-Mainz-05-December-11-2021-Bundesliga","Bayern Munich","Home","Lucas Hernández",21,"FRA","CB","25-300",64,0,0,0,0,0,0,1,0,82,3,4,1,0,0,0.1,3,0,66,71,93,8,54,5,1,1
"Fußball-Bundesliga","2021-12-11","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-2-3-1",2,1.6,"Kingsley Coman · 53&rsquor; Jamal Musiala · 74&rsquor;","3","0","Mainz 05","3-5-2",1,0.8,"Karim Onisiwo · 22&rsquor;","3","0","https://fbref.com/en/matches/66f449cb/Bayern-Munich-Mainz-05-December-11-2021-Bundesliga","Bayern Munich","Home","Niklas Süle",4,"GER","CB","26-099",26,0,0,0,0,0,0,0,0,37,2,0,0,0,0,0,0,0,31,35,88.6,3,30,0,0,0
"Fußball-Bundesliga","2021-12-11","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-2-3-1",2,1.6,"Kingsley Coman · 53&rsquor; Jamal Musiala · 74&rsquor;","3","0","Mainz 05","3-5-2",1,0.8,"Karim Onisiwo · 22&rsquor;","3","0","https://fbref.com/en/matches/66f449cb/Bayern-Munich-Mainz-05-December-11-2021-Bundesliga","Bayern Munich","Home","Dayot Upamecano",2,"FRA","CB","23-045",90,0,0,0,0,0,0,0,0,107,5,3,2,0,0,0,1,0,82,90,91.1,5,81,2,2,2
"Fußball-Bundesliga","2021-12-11","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-2-3-1",2,1.6,"Kingsley Coman · 53&rsquor; Jamal Musiala · 74&rsquor;","3","0","Mainz 05","3-5-2",1,0.8,"Karim Onisiwo · 22&rsquor;","3","0","https://fbref.com/en/matches/66f449cb/Bayern-Munich-Mainz-05-December-11-2021-Bundesliga","Bayern Munich","Home","Benjamin Pavard",5,"FRA","RB","25-258",90,0,1,0,0,1,1,0,0,132,1,0,0,0,0,0.2,3,1,108,126,85.7,10,96,2,1,1
"Fußball-Bundesliga","2021-12-11","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-2-3-1",2,1.6,"Kingsley Coman · 53&rsquor; Jamal Musiala · 74&rsquor;","3","0","Mainz 05","3-5-2",1,0.8,"Karim Onisiwo · 22&rsquor;","3","0","https://fbref.com/en/matches/66f449cb/Bayern-Munich-Mainz-05-December-11-2021-Bundesliga","Bayern Munich","Home","Manuel Neuer",1,"GER","GK","35-259",90,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,2,1,46,49,93.9,0,39,0,0,0
