"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-4-2",2,NA,"Mario Gómez · 19&rsquor; Holger Badstuber · 75&rsquor;","3","0","Mönchengladbach","4-4-1-1",1,NA,"Roel Brouwers · 28&rsquor;","2","0","https://fbref.com/en/matches/2630e088/Bayern-Munich-Monchengladbach-December-4-2009-Bundesliga","Bayern Munich","Home","Ivica Olić",NA,"CRO","FW","30-081",57,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-4-2",2,NA,"Mario Gómez · 19&rsquor; Holger Badstuber · 75&rsquor;","3","0","Mönchengladbach","4-4-1-1",1,NA,"Roel Brouwers · 28&rsquor;","2","0","https://fbref.com/en/matches/2630e088/Bayern-Munich-Monchengladbach-December-4-2009-Bundesliga","Bayern Munich","Home","Arjen Robben",NA,"NED","FW,MF","25-315",33,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-4-2",2,NA,"Mario Gómez · 19&rsquor; Holger Badstuber · 75&rsquor;","3","0","Mönchengladbach","4-4-1-1",1,NA,"Roel Brouwers · 28&rsquor;","2","0","https://fbref.com/en/matches/2630e088/Bayern-Munich-Monchengladbach-December-4-2009-Bundesliga","Bayern Munich","Home","Mario Gómez",NA,"GER","FW","24-147",90,1,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-4-2",2,NA,"Mario Gómez · 19&rsquor; Holger Badstuber · 75&rsquor;","3","0","Mönchengladbach","4-4-1-1",1,NA,"Roel Brouwers · 28&rsquor;","2","0","https://fbref.com/en/matches/2630e088/Bayern-Munich-Monchengladbach-December-4-2009-Bundesliga","Bayern Munich","Home","Danijel Pranjić",NA,"CRO","DF,MF","28-002",78,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-4-2",2,NA,"Mario Gómez · 19&rsquor; Holger Badstuber · 75&rsquor;","3","0","Mönchengladbach","4-4-1-1",1,NA,"Roel Brouwers · 28&rsquor;","2","0","https://fbref.com/en/matches/2630e088/Bayern-Munich-Monchengladbach-December-4-2009-Bundesliga","Bayern Munich","Home","Anatoliy Tymoshchuk",NA,"UKR","DF,MF","30-249",12,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-4-2",2,NA,"Mario Gómez · 19&rsquor; Holger Badstuber · 75&rsquor;","3","0","Mönchengladbach","4-4-1-1",1,NA,"Roel Brouwers · 28&rsquor;","2","0","https://fbref.com/en/matches/2630e088/Bayern-Munich-Monchengladbach-December-4-2009-Bundesliga","Bayern Munich","Home","Mark van Bommel",NA,"NED","MF","32-226",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-4-2",2,NA,"Mario Gómez · 19&rsquor; Holger Badstuber · 75&rsquor;","3","0","Mönchengladbach","4-4-1-1",1,NA,"Roel Brouwers · 28&rsquor;","2","0","https://fbref.com/en/matches/2630e088/Bayern-Munich-Monchengladbach-December-4-2009-Bundesliga","Bayern Munich","Home","Bastian Schweinsteiger",NA,"GER","DF,MF","25-125",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-4-2",2,NA,"Mario Gómez · 19&rsquor; Holger Badstuber · 75&rsquor;","3","0","Mönchengladbach","4-4-1-1",1,NA,"Roel Brouwers · 28&rsquor;","2","0","https://fbref.com/en/matches/2630e088/Bayern-Munich-Monchengladbach-December-4-2009-Bundesliga","Bayern Munich","Home","Thomas Müller",NA,"GER","FW,MF","20-082",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-4-2",2,NA,"Mario Gómez · 19&rsquor; Holger Badstuber · 75&rsquor;","3","0","Mönchengladbach","4-4-1-1",1,NA,"Roel Brouwers · 28&rsquor;","2","0","https://fbref.com/en/matches/2630e088/Bayern-Munich-Monchengladbach-December-4-2009-Bundesliga","Bayern Munich","Home","Holger Badstuber",NA,"GER","DF","20-266",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Bayern Munich","4-4-2",2,NA,"Mario Gómez · 19&rsquor; Holger Badstuber · 75&rsquor;","3","0","Mönchengladbach","4-4-1-1",1,NA,"Roel Brouwers · 28&rsquor;","2","0","https://fbref.com/en/matches/2630e088/Bayern-Munich-Monchengladbach-December-4-2009-Bundesliga","Bayern Munich","Home","Martín Demichelis",NA,"ARG","DF,MF","28-349",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
