"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-01-07","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-2-3-1",1,1.9,"Robert Lewandowski · 18&rsquor;","0","0","Mönchengladbach","3-1-4-2",2,1,"Florian Neuhaus · 27&rsquor; Stefan Lainer · 31&rsquor;","1","0","https://fbref.com/en/matches/c57aed20/Bayern-Munich-Monchengladbach-January-7-2022-Bundesliga","Bayern Munich","Home","Robert Lewandowski",9,"POL","FW","33-139",90,1,0,0,0,6,3,0,0,40,0,0,1,0.7,0.7,0.5,7,0,18,25,72,0,26,1,3,2
"Fußball-Bundesliga","2022-01-07","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-2-3-1",1,1.9,"Robert Lewandowski · 18&rsquor;","0","0","Mönchengladbach","3-1-4-2",2,1,"Florian Neuhaus · 27&rsquor; Stefan Lainer · 31&rsquor;","1","0","https://fbref.com/en/matches/c57aed20/Bayern-Munich-Monchengladbach-January-7-2022-Bundesliga","Bayern Munich","Home","Malik Tillman",40,"USA","LW","19-224",74,0,0,0,0,0,0,0,0,46,1,2,4,0,0,0.1,2,0,22,29,75.9,7,17,0,4,0
"Fußball-Bundesliga","2022-01-07","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-2-3-1",1,1.9,"Robert Lewandowski · 18&rsquor;","0","0","Mönchengladbach","3-1-4-2",2,1,"Florian Neuhaus · 27&rsquor; Stefan Lainer · 31&rsquor;","1","0","https://fbref.com/en/matches/c57aed20/Bayern-Munich-Monchengladbach-January-7-2022-Bundesliga","Bayern Munich","Home","Lucas Copado",34,"GER","RW","17-362",16,0,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,3,4,75,0,2,0,1,1
"Fußball-Bundesliga","2022-01-07","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-2-3-1",1,1.9,"Robert Lewandowski · 18&rsquor;","0","0","Mönchengladbach","3-1-4-2",2,1,"Florian Neuhaus · 27&rsquor; Stefan Lainer · 31&rsquor;","1","0","https://fbref.com/en/matches/c57aed20/Bayern-Munich-Monchengladbach-January-7-2022-Bundesliga","Bayern Munich","Home","Serge Gnabry",7,"GER","RW,RB","26-177",90,0,0,0,0,3,1,0,0,72,3,0,1,0.1,0.1,0,4,1,41,57,71.9,3,39,8,7,5
"Fußball-Bundesliga","2022-01-07","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-2-3-1",1,1.9,"Robert Lewandowski · 18&rsquor;","0","0","Mönchengladbach","3-1-4-2",2,1,"Florian Neuhaus · 27&rsquor; Stefan Lainer · 31&rsquor;","1","0","https://fbref.com/en/matches/c57aed20/Bayern-Munich-Monchengladbach-January-7-2022-Bundesliga","Bayern Munich","Home","Thomas Müller",25,"GER","AM","32-116",90,0,1,0,0,3,1,0,0,59,1,0,1,0.9,0.9,0.5,6,1,35,52,67.3,5,28,3,0,0
"Fußball-Bundesliga","2022-01-07","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-2-3-1",1,1.9,"Robert Lewandowski · 18&rsquor;","0","0","Mönchengladbach","3-1-4-2",2,1,"Florian Neuhaus · 27&rsquor; Stefan Lainer · 31&rsquor;","1","0","https://fbref.com/en/matches/c57aed20/Bayern-Munich-Monchengladbach-January-7-2022-Bundesliga","Bayern Munich","Home","Jamal Musiala",42,"GER","DM","18-315",90,0,0,0,0,1,1,0,0,82,2,4,1,0.1,0.1,0.1,4,0,50,60,83.3,8,37,1,9,5
"Fußball-Bundesliga","2022-01-07","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-2-3-1",1,1.9,"Robert Lewandowski · 18&rsquor;","0","0","Mönchengladbach","3-1-4-2",2,1,"Florian Neuhaus · 27&rsquor; Stefan Lainer · 31&rsquor;","1","0","https://fbref.com/en/matches/c57aed20/Bayern-Munich-Monchengladbach-January-7-2022-Bundesliga","Bayern Munich","Home","Marc Roca",22,"ESP","DM","25-042",74,0,0,0,0,1,0,0,0,72,2,1,1,0,0,0,1,0,45,57,78.9,7,31,1,0,0
"Fußball-Bundesliga","2022-01-07","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-2-3-1",1,1.9,"Robert Lewandowski · 18&rsquor;","0","0","Mönchengladbach","3-1-4-2",2,1,"Florian Neuhaus · 27&rsquor; Stefan Lainer · 31&rsquor;","1","0","https://fbref.com/en/matches/c57aed20/Bayern-Munich-Monchengladbach-January-7-2022-Bundesliga","Bayern Munich","Home","Paul Wanner",14,"GER","LW","16-015",16,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,3,5,60,1,5,0,1,1
"Fußball-Bundesliga","2022-01-07","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-2-3-1",1,1.9,"Robert Lewandowski · 18&rsquor;","0","0","Mönchengladbach","3-1-4-2",2,1,"Florian Neuhaus · 27&rsquor; Stefan Lainer · 31&rsquor;","1","0","https://fbref.com/en/matches/c57aed20/Bayern-Munich-Monchengladbach-January-7-2022-Bundesliga","Bayern Munich","Home","Marcel Sabitzer",18,"AUT","LB","27-296",90,0,0,0,0,2,0,0,0,112,3,2,0,0.1,0.1,0,3,0,71,98,72.4,8,56,3,1,0
"Fußball-Bundesliga","2022-01-07","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-2-3-1",1,1.9,"Robert Lewandowski · 18&rsquor;","0","0","Mönchengladbach","3-1-4-2",2,1,"Florian Neuhaus · 27&rsquor; Stefan Lainer · 31&rsquor;","1","0","https://fbref.com/en/matches/c57aed20/Bayern-Munich-Monchengladbach-January-7-2022-Bundesliga","Bayern Munich","Home","Niklas Süle",4,"GER","CB","26-126",90,0,0,0,0,0,0,0,0,98,3,1,1,0,0,0,1,0,80,88,90.9,12,53,3,1,0
"Fußball-Bundesliga","2022-01-07","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-2-3-1",1,1.9,"Robert Lewandowski · 18&rsquor;","0","0","Mönchengladbach","3-1-4-2",2,1,"Florian Neuhaus · 27&rsquor; Stefan Lainer · 31&rsquor;","1","0","https://fbref.com/en/matches/c57aed20/Bayern-Munich-Monchengladbach-January-7-2022-Bundesliga","Bayern Munich","Home","Benjamin Pavard",5,"FRA","CB","25-285",90,0,0,0,0,0,0,0,0,103,1,0,3,0,0,0,1,0,86,95,90.5,5,49,0,0,0
"Fußball-Bundesliga","2022-01-07","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-2-3-1",1,1.9,"Robert Lewandowski · 18&rsquor;","0","0","Mönchengladbach","3-1-4-2",2,1,"Florian Neuhaus · 27&rsquor; Stefan Lainer · 31&rsquor;","1","0","https://fbref.com/en/matches/c57aed20/Bayern-Munich-Monchengladbach-January-7-2022-Bundesliga","Bayern Munich","Home","Joshua Kimmich",6,"GER","RB,DM","26-333",90,0,0,0,0,1,0,0,0,121,2,1,2,0.1,0.1,0,3,0,86,104,82.7,7,61,2,4,1
"Fußball-Bundesliga","2022-01-07","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-2-3-1",1,1.9,"Robert Lewandowski · 18&rsquor;","0","0","Mönchengladbach","3-1-4-2",2,1,"Florian Neuhaus · 27&rsquor; Stefan Lainer · 31&rsquor;","1","0","https://fbref.com/en/matches/c57aed20/Bayern-Munich-Monchengladbach-January-7-2022-Bundesliga","Bayern Munich","Home","Sven Ulreich",26,"GER","GK","33-157",90,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,42,46,91.3,0,30,0,0,0
"Fußball-Bundesliga","2022-01-07","Fußball-Bundesliga (Matchweek 18)","Bayern Munich","4-2-3-1",1,1.9,"Robert Lewandowski · 18&rsquor;","0","0","Mönchengladbach","3-1-4-2",2,1,"Florian Neuhaus · 27&rsquor; Stefan Lainer · 31&rsquor;","1","0","https://fbref.com/en/matches/c57aed20/Bayern-Munich-Monchengladbach-January-7-2022-Bundesliga","Mönchengladbach","Away","Breel Embolo",36,"SUI","FW","24-327",90,0,0,0,0,1,1,0,0,43,0,0,1,0.2,0.2,0,3,0,26,32,81.3,5,22,1,6,3
