"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Bayern Munich","4-1-4-1",6,5.3,"Thomas Müller · 21&rsquor; Joshua Kimmich (P) · 29&rsquor; Serge Gnabry · 50&rsquor; Serge Gnabry · 65&rsquor; Mathys Tel · 80&rsquor; Noussair Mazraoui · 90+2&rsquor;","0","0","Schalke 04","4-2-3-1",0,0.4,"","3","0","https://fbref.com/en/matches/fe6503dd/Bayern-Munich-Schalke-04-May-13-2023-Bundesliga","Bayern Munich","Home","Serge Gnabry",7,"GER","FW","27-303",70,2,0,0,0,4,4,0,0,32,0,0,1,1.2,1.2,0,2,1,19,24,79.2,0,24,5,4,2
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Bayern Munich","4-1-4-1",6,5.3,"Thomas Müller · 21&rsquor; Joshua Kimmich (P) · 29&rsquor; Serge Gnabry · 50&rsquor; Serge Gnabry · 65&rsquor; Mathys Tel · 80&rsquor; Noussair Mazraoui · 90+2&rsquor;","0","0","Schalke 04","4-2-3-1",0,0.4,"","3","0","https://fbref.com/en/matches/fe6503dd/Bayern-Munich-Schalke-04-May-13-2023-Bundesliga","Bayern Munich","Home","Mathys Tel",39,"FRA","FW","18-016",20,1,0,0,0,1,1,0,0,6,0,0,0,0.5,0.5,0,1,0,2,3,66.7,0,5,0,0,0
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Bayern Munich","4-1-4-1",6,5.3,"Thomas Müller · 21&rsquor; Joshua Kimmich (P) · 29&rsquor; Serge Gnabry · 50&rsquor; Serge Gnabry · 65&rsquor; Mathys Tel · 80&rsquor; Noussair Mazraoui · 90+2&rsquor;","0","0","Schalke 04","4-2-3-1",0,0.4,"","3","0","https://fbref.com/en/matches/fe6503dd/Bayern-Munich-Schalke-04-May-13-2023-Bundesliga","Bayern Munich","Home","Kingsley Coman",11,"FRA","LM","26-334",63,0,0,0,0,4,1,0,0,38,0,0,1,0.2,0.2,0.1,4,0,22,29,75.9,2,27,4,3,0
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Bayern Munich","4-1-4-1",6,5.3,"Thomas Müller · 21&rsquor; Joshua Kimmich (P) · 29&rsquor; Serge Gnabry · 50&rsquor; Serge Gnabry · 65&rsquor; Mathys Tel · 80&rsquor; Noussair Mazraoui · 90+2&rsquor;","0","0","Schalke 04","4-2-3-1",0,0.4,"","3","0","https://fbref.com/en/matches/fe6503dd/Bayern-Munich-Schalke-04-May-13-2023-Bundesliga","Bayern Munich","Home","Ryan Gravenberch",38,"NED","LM,CM","20-362",27,0,0,0,0,0,0,0,0,25,3,2,2,0,0,0,1,0,14,14,100,2,13,0,0,0
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Bayern Munich","4-1-4-1",6,5.3,"Thomas Müller · 21&rsquor; Joshua Kimmich (P) · 29&rsquor; Serge Gnabry · 50&rsquor; Serge Gnabry · 65&rsquor; Mathys Tel · 80&rsquor; Noussair Mazraoui · 90+2&rsquor;","0","0","Schalke 04","4-2-3-1",0,0.4,"","3","0","https://fbref.com/en/matches/fe6503dd/Bayern-Munich-Schalke-04-May-13-2023-Bundesliga","Bayern Munich","Home","Jamal Musiala",42,"GER","CM","20-076",84,0,1,0,0,4,1,0,0,55,3,3,4,0.3,0.3,0.5,9,4,31,35,88.6,8,41,4,6,4
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Bayern Munich","4-1-4-1",6,5.3,"Thomas Müller · 21&rsquor; Joshua Kimmich (P) · 29&rsquor; Serge Gnabry · 50&rsquor; Serge Gnabry · 65&rsquor; Mathys Tel · 80&rsquor; Noussair Mazraoui · 90+2&rsquor;","0","0","Schalke 04","4-2-3-1",0,0.4,"","3","0","https://fbref.com/en/matches/fe6503dd/Bayern-Munich-Schalke-04-May-13-2023-Bundesliga","Bayern Munich","Home","Sadio Mané",17,"SEN","LM","31-033",6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0.6,1,1,2,2,100,0,1,0,0,0
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Bayern Munich","4-1-4-1",6,5.3,"Thomas Müller · 21&rsquor; Joshua Kimmich (P) · 29&rsquor; Serge Gnabry · 50&rsquor; Serge Gnabry · 65&rsquor; Mathys Tel · 80&rsquor; Noussair Mazraoui · 90+2&rsquor;","0","0","Schalke 04","4-2-3-1",0,0.4,"","3","0","https://fbref.com/en/matches/fe6503dd/Bayern-Munich-Schalke-04-May-13-2023-Bundesliga","Bayern Munich","Home","Thomas Müller",25,"GER","CM","33-242",90,1,0,0,0,7,3,0,0,54,1,0,1,1.5,1.5,0.1,8,0,32,42,76.2,3,27,0,1,1
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Bayern Munich","4-1-4-1",6,5.3,"Thomas Müller · 21&rsquor; Joshua Kimmich (P) · 29&rsquor; Serge Gnabry · 50&rsquor; Serge Gnabry · 65&rsquor; Mathys Tel · 80&rsquor; Noussair Mazraoui · 90+2&rsquor;","0","0","Schalke 04","4-2-3-1",0,0.4,"","3","0","https://fbref.com/en/matches/fe6503dd/Bayern-Munich-Schalke-04-May-13-2023-Bundesliga","Bayern Munich","Home","Leroy Sané",10,"GER","RM","27-122",90,0,1,0,0,1,0,0,0,37,2,0,0,0,0,0.6,5,1,27,31,87.1,7,29,4,2,1
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Bayern Munich","4-1-4-1",6,5.3,"Thomas Müller · 21&rsquor; Joshua Kimmich (P) · 29&rsquor; Serge Gnabry · 50&rsquor; Serge Gnabry · 65&rsquor; Mathys Tel · 80&rsquor; Noussair Mazraoui · 90+2&rsquor;","0","0","Schalke 04","4-2-3-1",0,0.4,"","3","0","https://fbref.com/en/matches/fe6503dd/Bayern-Munich-Schalke-04-May-13-2023-Bundesliga","Bayern Munich","Home","Joshua Kimmich",6,"GER","DM","28-094",69,1,0,1,1,0,0,0,0,52,1,0,1,0.8,0,0.1,2,0,38,46,82.6,3,27,0,0,0
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Bayern Munich","4-1-4-1",6,5.3,"Thomas Müller · 21&rsquor; Joshua Kimmich (P) · 29&rsquor; Serge Gnabry · 50&rsquor; Serge Gnabry · 65&rsquor; Mathys Tel · 80&rsquor; Noussair Mazraoui · 90+2&rsquor;","0","0","Schalke 04","4-2-3-1",0,0.4,"","3","0","https://fbref.com/en/matches/fe6503dd/Bayern-Munich-Schalke-04-May-13-2023-Bundesliga","Bayern Munich","Home","Leon Goretzka",8,"GER","DM","28-096",21,0,0,0,0,0,0,0,0,12,1,1,0,0,0,0,0,0,6,10,60,1,5,0,0,0
