"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Bayern Munich","Home","Miroslav Klose",NA,"GER","FW","31-151",74,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Bayern Munich","Home","Mario Gómez",NA,"GER","FW","24-120",16,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Bayern Munich","Home","Luca Toni",NA,"ITA","FW","32-165",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Bayern Munich","Home","Arjen Robben",NA,"NED","FW,MF","25-288",45,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Bayern Munich","Home","Thomas Müller",NA,"GER","FW,MF","20-055",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Bayern Munich","Home","Bastian Schweinsteiger",NA,"GER","DF,MF","25-098",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Bayern Munich","Home","Mark van Bommel",NA,"NED","MF","32-199",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Bayern Munich","Home","Anatoliy Tymoshchuk",NA,"UKR","DF,MF","30-222",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Bayern Munich","Home","Holger Badstuber",NA,"GER","DF","20-239",63,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Bayern Munich","Home","Hamit Altıntop",NA,"TUR","DF,MF","26-334",27,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Bayern Munich","Home","Martín Demichelis",NA,"ARG","DF,MF","28-322",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Bayern Munich","Home","Daniel Van Buyten",NA,"BEL","DF","31-273",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Bayern Munich","Home","Philipp Lahm",NA,"GER","DF,MF","25-361",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Bayern Munich","Home","Hans-Jörg Butt",NA,"GER","GK","35-163",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Schalke 04","Away","Kevin Kurányi",NA,"GER","FW","27-250",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Schalke 04","Away","Vicente Sánchez",NA,"URU","FW","29-335",53,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Schalke 04","Away","Vasileios Pliatsikas",NA,"GRE","DF,MF","21-207",37,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Schalke 04","Away","Jefferson Farfán",NA,"PER","FW,MF","25-012",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Schalke 04","Away","Christoph Moritz",NA,"GER","MF","19-284",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Schalke 04","Away","Joël Matip",NA,"CMR","DF,MF","18-091",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Schalke 04","Away","Rafinha",NA,"BRA","DF","24-061",69,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Schalke 04","Away","Mineiro",NA,"BRA","MF","34-097",21,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Schalke 04","Away","Lukas Schmitz",NA,"GER","DF,MF","21-025",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Schalke 04","Away","Heiko Westermann",NA,"GER","DF,MF","26-085",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Schalke 04","Away","Marcelo Bordon",NA,"BRA","DF","33-304",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Schalke 04","Away","Benedikt Höwedes",NA,"GER","DF","21-251",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Schalke 04","Away","Carlos Zambrano",NA,"PER","DF,MF","20-120",45,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bayern Munich","4-4-2",1,NA,"Daniel Van Buyten · 31&rsquor;","2","0","Schalke 04","4-3-3",1,NA,"Joël Matip · 43&rsquor;","4","0","https://fbref.com/en/matches/39d96581/Bayern-Munich-Schalke-04-November-7-2009-Bundesliga","Schalke 04","Away","Manuel Neuer",NA,"GER","GK","23-225",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
