"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Bayern Munich","4-4-2",1,NA,"Ivica Olić · 32&rsquor;","1","0","Stuttgart","4-4-2",2,NA,"Christian Träsch · 41&rsquor; Ciprian Marica · 50&rsquor;","1","0","https://fbref.com/en/matches/4ce7f4ed/Bayern-Munich-Stuttgart-March-27-2010-Bundesliga","Bayern Munich","Home","Ivica Olić",NA,"CRO","FW","30-194",45,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Bayern Munich","4-4-2",1,NA,"Ivica Olić · 32&rsquor;","1","0","Stuttgart","4-4-2",2,NA,"Christian Träsch · 41&rsquor; Ciprian Marica · 50&rsquor;","1","0","https://fbref.com/en/matches/4ce7f4ed/Bayern-Munich-Stuttgart-March-27-2010-Bundesliga","Bayern Munich","Home","Arjen Robben",NA,"NED","FW,MF","26-063",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Bayern Munich","4-4-2",1,NA,"Ivica Olić · 32&rsquor;","1","0","Stuttgart","4-4-2",2,NA,"Christian Träsch · 41&rsquor; Ciprian Marica · 50&rsquor;","1","0","https://fbref.com/en/matches/4ce7f4ed/Bayern-Munich-Stuttgart-March-27-2010-Bundesliga","Bayern Munich","Home","Miroslav Klose",NA,"GER","FW","31-291",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Bayern Munich","4-4-2",1,NA,"Ivica Olić · 32&rsquor;","1","0","Stuttgart","4-4-2",2,NA,"Christian Träsch · 41&rsquor; Ciprian Marica · 50&rsquor;","1","0","https://fbref.com/en/matches/4ce7f4ed/Bayern-Munich-Stuttgart-March-27-2010-Bundesliga","Bayern Munich","Home","Danijel Pranjić",NA,"CRO","DF,MF","28-115",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Bayern Munich","4-4-2",1,NA,"Ivica Olić · 32&rsquor;","1","0","Stuttgart","4-4-2",2,NA,"Christian Träsch · 41&rsquor; Ciprian Marica · 50&rsquor;","1","0","https://fbref.com/en/matches/4ce7f4ed/Bayern-Munich-Stuttgart-March-27-2010-Bundesliga","Bayern Munich","Home","Franck Ribéry",NA,"FRA","FW,MF","26-354",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Bayern Munich","4-4-2",1,NA,"Ivica Olić · 32&rsquor;","1","0","Stuttgart","4-4-2",2,NA,"Christian Träsch · 41&rsquor; Ciprian Marica · 50&rsquor;","1","0","https://fbref.com/en/matches/4ce7f4ed/Bayern-Munich-Stuttgart-March-27-2010-Bundesliga","Bayern Munich","Home","Bastian Schweinsteiger",NA,"GER","DF,MF","25-238",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Bayern Munich","4-4-2",1,NA,"Ivica Olić · 32&rsquor;","1","0","Stuttgart","4-4-2",2,NA,"Christian Träsch · 41&rsquor; Ciprian Marica · 50&rsquor;","1","0","https://fbref.com/en/matches/4ce7f4ed/Bayern-Munich-Stuttgart-March-27-2010-Bundesliga","Bayern Munich","Home","Mark van Bommel",NA,"NED","MF","32-339",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Bayern Munich","4-4-2",1,NA,"Ivica Olić · 32&rsquor;","1","0","Stuttgart","4-4-2",2,NA,"Christian Träsch · 41&rsquor; Ciprian Marica · 50&rsquor;","1","0","https://fbref.com/en/matches/4ce7f4ed/Bayern-Munich-Stuttgart-March-27-2010-Bundesliga","Bayern Munich","Home","Thomas Müller",NA,"GER","FW,MF","20-195",81,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Bayern Munich","4-4-2",1,NA,"Ivica Olić · 32&rsquor;","1","0","Stuttgart","4-4-2",2,NA,"Christian Träsch · 41&rsquor; Ciprian Marica · 50&rsquor;","1","0","https://fbref.com/en/matches/4ce7f4ed/Bayern-Munich-Stuttgart-March-27-2010-Bundesliga","Bayern Munich","Home","Martín Demichelis",NA,"ARG","DF,MF","29-097",9,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Bayern Munich","4-4-2",1,NA,"Ivica Olić · 32&rsquor;","1","0","Stuttgart","4-4-2",2,NA,"Christian Träsch · 41&rsquor; Ciprian Marica · 50&rsquor;","1","0","https://fbref.com/en/matches/4ce7f4ed/Bayern-Munich-Stuttgart-March-27-2010-Bundesliga","Bayern Munich","Home","Diego Contento",NA,"GER","DF","19-330",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
