"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Bayern Munich","4-2-3-1",2,2.2,"Mathys Tel · 36&rsquor; Jamal Musiala · 60&rsquor;","2","0","Stuttgart","3-5-2",2,1.2,"Chris Führich · 57&rsquor; Serhou Guirassy (P) · 90+2&rsquor;","5","0","https://fbref.com/en/matches/3cf30801/Bayern-Munich-Stuttgart-September-10-2022-Bundesliga","Bayern Munich","Home","Thomas Müller",25,"GER","FW","32-362",68,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0.1,4,0,29,36,80.6,2,26,1,0,0
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Bayern Munich","4-2-3-1",2,2.2,"Mathys Tel · 36&rsquor; Jamal Musiala · 60&rsquor;","2","0","Stuttgart","3-5-2",2,1.2,"Chris Führich · 57&rsquor; Serhou Guirassy (P) · 90+2&rsquor;","5","0","https://fbref.com/en/matches/3cf30801/Bayern-Munich-Stuttgart-September-10-2022-Bundesliga","Bayern Munich","Home","Eric Maxim Choupo-Moting",13,"CMR","FW","33-171",22,0,0,0,0,1,0,0,0,9,0,0,0,0.2,0.2,0,1,0,7,7,100,2,3,0,0,0
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Bayern Munich","4-2-3-1",2,2.2,"Mathys Tel · 36&rsquor; Jamal Musiala · 60&rsquor;","2","0","Stuttgart","3-5-2",2,1.2,"Chris Führich · 57&rsquor; Serhou Guirassy (P) · 90+2&rsquor;","5","0","https://fbref.com/en/matches/3cf30801/Bayern-Munich-Stuttgart-September-10-2022-Bundesliga","Bayern Munich","Home","Serge Gnabry",7,"GER","LW","27-058",80,0,0,0,0,4,2,0,0,42,0,0,2,0.7,0.7,0.1,4,0,26,31,83.9,4,29,4,4,2
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Bayern Munich","4-2-3-1",2,2.2,"Mathys Tel · 36&rsquor; Jamal Musiala · 60&rsquor;","2","0","Stuttgart","3-5-2",2,1.2,"Chris Führich · 57&rsquor; Serhou Guirassy (P) · 90+2&rsquor;","5","0","https://fbref.com/en/matches/3cf30801/Bayern-Munich-Stuttgart-September-10-2022-Bundesliga","Bayern Munich","Home","Ryan Gravenberch",38,"NED","AM","20-117",10,0,0,0,0,1,0,0,0,7,1,0,0,0.2,0.2,0,1,0,2,3,66.7,0,4,0,0,0
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Bayern Munich","4-2-3-1",2,2.2,"Mathys Tel · 36&rsquor; Jamal Musiala · 60&rsquor;","2","0","Stuttgart","3-5-2",2,1.2,"Chris Führich · 57&rsquor; Serhou Guirassy (P) · 90+2&rsquor;","5","0","https://fbref.com/en/matches/3cf30801/Bayern-Munich-Stuttgart-September-10-2022-Bundesliga","Bayern Munich","Home","Mathys Tel",39,"FRA","RW","17-136",60,1,0,0,0,3,2,0,0,44,0,0,3,0.5,0.5,0,1,0,26,30,86.7,0,29,2,4,1
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Bayern Munich","4-2-3-1",2,2.2,"Mathys Tel · 36&rsquor; Jamal Musiala · 60&rsquor;","2","0","Stuttgart","3-5-2",2,1.2,"Chris Führich · 57&rsquor; Serhou Guirassy (P) · 90+2&rsquor;","5","0","https://fbref.com/en/matches/3cf30801/Bayern-Munich-Stuttgart-September-10-2022-Bundesliga","Bayern Munich","Home","Leroy Sané",10,"GER","RW","26-242",30,0,0,0,0,1,0,1,0,25,1,0,0,0.1,0.1,0.2,2,0,16,19,84.2,2,17,1,2,0
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Bayern Munich","4-2-3-1",2,2.2,"Mathys Tel · 36&rsquor; Jamal Musiala · 60&rsquor;","2","0","Stuttgart","3-5-2",2,1.2,"Chris Führich · 57&rsquor; Serhou Guirassy (P) · 90+2&rsquor;","5","0","https://fbref.com/en/matches/3cf30801/Bayern-Munich-Stuttgart-September-10-2022-Bundesliga","Bayern Munich","Home","Jamal Musiala",42,"GER","AM","19-196",80,1,0,0,0,4,2,0,0,42,2,2,2,0.2,0.2,0.6,4,0,20,26,76.9,2,31,2,2,1
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Bayern Munich","4-2-3-1",2,2.2,"Mathys Tel · 36&rsquor; Jamal Musiala · 60&rsquor;","2","0","Stuttgart","3-5-2",2,1.2,"Chris Führich · 57&rsquor; Serhou Guirassy (P) · 90+2&rsquor;","5","0","https://fbref.com/en/matches/3cf30801/Bayern-Munich-Stuttgart-September-10-2022-Bundesliga","Bayern Munich","Home","Sadio Mané",17,"SEN","LW","30-153",10,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,2,2,100,0,1,0,0,0
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Bayern Munich","4-2-3-1",2,2.2,"Mathys Tel · 36&rsquor; Jamal Musiala · 60&rsquor;","2","0","Stuttgart","3-5-2",2,1.2,"Chris Führich · 57&rsquor; Serhou Guirassy (P) · 90+2&rsquor;","5","0","https://fbref.com/en/matches/3cf30801/Bayern-Munich-Stuttgart-September-10-2022-Bundesliga","Bayern Munich","Home","Joshua Kimmich",6,"GER","DM","27-214",90,0,0,0,0,2,0,0,0,110,2,2,3,0.1,0.1,0,3,2,88,101,87.1,9,77,0,0,0
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Bayern Munich","4-2-3-1",2,2.2,"Mathys Tel · 36&rsquor; Jamal Musiala · 60&rsquor;","2","0","Stuttgart","3-5-2",2,1.2,"Chris Führich · 57&rsquor; Serhou Guirassy (P) · 90+2&rsquor;","5","0","https://fbref.com/en/matches/3cf30801/Bayern-Munich-Stuttgart-September-10-2022-Bundesliga","Bayern Munich","Home","Leon Goretzka",8,"GER","DM","27-216",90,0,0,0,0,2,0,0,0,65,4,0,2,0.2,0.2,0.1,2,0,49,56,87.5,5,45,6,1,1
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Bayern Munich","4-2-3-1",2,2.2,"Mathys Tel · 36&rsquor; Jamal Musiala · 60&rsquor;","2","0","Stuttgart","3-5-2",2,1.2,"Chris Führich · 57&rsquor; Serhou Guirassy (P) · 90+2&rsquor;","5","0","https://fbref.com/en/matches/3cf30801/Bayern-Munich-Stuttgart-September-10-2022-Bundesliga","Bayern Munich","Home","Alphonso Davies",19,"CAN","LB","21-312",90,0,1,0,0,1,0,0,0,80,6,2,0,0.1,0.1,0.4,6,1,52,58,89.7,6,46,4,10,3
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Bayern Munich","4-2-3-1",2,2.2,"Mathys Tel · 36&rsquor; Jamal Musiala · 60&rsquor;","2","0","Stuttgart","3-5-2",2,1.2,"Chris Führich · 57&rsquor; Serhou Guirassy (P) · 90+2&rsquor;","5","0","https://fbref.com/en/matches/3cf30801/Bayern-Munich-Stuttgart-September-10-2022-Bundesliga","Bayern Munich","Home","Matthijs de Ligt",4,"NED","CB","23-029",90,0,0,0,0,0,0,1,0,74,1,1,0,0,0,0,0,0,61,67,91,1,60,0,0,0
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Bayern Munich","4-2-3-1",2,2.2,"Mathys Tel · 36&rsquor; Jamal Musiala · 60&rsquor;","2","0","Stuttgart","3-5-2",2,1.2,"Chris Führich · 57&rsquor; Serhou Guirassy (P) · 90+2&rsquor;","5","0","https://fbref.com/en/matches/3cf30801/Bayern-Munich-Stuttgart-September-10-2022-Bundesliga","Bayern Munich","Home","Dayot Upamecano",2,"FRA","CB","23-318",90,0,0,0,0,0,0,0,0,95,2,1,1,0,0,0,0,0,80,86,93,8,74,1,0,0
