"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Bayern Munich","Home","Sadio Mané",17,"SEN","FW","30-126",79,0,0,0,0,1,0,0,0,23,0,0,0,0.2,0.2,0,3,0,12,15,80,1,16,1,3,1
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Bayern Munich","Home","Mathys Tel",39,"FRA","FW","17-109",11,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,6,8,75,1,9,2,1,1
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Bayern Munich","Home","Jamal Musiala",42,"GER","LW","19-169",82,1,0,0,0,4,1,0,0,39,0,0,0,0.4,0.4,0.2,5,0,26,32,81.3,2,32,2,4,2
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Bayern Munich","Home","Ryan Gravenberch",38,"NED","LW","20-090",8,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,3,4,75,2,4,0,0,0
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Bayern Munich","Home","Thomas Müller",25,"GER","RW","32-335",90,1,0,0,0,3,1,0,0,63,2,1,2,0.4,0.4,0.1,3,0,40,52,76.9,4,36,5,0,0
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Bayern Munich","Home","Serge Gnabry",7,"GER","AM","27-031",45,0,0,0,0,3,0,0,0,30,0,0,2,0.2,0.2,0.1,3,0,11,21,52.4,0,17,2,3,2
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Bayern Munich","Home","Leroy Sané",10,"GER","AM","26-215",45,0,0,0,0,4,2,0,0,29,1,0,0,0.2,0.2,0,5,0,20,22,90.9,4,20,2,0,0
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Bayern Munich","Home","Marcel Sabitzer",18,"AUT","DM","28-150",90,0,0,0,0,3,1,0,0,72,4,0,0,0.2,0.2,0,3,0,55,62,88.7,4,35,0,1,1
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Bayern Munich","Home","Joshua Kimmich",6,"GER","DM","27-187",90,0,1,0,0,3,2,0,0,84,5,3,1,0.2,0.2,0.7,7,1,59,70,84.3,3,34,1,0,0
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Bayern Munich","Home","Alphonso Davies",19,"CAN","LB","21-285",90,0,0,0,0,0,0,0,0,78,1,0,0,0,0,0.1,4,0,64,72,88.9,6,53,10,6,4
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Bayern Munich","Home","Lucas Hernández",21,"FRA","CB","26-181",90,0,0,0,0,0,0,1,0,78,0,0,1,0,0,0,0,0,67,73,91.8,3,51,0,1,0
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Bayern Munich","Home","Dayot Upamecano",2,"FRA","CB","23-291",90,0,0,0,0,0,0,0,0,76,2,0,1,0,0,0,2,0,60,65,92.3,2,40,2,0,0
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Bayern Munich","Home","Benjamin Pavard",5,"FRA","RB","26-139",90,0,0,0,0,2,1,0,0,112,6,4,2,0.3,0.3,0.5,7,0,78,96,81.3,12,59,2,0,0
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Bayern Munich","Home","Manuel Neuer",1,"GER","GK","36-140",90,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,48,56,85.7,0,39,0,0,0
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Wolfsburg","Away","Lukas Nmecha",10,"GER","FW","23-243",82,0,0,0,0,3,1,0,0,29,1,1,1,0.3,0.3,0,2,0,14,20,70,0,7,0,1,1
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Wolfsburg","Away","Josip Brekalo",14,"CRO","FW","24-052",8,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0.1,2,0,3,7,42.9,1,1,1,0,0
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Wolfsburg","Away","Patrick Wimmer",39,"AUT","RW","21-076",45,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,1,0,2,7,28.6,0,4,0,0,0
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Wolfsburg","Away","Max Kruse",9,"GER","AM","34-148",45,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,1,0,7,11,63.6,2,8,1,1,1
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Wolfsburg","Away","Omar Marmoush",33,"EGY","LM","",67,0,0,0,0,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Wolfsburg","Away","Luca Waldschmidt",7,"GER","FW","26-087",23,0,0,0,0,1,1,0,0,11,2,0,0,0,0,0,1,0,6,6,100,0,3,1,0,0
"Fußball-Bundesliga","2022-08-14","Fußball-Bundesliga (Matchweek 2)","Bayern Munich","4-2-3-1",2,2,"Jamal Musiala · 33&rsquor; Thomas Müller · 43&rsquor;","2","0","Wolfsburg","4-5-1",0,0.5,"","1","0","https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga","Wolfsburg","Away","Mattias Svanberg",32,"SWE","CM,LM","23-221",60,0,0,0,0,0,0,1,0,26,4,1,0,0,0,0,1,0,8,14,57.1,1,6,1,2,1
