"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Bochum","4-3-3",0,1.1,"","1","0","Augsburg","3-4-3",2,1.9,"André Hahn · 15&rsquor; Michael Gregoritsch (P) · 43&rsquor;","3","0","https://fbref.com/en/matches/29085f79/Bochum-Augsburg-April-24-2022-Bundesliga","Bochum","Home","Simon Zoller",9,"GER","FW","30-302",56,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,1,0,9,11,81.8,1,3,1,0,0
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Bochum","4-3-3",0,1.1,"","1","0","Augsburg","3-4-3",2,1.9,"André Hahn · 15&rsquor; Michael Gregoritsch (P) · 43&rsquor;","3","0","https://fbref.com/en/matches/29085f79/Bochum-Augsburg-April-24-2022-Bundesliga","Bochum","Home","Sebastian Polter",40,"GER","FW","31-023",34,0,0,0,0,2,1,0,0,10,0,0,0,0.1,0.1,0,1,0,2,6,33.3,0,5,0,0,0
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Bochum","4-3-3",0,1.1,"","1","0","Augsburg","3-4-3",2,1.9,"André Hahn · 15&rsquor; Michael Gregoritsch (P) · 43&rsquor;","3","0","https://fbref.com/en/matches/29085f79/Bochum-Augsburg-April-24-2022-Bundesliga","Bochum","Home","Takuma Asano",10,"JPN","LW,RW","27-165",90,0,0,0,0,2,0,0,0,38,1,0,2,0.4,0.4,0.1,2,0,18,24,75,2,21,2,2,2
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Bochum","4-3-3",0,1.1,"","1","0","Augsburg","3-4-3",2,1.9,"André Hahn · 15&rsquor; Michael Gregoritsch (P) · 43&rsquor;","3","0","https://fbref.com/en/matches/29085f79/Bochum-Augsburg-April-24-2022-Bundesliga","Bochum","Home","Gerrit Holtmann",17,"PHI","RW","27-030",56,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,2,0,9,10,90,2,10,0,2,2
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Bochum","4-3-3",0,1.1,"","1","0","Augsburg","3-4-3",2,1.9,"André Hahn · 15&rsquor; Michael Gregoritsch (P) · 43&rsquor;","3","0","https://fbref.com/en/matches/29085f79/Bochum-Augsburg-April-24-2022-Bundesliga","Bochum","Home","Danny Blum",7,"GER","LW","31-107",34,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,2,0,10,22,45.5,1,9,1,1,0
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Bochum","4-3-3",0,1.1,"","1","0","Augsburg","3-4-3",2,1.9,"André Hahn · 15&rsquor; Michael Gregoritsch (P) · 43&rsquor;","3","0","https://fbref.com/en/matches/29085f79/Bochum-Augsburg-April-24-2022-Bundesliga","Bochum","Home","Elvis Rexhbeçaj",20,"GER","LM","24-174",73,0,0,0,0,1,0,0,0,31,0,0,1,0,0,0.1,1,0,17,22,77.3,4,18,0,0,0
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Bochum","4-3-3",0,1.1,"","1","0","Augsburg","3-4-3",2,1.9,"André Hahn · 15&rsquor; Michael Gregoritsch (P) · 43&rsquor;","3","0","https://fbref.com/en/matches/29085f79/Bochum-Augsburg-April-24-2022-Bundesliga","Bochum","Home","Eduard Löwen",38,"GER","LM","25-086",17,0,0,0,0,1,1,0,0,26,0,0,0,0,0,0.2,5,0,19,23,82.6,3,15,2,2,1
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Bochum","4-3-3",0,1.1,"","1","0","Augsburg","3-4-3",2,1.9,"André Hahn · 15&rsquor; Michael Gregoritsch (P) · 43&rsquor;","3","0","https://fbref.com/en/matches/29085f79/Bochum-Augsburg-April-24-2022-Bundesliga","Bochum","Home","Anthony Losilla",8,"FRA","CM","36-045",90,0,0,0,0,1,0,0,0,48,1,1,0,0,0,0,4,0,29,38,76.3,4,18,0,0,0
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Bochum","4-3-3",0,1.1,"","1","0","Augsburg","3-4-3",2,1.9,"André Hahn · 15&rsquor; Michael Gregoritsch (P) · 43&rsquor;","3","0","https://fbref.com/en/matches/29085f79/Bochum-Augsburg-April-24-2022-Bundesliga","Bochum","Home","Patrick Osterhage",6,"GER","RM","22-082",56,0,0,0,0,1,0,0,0,27,0,1,0,0.1,0.1,0,3,0,16,22,72.7,0,13,0,0,0
"Fußball-Bundesliga","2022-04-24","Fußball-Bundesliga (Matchweek 31)","Bochum","4-3-3",0,1.1,"","1","0","Augsburg","3-4-3",2,1.9,"André Hahn · 15&rsquor; Michael Gregoritsch (P) · 43&rsquor;","3","0","https://fbref.com/en/matches/29085f79/Bochum-Augsburg-April-24-2022-Bundesliga","Bochum","Home","Jürgen Locadia",19,"NED","RM","28-168",34,0,0,0,0,4,0,0,0,19,1,0,0,0.3,0.3,0,3,0,10,13,76.9,1,16,2,0,0
