"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Bochum","4-4-1-1",1,NA,"Zlatko Dedić · 68&rsquor;","2","0","Bayer Leverkusen","4-4-2",1,NA,"Eren Derdiyok · 45&rsquor;","1","0","https://fbref.com/en/matches/887d376f/Bochum-Bayer-Leverkusen-February-6-2010-Bundesliga","Bochum","Home","Stanislav Šesták",NA,"SVK","FW,MF","27-052",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Bochum","4-4-1-1",1,NA,"Zlatko Dedić · 68&rsquor;","2","0","Bayer Leverkusen","4-4-2",1,NA,"Eren Derdiyok · 45&rsquor;","1","0","https://fbref.com/en/matches/887d376f/Bochum-Bayer-Leverkusen-February-6-2010-Bundesliga","Bochum","Home","Joël Epalle",NA,"CMR","FW,MF","31-351",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Bochum","4-4-1-1",1,NA,"Zlatko Dedić · 68&rsquor;","2","0","Bayer Leverkusen","4-4-2",1,NA,"Eren Derdiyok · 45&rsquor;","1","0","https://fbref.com/en/matches/887d376f/Bochum-Bayer-Leverkusen-February-6-2010-Bundesliga","Bochum","Home","Zlatko Dedić",NA,"SVN","FW","25-124",45,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Bochum","4-4-1-1",1,NA,"Zlatko Dedić · 68&rsquor;","2","0","Bayer Leverkusen","4-4-2",1,NA,"Eren Derdiyok · 45&rsquor;","1","0","https://fbref.com/en/matches/887d376f/Bochum-Bayer-Leverkusen-February-6-2010-Bundesliga","Bochum","Home","Lewis Holtby",NA,"GER","MF","19-141",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Bochum","4-4-1-1",1,NA,"Zlatko Dedić · 68&rsquor;","2","0","Bayer Leverkusen","4-4-2",1,NA,"Eren Derdiyok · 45&rsquor;","1","0","https://fbref.com/en/matches/887d376f/Bochum-Bayer-Leverkusen-February-6-2010-Bundesliga","Bochum","Home","Miloš Marić",NA,"SRB","MF","27-338",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Bochum","4-4-1-1",1,NA,"Zlatko Dedić · 68&rsquor;","2","0","Bayer Leverkusen","4-4-2",1,NA,"Eren Derdiyok · 45&rsquor;","1","0","https://fbref.com/en/matches/887d376f/Bochum-Bayer-Leverkusen-February-6-2010-Bundesliga","Bochum","Home","Roman Prokoph",NA,"GER","FW","24-184",24,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Bochum","4-4-1-1",1,NA,"Zlatko Dedić · 68&rsquor;","2","0","Bayer Leverkusen","4-4-2",1,NA,"Eren Derdiyok · 45&rsquor;","1","0","https://fbref.com/en/matches/887d376f/Bochum-Bayer-Leverkusen-February-6-2010-Bundesliga","Bochum","Home","Paul Freier",NA,"GER","MF","30-195",66,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Bochum","4-4-1-1",1,NA,"Zlatko Dedić · 68&rsquor;","2","0","Bayer Leverkusen","4-4-2",1,NA,"Eren Derdiyok · 45&rsquor;","1","0","https://fbref.com/en/matches/887d376f/Bochum-Bayer-Leverkusen-February-6-2010-Bundesliga","Bochum","Home","Christian Fuchs",NA,"AUT","DF,MF","23-305",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Bochum","4-4-1-1",1,NA,"Zlatko Dedić · 68&rsquor;","2","0","Bayer Leverkusen","4-4-2",1,NA,"Eren Derdiyok · 45&rsquor;","1","0","https://fbref.com/en/matches/887d376f/Bochum-Bayer-Leverkusen-February-6-2010-Bundesliga","Bochum","Home","Mërgim Mavraj",NA,"ALB","DF","23-242",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Bochum","4-4-1-1",1,NA,"Zlatko Dedić · 68&rsquor;","2","0","Bayer Leverkusen","4-4-2",1,NA,"Eren Derdiyok · 45&rsquor;","1","0","https://fbref.com/en/matches/887d376f/Bochum-Bayer-Leverkusen-February-6-2010-Bundesliga","Bochum","Home","Marcel Maltritz",NA,"GER","DF,MF","31-127",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
