"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Bochum","4-4-2",1,NA,"Christian Fuchs · 76&rsquor;","2","0","Bayern Munich","4-4-2",5,NA,"Mario Gómez · 23&rsquor; Mërgim Mavraj (OG) · 33&rsquor; Ivica Olić · 43&rsquor; Ivica Olić · 50&rsquor; Danijel Pranjić · 56&rsquor;","1","0","https://fbref.com/en/matches/f1e1168d/Bochum-Bayern-Munich-December-12-2009-Bundesliga","Bochum","Home","Stanislav Šesták",NA,"SVK","FW,MF","26-361",76,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Bochum","4-4-2",1,NA,"Christian Fuchs · 76&rsquor;","2","0","Bayern Munich","4-4-2",5,NA,"Mario Gómez · 23&rsquor; Mërgim Mavraj (OG) · 33&rsquor; Ivica Olić · 43&rsquor; Ivica Olić · 50&rsquor; Danijel Pranjić · 56&rsquor;","1","0","https://fbref.com/en/matches/f1e1168d/Bochum-Bayern-Munich-December-12-2009-Bundesliga","Bochum","Home","Joël Epalle",NA,"CMR","FW,MF","31-295",14,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Bochum","4-4-2",1,NA,"Christian Fuchs · 76&rsquor;","2","0","Bayern Munich","4-4-2",5,NA,"Mario Gómez · 23&rsquor; Mërgim Mavraj (OG) · 33&rsquor; Ivica Olić · 43&rsquor; Ivica Olić · 50&rsquor; Danijel Pranjić · 56&rsquor;","1","0","https://fbref.com/en/matches/f1e1168d/Bochum-Bayern-Munich-December-12-2009-Bundesliga","Bochum","Home","Roman Prokoph",NA,"GER","FW","24-128",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Bochum","4-4-2",1,NA,"Christian Fuchs · 76&rsquor;","2","0","Bayern Munich","4-4-2",5,NA,"Mario Gómez · 23&rsquor; Mërgim Mavraj (OG) · 33&rsquor; Ivica Olić · 43&rsquor; Ivica Olić · 50&rsquor; Danijel Pranjić · 56&rsquor;","1","0","https://fbref.com/en/matches/f1e1168d/Bochum-Bayern-Munich-December-12-2009-Bundesliga","Bochum","Home","Zlatko Dedić",NA,"SVN","FW","25-068",76,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Bochum","4-4-2",1,NA,"Christian Fuchs · 76&rsquor;","2","0","Bayern Munich","4-4-2",5,NA,"Mario Gómez · 23&rsquor; Mërgim Mavraj (OG) · 33&rsquor; Ivica Olić · 43&rsquor; Ivica Olić · 50&rsquor; Danijel Pranjić · 56&rsquor;","1","0","https://fbref.com/en/matches/f1e1168d/Bochum-Bayern-Munich-December-12-2009-Bundesliga","Bochum","Home","Vahid Hashemian",NA,"IRN","FW,MF","33-144",14,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Bochum","4-4-2",1,NA,"Christian Fuchs · 76&rsquor;","2","0","Bayern Munich","4-4-2",5,NA,"Mario Gómez · 23&rsquor; Mërgim Mavraj (OG) · 33&rsquor; Ivica Olić · 43&rsquor; Ivica Olić · 50&rsquor; Danijel Pranjić · 56&rsquor;","1","0","https://fbref.com/en/matches/f1e1168d/Bochum-Bayern-Munich-December-12-2009-Bundesliga","Bochum","Home","Marc Pfertzel",NA,"FRA","DF,MF","28-205",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Bochum","4-4-2",1,NA,"Christian Fuchs · 76&rsquor;","2","0","Bayern Munich","4-4-2",5,NA,"Mario Gómez · 23&rsquor; Mërgim Mavraj (OG) · 33&rsquor; Ivica Olić · 43&rsquor; Ivica Olić · 50&rsquor; Danijel Pranjić · 56&rsquor;","1","0","https://fbref.com/en/matches/f1e1168d/Bochum-Bayern-Munich-December-12-2009-Bundesliga","Bochum","Home","Paul Freier",NA,"GER","MF","30-139",34,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Bochum","4-4-2",1,NA,"Christian Fuchs · 76&rsquor;","2","0","Bayern Munich","4-4-2",5,NA,"Mario Gómez · 23&rsquor; Mërgim Mavraj (OG) · 33&rsquor; Ivica Olić · 43&rsquor; Ivica Olić · 50&rsquor; Danijel Pranjić · 56&rsquor;","1","0","https://fbref.com/en/matches/f1e1168d/Bochum-Bayern-Munich-December-12-2009-Bundesliga","Bochum","Home","Mimoun Azaouagh",NA,"GER","MF","27-025",56,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Bochum","4-4-2",1,NA,"Christian Fuchs · 76&rsquor;","2","0","Bayern Munich","4-4-2",5,NA,"Mario Gómez · 23&rsquor; Mërgim Mavraj (OG) · 33&rsquor; Ivica Olić · 43&rsquor; Ivica Olić · 50&rsquor; Danijel Pranjić · 56&rsquor;","1","0","https://fbref.com/en/matches/f1e1168d/Bochum-Bayern-Munich-December-12-2009-Bundesliga","Bochum","Home","Christian Fuchs",NA,"AUT","DF,MF","23-249",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Bochum","4-4-2",1,NA,"Christian Fuchs · 76&rsquor;","2","0","Bayern Munich","4-4-2",5,NA,"Mario Gómez · 23&rsquor; Mërgim Mavraj (OG) · 33&rsquor; Ivica Olić · 43&rsquor; Ivica Olić · 50&rsquor; Danijel Pranjić · 56&rsquor;","1","0","https://fbref.com/en/matches/f1e1168d/Bochum-Bayern-Munich-December-12-2009-Bundesliga","Bochum","Home","Mërgim Mavraj",NA,"ALB","DF","23-186",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA
