"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-02-12","Fußball-Bundesliga (Matchweek 22)","Bochum","4-3-3",4,1.4,"Christopher Antwi-Adjei · 14&rsquor; Jürgen Locadia (P) · 38&rsquor; Cristian Gamboa · 40&rsquor; Gerrit Holtmann · 44&rsquor;","2","0","Bayern Munich","4-2-3-1",2,1.9,"Robert Lewandowski · 9&rsquor; Robert Lewandowski · 75&rsquor;","1","0","https://fbref.com/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga","Bochum","Home","Jürgen Locadia",19,"NED","FW","28-097",79,1,0,1,1,1,0,0,0,22,0,0,1,0.8,0.1,0.1,4,1,10,15,66.7,4,10,1,0,0
"Fußball-Bundesliga","2022-02-12","Fußball-Bundesliga (Matchweek 22)","Bochum","4-3-3",4,1.4,"Christopher Antwi-Adjei · 14&rsquor; Jürgen Locadia (P) · 38&rsquor; Cristian Gamboa · 40&rsquor; Gerrit Holtmann · 44&rsquor;","2","0","Bayern Munich","4-2-3-1",2,1.9,"Robert Lewandowski · 9&rsquor; Robert Lewandowski · 75&rsquor;","1","0","https://fbref.com/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga","Bochum","Home","Sebastian Polter",40,"GER","FW","30-317",11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,7,28.6,1,6,0,0,0
"Fußball-Bundesliga","2022-02-12","Fußball-Bundesliga (Matchweek 22)","Bochum","4-3-3",4,1.4,"Christopher Antwi-Adjei · 14&rsquor; Jürgen Locadia (P) · 38&rsquor; Cristian Gamboa · 40&rsquor; Gerrit Holtmann · 44&rsquor;","2","0","Bayern Munich","4-2-3-1",2,1.9,"Robert Lewandowski · 9&rsquor; Robert Lewandowski · 75&rsquor;","1","0","https://fbref.com/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga","Bochum","Home","Gerrit Holtmann",17,"PHI","LW","26-324",79,1,1,0,0,5,3,0,0,35,1,1,1,0.1,0.1,0.3,4,1,10,22,45.5,2,25,6,2,0
"Fußball-Bundesliga","2022-02-12","Fußball-Bundesliga (Matchweek 22)","Bochum","4-3-3",4,1.4,"Christopher Antwi-Adjei · 14&rsquor; Jürgen Locadia (P) · 38&rsquor; Cristian Gamboa · 40&rsquor; Gerrit Holtmann · 44&rsquor;","2","0","Bayern Munich","4-2-3-1",2,1.9,"Robert Lewandowski · 9&rsquor; Robert Lewandowski · 75&rsquor;","1","0","https://fbref.com/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga","Bochum","Home","Miloš Pantović",27,"SRB","LW","25-220",11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,7,42.9,0,4,0,0,0
"Fußball-Bundesliga","2022-02-12","Fußball-Bundesliga (Matchweek 22)","Bochum","4-3-3",4,1.4,"Christopher Antwi-Adjei · 14&rsquor; Jürgen Locadia (P) · 38&rsquor; Cristian Gamboa · 40&rsquor; Gerrit Holtmann · 44&rsquor;","2","0","Bayern Munich","4-2-3-1",2,1.9,"Robert Lewandowski · 9&rsquor; Robert Lewandowski · 75&rsquor;","1","0","https://fbref.com/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga","Bochum","Home","Christopher Antwi-Adjei",22,"GHA","RW","28-005",79,1,0,0,0,1,1,0,0,24,1,0,0,0.3,0.3,0,1,0,9,14,64.3,3,11,2,1,1
"Fußball-Bundesliga","2022-02-12","Fußball-Bundesliga (Matchweek 22)","Bochum","4-3-3",4,1.4,"Christopher Antwi-Adjei · 14&rsquor; Jürgen Locadia (P) · 38&rsquor; Cristian Gamboa · 40&rsquor; Gerrit Holtmann · 44&rsquor;","2","0","Bayern Munich","4-2-3-1",2,1.9,"Robert Lewandowski · 9&rsquor; Robert Lewandowski · 75&rsquor;","1","0","https://fbref.com/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga","Bochum","Home","Takuma Asano",10,"JPN","RW","27-094",11,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,6,50,1,8,1,0,0
"Fußball-Bundesliga","2022-02-12","Fußball-Bundesliga (Matchweek 22)","Bochum","4-3-3",4,1.4,"Christopher Antwi-Adjei · 14&rsquor; Jürgen Locadia (P) · 38&rsquor; Cristian Gamboa · 40&rsquor; Gerrit Holtmann · 44&rsquor;","2","0","Bayern Munich","4-2-3-1",2,1.9,"Robert Lewandowski · 9&rsquor; Robert Lewandowski · 75&rsquor;","1","0","https://fbref.com/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga","Bochum","Home","Elvis Rexhbeçaj",20,"GER","LM","24-103",89,0,0,0,0,1,0,1,0,49,1,2,2,0.1,0.1,0.1,1,0,19,35,54.3,5,25,1,2,1
"Fußball-Bundesliga","2022-02-12","Fußball-Bundesliga (Matchweek 22)","Bochum","4-3-3",4,1.4,"Christopher Antwi-Adjei · 14&rsquor; Jürgen Locadia (P) · 38&rsquor; Cristian Gamboa · 40&rsquor; Gerrit Holtmann · 44&rsquor;","2","0","Bayern Munich","4-2-3-1",2,1.9,"Robert Lewandowski · 9&rsquor; Robert Lewandowski · 75&rsquor;","1","0","https://fbref.com/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga","Bochum","Home","Erhan Mašović",4,"SRB","LM","23-082",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,50,1,1,0,0,0
"Fußball-Bundesliga","2022-02-12","Fußball-Bundesliga (Matchweek 22)","Bochum","4-3-3",4,1.4,"Christopher Antwi-Adjei · 14&rsquor; Jürgen Locadia (P) · 38&rsquor; Cristian Gamboa · 40&rsquor; Gerrit Holtmann · 44&rsquor;","2","0","Bayern Munich","4-2-3-1",2,1.9,"Robert Lewandowski · 9&rsquor; Robert Lewandowski · 75&rsquor;","1","0","https://fbref.com/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga","Bochum","Home","Patrick Osterhage",6,"GER","CM","22-011",90,0,1,0,0,0,0,0,0,48,4,2,1,0,0,0,3,3,19,32,59.4,3,29,1,2,2
"Fußball-Bundesliga","2022-02-12","Fußball-Bundesliga (Matchweek 22)","Bochum","4-3-3",4,1.4,"Christopher Antwi-Adjei · 14&rsquor; Jürgen Locadia (P) · 38&rsquor; Cristian Gamboa · 40&rsquor; Gerrit Holtmann · 44&rsquor;","2","0","Bayern Munich","4-2-3-1",2,1.9,"Robert Lewandowski · 9&rsquor; Robert Lewandowski · 75&rsquor;","1","0","https://fbref.com/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga","Bochum","Home","Anthony Losilla",8,"FRA","RM","35-339",90,0,0,0,0,1,0,0,0,41,2,1,0,0.1,0.1,0,0,0,20,32,62.5,2,18,1,2,2
"Fußball-Bundesliga","2022-02-12","Fußball-Bundesliga (Matchweek 22)","Bochum","4-3-3",4,1.4,"Christopher Antwi-Adjei · 14&rsquor; Jürgen Locadia (P) · 38&rsquor; Cristian Gamboa · 40&rsquor; Gerrit Holtmann · 44&rsquor;","2","0","Bayern Munich","4-2-3-1",2,1.9,"Robert Lewandowski · 9&rsquor; Robert Lewandowski · 75&rsquor;","1","0","https://fbref.com/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga","Bochum","Home","Danilo Soares",3,"BRA","LB","30-106",90,0,0,0,0,0,0,0,0,52,3,4,2,0,0,0,1,1,26,35,74.3,5,21,1,2,2
"Fußball-Bundesliga","2022-02-12","Fußball-Bundesliga (Matchweek 22)","Bochum","4-3-3",4,1.4,"Christopher Antwi-Adjei · 14&rsquor; Jürgen Locadia (P) · 38&rsquor; Cristian Gamboa · 40&rsquor; Gerrit Holtmann · 44&rsquor;","2","0","Bayern Munich","4-2-3-1",2,1.9,"Robert Lewandowski · 9&rsquor; Robert Lewandowski · 75&rsquor;","1","0","https://fbref.com/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga","Bochum","Home","Maxim Leitsch",29,"GER","CB","23-270",90,0,0,0,0,0,0,0,0,43,0,3,2,0,0,0,0,0,25,34,73.5,1,26,1,1,1
"Fußball-Bundesliga","2022-02-12","Fußball-Bundesliga (Matchweek 22)","Bochum","4-3-3",4,1.4,"Christopher Antwi-Adjei · 14&rsquor; Jürgen Locadia (P) · 38&rsquor; Cristian Gamboa · 40&rsquor; Gerrit Holtmann · 44&rsquor;","2","0","Bayern Munich","4-2-3-1",2,1.9,"Robert Lewandowski · 9&rsquor; Robert Lewandowski · 75&rsquor;","1","0","https://fbref.com/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga","Bochum","Home","Armel Bella Kotchap",37,"GER","CB","20-063",90,0,0,0,0,0,0,0,0,46,3,3,4,0,0,0,1,0,15,29,51.7,2,19,0,0,0
"Fußball-Bundesliga","2022-02-12","Fußball-Bundesliga (Matchweek 22)","Bochum","4-3-3",4,1.4,"Christopher Antwi-Adjei · 14&rsquor; Jürgen Locadia (P) · 38&rsquor; Cristian Gamboa · 40&rsquor; Gerrit Holtmann · 44&rsquor;","2","0","Bayern Munich","4-2-3-1",2,1.9,"Robert Lewandowski · 9&rsquor; Robert Lewandowski · 75&rsquor;","1","0","https://fbref.com/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga","Bochum","Home","Cristian Gamboa",2,"CRC","RB","32-111",71,1,0,0,0,1,1,1,0,33,3,1,1,0,0,0,2,1,16,23,69.6,2,15,1,0,0
"Fußball-Bundesliga","2022-02-12","Fußball-Bundesliga (Matchweek 22)","Bochum","4-3-3",4,1.4,"Christopher Antwi-Adjei · 14&rsquor; Jürgen Locadia (P) · 38&rsquor; Cristian Gamboa · 40&rsquor; Gerrit Holtmann · 44&rsquor;","2","0","Bayern Munich","4-2-3-1",2,1.9,"Robert Lewandowski · 9&rsquor; Robert Lewandowski · 75&rsquor;","1","0","https://fbref.com/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga","Bochum","Home","Kostas Stafylidis",16,"GRE","RB","28-072",19,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,4,25,0,0,0,0,0
"Fußball-Bundesliga","2022-02-12","Fußball-Bundesliga (Matchweek 22)","Bochum","4-3-3",4,1.4,"Christopher Antwi-Adjei · 14&rsquor; Jürgen Locadia (P) · 38&rsquor; Cristian Gamboa · 40&rsquor; Gerrit Holtmann · 44&rsquor;","2","0","Bayern Munich","4-2-3-1",2,1.9,"Robert Lewandowski · 9&rsquor; Robert Lewandowski · 75&rsquor;","1","0","https://fbref.com/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga","Bochum","Home","Michael Esser",21,"GER","GK","34-082",90,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,18,47,38.3,0,32,0,0,0
"Fußball-Bundesliga","2022-02-12","Fußball-Bundesliga (Matchweek 22)","Bochum","4-3-3",4,1.4,"Christopher Antwi-Adjei · 14&rsquor; Jürgen Locadia (P) · 38&rsquor; Cristian Gamboa · 40&rsquor; Gerrit Holtmann · 44&rsquor;","2","0","Bayern Munich","4-2-3-1",2,1.9,"Robert Lewandowski · 9&rsquor; Robert Lewandowski · 75&rsquor;","1","0","https://fbref.com/en/matches/6c4c8471/Bochum-Bayern-Munich-February-12-2022-Bundesliga","Bayern Munich","Away","Robert Lewandowski",9,"POL","FW","33-175",90,2,0,0,0,7,3,0,0,31,0,1,0,1.2,1.2,0,6,0,11,15,73.3,3,19,4,3,3
