"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-04-28","Fußball-Bundesliga (Matchweek 30)","Bochum","4-2-3-1",1,0.9,"Anthony Losilla · 5&rsquor;","1","0","Dortmund","4-3-3",1,2.7,"Karim Adeyemi · 7&rsquor;","2","0","https://fbref.com/en/matches/118ea8ca/Bochum-Dortmund-April-28-2023-Bundesliga","Bochum","Home","Philipp Hofmann",33,"GER","FW","30-029",69,0,0,0,0,2,1,0,0,19,0,0,0,0.2,0.2,0,1,1,11,15,73.3,0,3,0,0,0
"Fußball-Bundesliga","2023-04-28","Fußball-Bundesliga (Matchweek 30)","Bochum","4-2-3-1",1,0.9,"Anthony Losilla · 5&rsquor;","1","0","Dortmund","4-3-3",1,2.7,"Karim Adeyemi · 7&rsquor;","2","0","https://fbref.com/en/matches/118ea8ca/Bochum-Dortmund-April-28-2023-Bundesliga","Bochum","Home","Moritz Broschinski",29,"GER","FW","22-217",21,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Fußball-Bundesliga","2023-04-28","Fußball-Bundesliga (Matchweek 30)","Bochum","4-2-3-1",1,0.9,"Anthony Losilla · 5&rsquor;","1","0","Dortmund","4-3-3",1,2.7,"Karim Adeyemi · 7&rsquor;","2","0","https://fbref.com/en/matches/118ea8ca/Bochum-Dortmund-April-28-2023-Bundesliga","Bochum","Home","Christopher Antwi-Adjei",22,"GHA","LW","29-080",90,0,0,0,0,0,0,0,0,47,1,0,1,0,0,0.1,5,0,19,31,61.3,1,24,2,2,0
"Fußball-Bundesliga","2023-04-28","Fußball-Bundesliga (Matchweek 30)","Bochum","4-2-3-1",1,0.9,"Anthony Losilla · 5&rsquor;","1","0","Dortmund","4-3-3",1,2.7,"Karim Adeyemi · 7&rsquor;","2","0","https://fbref.com/en/matches/118ea8ca/Bochum-Dortmund-April-28-2023-Bundesliga","Bochum","Home","Takuma Asano",11,"JPN","RW","28-169",77,0,0,0,0,5,1,0,0,29,1,0,1,0.5,0.5,0,2,0,9,14,64.3,1,15,2,2,1
"Fußball-Bundesliga","2023-04-28","Fußball-Bundesliga (Matchweek 30)","Bochum","4-2-3-1",1,0.9,"Anthony Losilla · 5&rsquor;","1","0","Dortmund","4-3-3",1,2.7,"Karim Adeyemi · 7&rsquor;","2","0","https://fbref.com/en/matches/118ea8ca/Bochum-Dortmund-April-28-2023-Bundesliga","Bochum","Home","Simon Zoller",9,"GER","RW","31-306",13,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
"Fußball-Bundesliga","2023-04-28","Fußball-Bundesliga (Matchweek 30)","Bochum","4-2-3-1",1,0.9,"Anthony Losilla · 5&rsquor;","1","0","Dortmund","4-3-3",1,2.7,"Karim Adeyemi · 7&rsquor;","2","0","https://fbref.com/en/matches/118ea8ca/Bochum-Dortmund-April-28-2023-Bundesliga","Bochum","Home","Kevin Stöger",7,"AUT","AM","29-244",90,0,0,0,0,2,1,0,0,51,3,0,2,0,0,0.3,7,0,29,41,70.7,5,23,3,2,2
"Fußball-Bundesliga","2023-04-28","Fußball-Bundesliga (Matchweek 30)","Bochum","4-2-3-1",1,0.9,"Anthony Losilla · 5&rsquor;","1","0","Dortmund","4-3-3",1,2.7,"Karim Adeyemi · 7&rsquor;","2","0","https://fbref.com/en/matches/118ea8ca/Bochum-Dortmund-April-28-2023-Bundesliga","Bochum","Home","Patrick Osterhage",6,"GER","DM","23-086",84,0,0,0,0,1,0,0,0,31,2,1,0,0,0,0,1,0,13,19,68.4,3,15,0,0,0
"Fußball-Bundesliga","2023-04-28","Fußball-Bundesliga (Matchweek 30)","Bochum","4-2-3-1",1,0.9,"Anthony Losilla · 5&rsquor;","1","0","Dortmund","4-3-3",1,2.7,"Karim Adeyemi · 7&rsquor;","2","0","https://fbref.com/en/matches/118ea8ca/Bochum-Dortmund-April-28-2023-Bundesliga","Bochum","Home","Pierre Kunde",28,"CMR","DM","27-276",6,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,NA,0,1,0,0,0
"Fußball-Bundesliga","2023-04-28","Fußball-Bundesliga (Matchweek 30)","Bochum","4-2-3-1",1,0.9,"Anthony Losilla · 5&rsquor;","1","0","Dortmund","4-3-3",1,2.7,"Karim Adeyemi · 7&rsquor;","2","0","https://fbref.com/en/matches/118ea8ca/Bochum-Dortmund-April-28-2023-Bundesliga","Bochum","Home","Anthony Losilla",8,"FRA","DM","37-049",90,1,0,0,0,1,1,0,0,31,3,0,3,0.1,0.1,0.2,1,0,8,19,42.1,1,8,0,0,0
"Fußball-Bundesliga","2023-04-28","Fußball-Bundesliga (Matchweek 30)","Bochum","4-2-3-1",1,0.9,"Anthony Losilla · 5&rsquor;","1","0","Dortmund","4-3-3",1,2.7,"Karim Adeyemi · 7&rsquor;","2","0","https://fbref.com/en/matches/118ea8ca/Bochum-Dortmund-April-28-2023-Bundesliga","Bochum","Home","Danilo Soares",3,"BRA","LB","31-181",84,0,0,0,0,0,0,1,0,42,6,2,3,0,0,0,4,1,22,27,81.5,1,13,0,0,0
