"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Bochum","4-2-3-1",1,NA,"Miloš Marić · 33&rsquor; Lewis Holtby · 53&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Sebastian Kehl · 18&rsquor; Mohamed Zidan · 27&rsquor; Lucas Barrios · 74&rsquor; Lucas Barrios · 77&rsquor;","2","0","https://fbref.com/en/matches/378fe22e/Bochum-Dortmund-March-13-2010-Bundesliga","Bochum","Home","Stanislav Šesták",NA,"SVK","FW,MF","27-087",81,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Bochum","4-2-3-1",1,NA,"Miloš Marić · 33&rsquor; Lewis Holtby · 53&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Sebastian Kehl · 18&rsquor; Mohamed Zidan · 27&rsquor; Lucas Barrios · 74&rsquor; Lucas Barrios · 77&rsquor;","2","0","https://fbref.com/en/matches/378fe22e/Bochum-Dortmund-March-13-2010-Bundesliga","Bochum","Home","Vahid Hashemian",NA,"IRN","FW,MF","33-235",9,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Bochum","4-2-3-1",1,NA,"Miloš Marić · 33&rsquor; Lewis Holtby · 53&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Sebastian Kehl · 18&rsquor; Mohamed Zidan · 27&rsquor; Lucas Barrios · 74&rsquor; Lucas Barrios · 77&rsquor;","2","0","https://fbref.com/en/matches/378fe22e/Bochum-Dortmund-March-13-2010-Bundesliga","Bochum","Home","Lewis Holtby",NA,"GER","MF","19-176",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Bochum","4-2-3-1",1,NA,"Miloš Marić · 33&rsquor; Lewis Holtby · 53&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Sebastian Kehl · 18&rsquor; Mohamed Zidan · 27&rsquor; Lucas Barrios · 74&rsquor; Lucas Barrios · 77&rsquor;","2","0","https://fbref.com/en/matches/378fe22e/Bochum-Dortmund-March-13-2010-Bundesliga","Bochum","Home","Paul Freier",NA,"GER","MF","30-230",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Bochum","4-2-3-1",1,NA,"Miloš Marić · 33&rsquor; Lewis Holtby · 53&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Sebastian Kehl · 18&rsquor; Mohamed Zidan · 27&rsquor; Lucas Barrios · 74&rsquor; Lucas Barrios · 77&rsquor;","2","0","https://fbref.com/en/matches/378fe22e/Bochum-Dortmund-March-13-2010-Bundesliga","Bochum","Home","Mimoun Azaouagh",NA,"GER","MF","27-116",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Bochum","4-2-3-1",1,NA,"Miloš Marić · 33&rsquor; Lewis Holtby · 53&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Sebastian Kehl · 18&rsquor; Mohamed Zidan · 27&rsquor; Lucas Barrios · 74&rsquor; Lucas Barrios · 77&rsquor;","2","0","https://fbref.com/en/matches/378fe22e/Bochum-Dortmund-March-13-2010-Bundesliga","Bochum","Home","Joël Epalle",NA,"CMR","FW,MF","32-021",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Bochum","4-2-3-1",1,NA,"Miloš Marić · 33&rsquor; Lewis Holtby · 53&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Sebastian Kehl · 18&rsquor; Mohamed Zidan · 27&rsquor; Lucas Barrios · 74&rsquor; Lucas Barrios · 77&rsquor;","2","0","https://fbref.com/en/matches/378fe22e/Bochum-Dortmund-March-13-2010-Bundesliga","Bochum","Home","Andreas Johansson",NA,"SWE","DF,MF","28-003",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Bochum","4-2-3-1",1,NA,"Miloš Marić · 33&rsquor; Lewis Holtby · 53&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Sebastian Kehl · 18&rsquor; Mohamed Zidan · 27&rsquor; Lucas Barrios · 74&rsquor; Lucas Barrios · 77&rsquor;","2","0","https://fbref.com/en/matches/378fe22e/Bochum-Dortmund-March-13-2010-Bundesliga","Bochum","Home","Miloš Marić",NA,"SRB","MF","28-008",32,0,NA,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Bochum","4-2-3-1",1,NA,"Miloš Marić · 33&rsquor; Lewis Holtby · 53&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Sebastian Kehl · 18&rsquor; Mohamed Zidan · 27&rsquor; Lucas Barrios · 74&rsquor; Lucas Barrios · 77&rsquor;","2","0","https://fbref.com/en/matches/378fe22e/Bochum-Dortmund-March-13-2010-Bundesliga","Bochum","Home","Christian Fuchs",NA,"AUT","DF,MF","23-340",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Bochum","4-2-3-1",1,NA,"Miloš Marić · 33&rsquor; Lewis Holtby · 53&rsquor;","0","1","Dortmund","4-2-3-1",4,NA,"Sebastian Kehl · 18&rsquor; Mohamed Zidan · 27&rsquor; Lucas Barrios · 74&rsquor; Lucas Barrios · 77&rsquor;","2","0","https://fbref.com/en/matches/378fe22e/Bochum-Dortmund-March-13-2010-Bundesliga","Bochum","Home","Antar Yahia",NA,"ALG","DF","27-357",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
