"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 65&rsquor;","2","0","Freiburg","4-4-2",2,NA,"Heiko Butscher · 23&rsquor; Stefan Reisinger · 90&rsquor;","2","0","https://fbref.com/en/matches/efdf6955/Bochum-Freiburg-November-7-2009-Bundesliga","Bochum","Home","Diego Klimowicz",NA,"ARG","FW","35-124",90,1,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 65&rsquor;","2","0","Freiburg","4-4-2",2,NA,"Heiko Butscher · 23&rsquor; Stefan Reisinger · 90&rsquor;","2","0","https://fbref.com/en/matches/efdf6955/Bochum-Freiburg-November-7-2009-Bundesliga","Bochum","Home","Zlatko Dedić",NA,"SVN","FW","25-033",86,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 65&rsquor;","2","0","Freiburg","4-4-2",2,NA,"Heiko Butscher · 23&rsquor; Stefan Reisinger · 90&rsquor;","2","0","https://fbref.com/en/matches/efdf6955/Bochum-Freiburg-November-7-2009-Bundesliga","Bochum","Home","Vahid Hashemian",NA,"IRN","FW,MF","33-109",4,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 65&rsquor;","2","0","Freiburg","4-4-2",2,NA,"Heiko Butscher · 23&rsquor; Stefan Reisinger · 90&rsquor;","2","0","https://fbref.com/en/matches/efdf6955/Bochum-Freiburg-November-7-2009-Bundesliga","Bochum","Home","Mimoun Azaouagh",NA,"GER","MF","26-355",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 65&rsquor;","2","0","Freiburg","4-4-2",2,NA,"Heiko Butscher · 23&rsquor; Stefan Reisinger · 90&rsquor;","2","0","https://fbref.com/en/matches/efdf6955/Bochum-Freiburg-November-7-2009-Bundesliga","Bochum","Home","Stanislav Šesták",NA,"SVK","FW,MF","26-326",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 65&rsquor;","2","0","Freiburg","4-4-2",2,NA,"Heiko Butscher · 23&rsquor; Stefan Reisinger · 90&rsquor;","2","0","https://fbref.com/en/matches/efdf6955/Bochum-Freiburg-November-7-2009-Bundesliga","Bochum","Home","Andreas Johansson",NA,"SWE","DF,MF","27-242",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 65&rsquor;","2","0","Freiburg","4-4-2",2,NA,"Heiko Butscher · 23&rsquor; Stefan Reisinger · 90&rsquor;","2","0","https://fbref.com/en/matches/efdf6955/Bochum-Freiburg-November-7-2009-Bundesliga","Bochum","Home","Daniel Imhof",NA,"CAN","MF","31-350",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 65&rsquor;","2","0","Freiburg","4-4-2",2,NA,"Heiko Butscher · 23&rsquor; Stefan Reisinger · 90&rsquor;","2","0","https://fbref.com/en/matches/efdf6955/Bochum-Freiburg-November-7-2009-Bundesliga","Bochum","Home","Dennis Grote",NA,"GER","MF","23-090",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 65&rsquor;","2","0","Freiburg","4-4-2",2,NA,"Heiko Butscher · 23&rsquor; Stefan Reisinger · 90&rsquor;","2","0","https://fbref.com/en/matches/efdf6955/Bochum-Freiburg-November-7-2009-Bundesliga","Bochum","Home","Marc Pfertzel",NA,"FRA","DF,MF","28-170",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 65&rsquor;","2","0","Freiburg","4-4-2",2,NA,"Heiko Butscher · 23&rsquor; Stefan Reisinger · 90&rsquor;","2","0","https://fbref.com/en/matches/efdf6955/Bochum-Freiburg-November-7-2009-Bundesliga","Bochum","Home","Mërgim Mavraj",NA,"ALB","DF","23-151",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
