"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-09-12","Fußball-Bundesliga (Matchweek 4)","Bochum","4-2-3-1",1,1.2,"Simon Zoller · 59&rsquor;","0","0","Hertha BSC","3-4-3",3,0.3,"Suat Serdar · 37&rsquor; Suat Serdar · 43&rsquor; Myziane Maolida · 78&rsquor;","3","0","https://fbref.com/en/matches/f69ef742/Bochum-Hertha-BSC-September-12-2021-Bundesliga","Bochum","Home","Sebastian Polter",40,"GER","FW","30-164",90,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,1,0,11,16,68.8,4,13,0,0,0
"Fußball-Bundesliga","2021-09-12","Fußball-Bundesliga (Matchweek 4)","Bochum","4-2-3-1",1,1.2,"Simon Zoller · 59&rsquor;","0","0","Hertha BSC","3-4-3",3,0.3,"Suat Serdar · 37&rsquor; Suat Serdar · 43&rsquor; Myziane Maolida · 78&rsquor;","3","0","https://fbref.com/en/matches/f69ef742/Bochum-Hertha-BSC-September-12-2021-Bundesliga","Bochum","Home","Gerrit Holtmann",17,"PHI","LW","26-171",81,0,0,0,0,2,1,0,0,24,0,0,1,0.1,0.1,0,5,1,9,16,56.3,1,16,4,6,4
"Fußball-Bundesliga","2021-09-12","Fußball-Bundesliga (Matchweek 4)","Bochum","4-2-3-1",1,1.2,"Simon Zoller · 59&rsquor;","0","0","Hertha BSC","3-4-3",3,0.3,"Suat Serdar · 37&rsquor; Suat Serdar · 43&rsquor; Myziane Maolida · 78&rsquor;","3","0","https://fbref.com/en/matches/f69ef742/Bochum-Hertha-BSC-September-12-2021-Bundesliga","Bochum","Home","Christopher Antwi-Adjei",22,"GHA","LW","27-217",9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,8,62.5,0,6,2,1,1
"Fußball-Bundesliga","2021-09-12","Fußball-Bundesliga (Matchweek 4)","Bochum","4-2-3-1",1,1.2,"Simon Zoller · 59&rsquor;","0","0","Hertha BSC","3-4-3",3,0.3,"Suat Serdar · 37&rsquor; Suat Serdar · 43&rsquor; Myziane Maolida · 78&rsquor;","3","0","https://fbref.com/en/matches/f69ef742/Bochum-Hertha-BSC-September-12-2021-Bundesliga","Bochum","Home","Simon Zoller",9,"GER","RW","30-078",90,1,0,0,0,1,1,0,0,39,2,2,1,0.7,0.7,0,1,0,19,30,63.3,0,18,2,0,0
"Fußball-Bundesliga","2021-09-12","Fußball-Bundesliga (Matchweek 4)","Bochum","4-2-3-1",1,1.2,"Simon Zoller · 59&rsquor;","0","0","Hertha BSC","3-4-3",3,0.3,"Suat Serdar · 37&rsquor; Suat Serdar · 43&rsquor; Myziane Maolida · 78&rsquor;","3","0","https://fbref.com/en/matches/f69ef742/Bochum-Hertha-BSC-September-12-2021-Bundesliga","Bochum","Home","Eduard Löwen",38,"GER","AM","24-227",90,0,0,0,0,6,0,0,0,77,3,1,1,0.2,0.2,0.1,3,0,37,57,64.9,3,32,0,1,0
"Fußball-Bundesliga","2021-09-12","Fußball-Bundesliga (Matchweek 4)","Bochum","4-2-3-1",1,1.2,"Simon Zoller · 59&rsquor;","0","0","Hertha BSC","3-4-3",3,0.3,"Suat Serdar · 37&rsquor; Suat Serdar · 43&rsquor; Myziane Maolida · 78&rsquor;","3","0","https://fbref.com/en/matches/f69ef742/Bochum-Hertha-BSC-September-12-2021-Bundesliga","Bochum","Home","Elvis Rexhbeçaj",20,"GER","DM","23-315",90,0,0,0,0,0,0,0,0,82,1,2,1,0,0,0,7,0,57,75,76,12,55,2,4,4
"Fußball-Bundesliga","2021-09-12","Fußball-Bundesliga (Matchweek 4)","Bochum","4-2-3-1",1,1.2,"Simon Zoller · 59&rsquor;","0","0","Hertha BSC","3-4-3",3,0.3,"Suat Serdar · 37&rsquor; Suat Serdar · 43&rsquor; Myziane Maolida · 78&rsquor;","3","0","https://fbref.com/en/matches/f69ef742/Bochum-Hertha-BSC-September-12-2021-Bundesliga","Bochum","Home","Anthony Losilla",8,"FRA","DM","35-186",62,0,0,0,0,1,1,0,0,32,1,3,0,0.1,0.1,0,0,0,16,25,64,0,21,1,2,2
"Fußball-Bundesliga","2021-09-12","Fußball-Bundesliga (Matchweek 4)","Bochum","4-2-3-1",1,1.2,"Simon Zoller · 59&rsquor;","0","0","Hertha BSC","3-4-3",3,0.3,"Suat Serdar · 37&rsquor; Suat Serdar · 43&rsquor; Myziane Maolida · 78&rsquor;","3","0","https://fbref.com/en/matches/f69ef742/Bochum-Hertha-BSC-September-12-2021-Bundesliga","Bochum","Home","Robert Tesche",23,"GER","DM","34-108",28,0,0,0,0,0,0,0,0,32,2,1,0,0,0,0,0,0,24,28,85.7,4,26,1,0,0
"Fußball-Bundesliga","2021-09-12","Fußball-Bundesliga (Matchweek 4)","Bochum","4-2-3-1",1,1.2,"Simon Zoller · 59&rsquor;","0","0","Hertha BSC","3-4-3",3,0.3,"Suat Serdar · 37&rsquor; Suat Serdar · 43&rsquor; Myziane Maolida · 78&rsquor;","3","0","https://fbref.com/en/matches/f69ef742/Bochum-Hertha-BSC-September-12-2021-Bundesliga","Bochum","Home","Danilo Soares",3,"BRA","LB","29-318",90,0,0,0,0,3,0,0,0,107,4,1,2,0.1,0.1,0,6,0,71,91,78,6,71,11,4,2
"Fußball-Bundesliga","2021-09-12","Fußball-Bundesliga (Matchweek 4)","Bochum","4-2-3-1",1,1.2,"Simon Zoller · 59&rsquor;","0","0","Hertha BSC","3-4-3",3,0.3,"Suat Serdar · 37&rsquor; Suat Serdar · 43&rsquor; Myziane Maolida · 78&rsquor;","3","0","https://fbref.com/en/matches/f69ef742/Bochum-Hertha-BSC-September-12-2021-Bundesliga","Bochum","Home","Armel Bella Kotchap",37,"GER","CB","19-275",81,0,0,0,0,1,0,0,0,55,1,0,0,0,0,0.1,2,0,42,48,87.5,5,35,1,1,1
"Fußball-Bundesliga","2021-09-12","Fußball-Bundesliga (Matchweek 4)","Bochum","4-2-3-1",1,1.2,"Simon Zoller · 59&rsquor;","0","0","Hertha BSC","3-4-3",3,0.3,"Suat Serdar · 37&rsquor; Suat Serdar · 43&rsquor; Myziane Maolida · 78&rsquor;","3","0","https://fbref.com/en/matches/f69ef742/Bochum-Hertha-BSC-September-12-2021-Bundesliga","Bochum","Home","Saulo Decarli",5,"SUI","CB","29-220",9,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,6,6,100,0,5,0,0,0
"Fußball-Bundesliga","2021-09-12","Fußball-Bundesliga (Matchweek 4)","Bochum","4-2-3-1",1,1.2,"Simon Zoller · 59&rsquor;","0","0","Hertha BSC","3-4-3",3,0.3,"Suat Serdar · 37&rsquor; Suat Serdar · 43&rsquor; Myziane Maolida · 78&rsquor;","3","0","https://fbref.com/en/matches/f69ef742/Bochum-Hertha-BSC-September-12-2021-Bundesliga","Bochum","Home","Vassilis Lambropoulos",24,"GRE","CB","31-165",90,0,0,0,0,0,0,0,0,65,3,1,1,0,0,0,2,0,46,53,86.8,7,41,2,0,0
"Fußball-Bundesliga","2021-09-12","Fußball-Bundesliga (Matchweek 4)","Bochum","4-2-3-1",1,1.2,"Simon Zoller · 59&rsquor;","0","0","Hertha BSC","3-4-3",3,0.3,"Suat Serdar · 37&rsquor; Suat Serdar · 43&rsquor; Myziane Maolida · 78&rsquor;","3","0","https://fbref.com/en/matches/f69ef742/Bochum-Hertha-BSC-September-12-2021-Bundesliga","Bochum","Home","Kostas Stafylidis",16,"GRE","RB","27-284",81,0,0,0,0,3,1,0,0,69,3,1,1,0.1,0.1,0,1,0,52,58,89.7,5,39,1,0,0
"Fußball-Bundesliga","2021-09-12","Fußball-Bundesliga (Matchweek 4)","Bochum","4-2-3-1",1,1.2,"Simon Zoller · 59&rsquor;","0","0","Hertha BSC","3-4-3",3,0.3,"Suat Serdar · 37&rsquor; Suat Serdar · 43&rsquor; Myziane Maolida · 78&rsquor;","3","0","https://fbref.com/en/matches/f69ef742/Bochum-Hertha-BSC-September-12-2021-Bundesliga","Bochum","Home","Herbert Bockhorn",11,"GER","RB","26-224",9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,6,10,60,1,7,1,1,1
"Fußball-Bundesliga","2021-09-12","Fußball-Bundesliga (Matchweek 4)","Bochum","4-2-3-1",1,1.2,"Simon Zoller · 59&rsquor;","0","0","Hertha BSC","3-4-3",3,0.3,"Suat Serdar · 37&rsquor; Suat Serdar · 43&rsquor; Myziane Maolida · 78&rsquor;","3","0","https://fbref.com/en/matches/f69ef742/Bochum-Hertha-BSC-September-12-2021-Bundesliga","Bochum","Home","Manuel Riemann",1,"GER","GK","33-003",90,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,28,44,63.6,0,33,0,0,0
"Fußball-Bundesliga","2021-09-12","Fußball-Bundesliga (Matchweek 4)","Bochum","4-2-3-1",1,1.2,"Simon Zoller · 59&rsquor;","0","0","Hertha BSC","3-4-3",3,0.3,"Suat Serdar · 37&rsquor; Suat Serdar · 43&rsquor; Myziane Maolida · 78&rsquor;","3","0","https://fbref.com/en/matches/f69ef742/Bochum-Hertha-BSC-September-12-2021-Bundesliga","Hertha BSC","Away","Ishak Belfodil",14,"ALG","FW","29-243",72,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,1,1,8,16,50,0,9,1,2,1
