"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bochum","4-4-1-1",2,NA,"Stanislav Šesták · 24&rsquor; Zlatko Dedić · 76&rsquor;","1","0","Hoffenheim","4-4-2",1,NA,"Vedad Ibišević · 64&rsquor; Luiz Gustavo · 86&rsquor;","2","1","https://fbref.com/en/matches/9bced65e/Bochum-Hoffenheim-February-13-2010-Bundesliga","Bochum","Home","Stanislav Šesták",NA,"SVK","FW,MF","27-059",89,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bochum","4-4-1-1",2,NA,"Stanislav Šesták · 24&rsquor; Zlatko Dedić · 76&rsquor;","1","0","Hoffenheim","4-4-2",1,NA,"Vedad Ibišević · 64&rsquor; Luiz Gustavo · 86&rsquor;","2","1","https://fbref.com/en/matches/9bced65e/Bochum-Hoffenheim-February-13-2010-Bundesliga","Bochum","Home","Vahid Hashemian",NA,"IRN","FW,MF","33-207",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bochum","4-4-1-1",2,NA,"Stanislav Šesták · 24&rsquor; Zlatko Dedić · 76&rsquor;","1","0","Hoffenheim","4-4-2",1,NA,"Vedad Ibišević · 64&rsquor; Luiz Gustavo · 86&rsquor;","2","1","https://fbref.com/en/matches/9bced65e/Bochum-Hoffenheim-February-13-2010-Bundesliga","Bochum","Home","Joël Epalle",NA,"CMR","FW,MF","31-358",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bochum","4-4-1-1",2,NA,"Stanislav Šesták · 24&rsquor; Zlatko Dedić · 76&rsquor;","1","0","Hoffenheim","4-4-2",1,NA,"Vedad Ibišević · 64&rsquor; Luiz Gustavo · 86&rsquor;","2","1","https://fbref.com/en/matches/9bced65e/Bochum-Hoffenheim-February-13-2010-Bundesliga","Bochum","Home","Zlatko Dedić",NA,"SVN","FW","25-131",45,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bochum","4-4-1-1",2,NA,"Stanislav Šesták · 24&rsquor; Zlatko Dedić · 76&rsquor;","1","0","Hoffenheim","4-4-2",1,NA,"Vedad Ibišević · 64&rsquor; Luiz Gustavo · 86&rsquor;","2","1","https://fbref.com/en/matches/9bced65e/Bochum-Hoffenheim-February-13-2010-Bundesliga","Bochum","Home","Lewis Holtby",NA,"GER","MF","19-148",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bochum","4-4-1-1",2,NA,"Stanislav Šesták · 24&rsquor; Zlatko Dedić · 76&rsquor;","1","0","Hoffenheim","4-4-2",1,NA,"Vedad Ibišević · 64&rsquor; Luiz Gustavo · 86&rsquor;","2","1","https://fbref.com/en/matches/9bced65e/Bochum-Hoffenheim-February-13-2010-Bundesliga","Bochum","Home","Miloš Marić",NA,"SRB","MF","27-345",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bochum","4-4-1-1",2,NA,"Stanislav Šesták · 24&rsquor; Zlatko Dedić · 76&rsquor;","1","0","Hoffenheim","4-4-2",1,NA,"Vedad Ibišević · 64&rsquor; Luiz Gustavo · 86&rsquor;","2","1","https://fbref.com/en/matches/9bced65e/Bochum-Hoffenheim-February-13-2010-Bundesliga","Bochum","Home","Paul Freier",NA,"GER","MF","30-202",58,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bochum","4-4-1-1",2,NA,"Stanislav Šesták · 24&rsquor; Zlatko Dedić · 76&rsquor;","1","0","Hoffenheim","4-4-2",1,NA,"Vedad Ibišević · 64&rsquor; Luiz Gustavo · 86&rsquor;","2","1","https://fbref.com/en/matches/9bced65e/Bochum-Hoffenheim-February-13-2010-Bundesliga","Bochum","Home","Roman Prokoph",NA,"GER","FW","24-191",32,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bochum","4-4-1-1",2,NA,"Stanislav Šesták · 24&rsquor; Zlatko Dedić · 76&rsquor;","1","0","Hoffenheim","4-4-2",1,NA,"Vedad Ibišević · 64&rsquor; Luiz Gustavo · 86&rsquor;","2","1","https://fbref.com/en/matches/9bced65e/Bochum-Hoffenheim-February-13-2010-Bundesliga","Bochum","Home","Christian Fuchs",NA,"AUT","DF,MF","23-312",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bochum","4-4-1-1",2,NA,"Stanislav Šesták · 24&rsquor; Zlatko Dedić · 76&rsquor;","1","0","Hoffenheim","4-4-2",1,NA,"Vedad Ibišević · 64&rsquor; Luiz Gustavo · 86&rsquor;","2","1","https://fbref.com/en/matches/9bced65e/Bochum-Hoffenheim-February-13-2010-Bundesliga","Bochum","Home","Mërgim Mavraj",NA,"ALB","DF","23-249",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
