"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-01-22","Fußball-Bundesliga (Matchweek 20)","Bochum","4-3-3",2,1.8,"Gerrit Holtmann · 25&rsquor; Takuma Asano · 70&rsquor;","0","0","Köln","4-1-3-2",2,1.1,"Timo Hübers · 36&rsquor; Anthony Modeste · 45&rsquor;","3","0","https://fbref.com/en/matches/01da71d0/Bochum-Koln-January-22-2022-Bundesliga","Bochum","Home","Jürgen Locadia",19,"NED","FW","28-076",55,0,1,0,0,2,2,0,0,29,0,0,0,0.1,0.1,0.5,3,1,22,23,95.7,5,18,2,0,0
"Fußball-Bundesliga","2022-01-22","Fußball-Bundesliga (Matchweek 20)","Bochum","4-3-3",2,1.8,"Gerrit Holtmann · 25&rsquor; Takuma Asano · 70&rsquor;","0","0","Köln","4-1-3-2",2,1.1,"Timo Hübers · 36&rsquor; Anthony Modeste · 45&rsquor;","3","0","https://fbref.com/en/matches/01da71d0/Bochum-Koln-January-22-2022-Bundesliga","Bochum","Home","Sebastian Polter",40,"GER","FW","30-296",35,0,1,0,0,1,0,0,0,16,0,0,0,0.1,0.1,0.3,0,0,2,10,20,0,7,0,0,0
"Fußball-Bundesliga","2022-01-22","Fußball-Bundesliga (Matchweek 20)","Bochum","4-3-3",2,1.8,"Gerrit Holtmann · 25&rsquor; Takuma Asano · 70&rsquor;","0","0","Köln","4-1-3-2",2,1.1,"Timo Hübers · 36&rsquor; Anthony Modeste · 45&rsquor;","3","0","https://fbref.com/en/matches/01da71d0/Bochum-Koln-January-22-2022-Bundesliga","Bochum","Home","Gerrit Holtmann",17,"PHI","RW,LW","26-303",81,1,0,0,0,3,3,0,0,31,0,1,1,0.5,0.5,0.2,5,0,13,17,76.5,4,21,6,5,2
"Fußball-Bundesliga","2022-01-22","Fußball-Bundesliga (Matchweek 20)","Bochum","4-3-3",2,1.8,"Gerrit Holtmann · 25&rsquor; Takuma Asano · 70&rsquor;","0","0","Köln","4-1-3-2",2,1.1,"Timo Hübers · 36&rsquor; Anthony Modeste · 45&rsquor;","3","0","https://fbref.com/en/matches/01da71d0/Bochum-Koln-January-22-2022-Bundesliga","Bochum","Home","Christopher Antwi-Adjei",22,"GHA","RW","27-349",9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,100,0,1,0,0,0
"Fußball-Bundesliga","2022-01-22","Fußball-Bundesliga (Matchweek 20)","Bochum","4-3-3",2,1.8,"Gerrit Holtmann · 25&rsquor; Takuma Asano · 70&rsquor;","0","0","Köln","4-1-3-2",2,1.1,"Timo Hübers · 36&rsquor; Anthony Modeste · 45&rsquor;","3","0","https://fbref.com/en/matches/01da71d0/Bochum-Koln-January-22-2022-Bundesliga","Bochum","Home","Miloš Pantović",27,"SRB","LW,RW","25-199",64,0,0,0,0,1,0,0,0,35,0,0,0,0.1,0.1,0.5,5,1,23,29,79.3,3,20,2,0,0
"Fußball-Bundesliga","2022-01-22","Fußball-Bundesliga (Matchweek 20)","Bochum","4-3-3",2,1.8,"Gerrit Holtmann · 25&rsquor; Takuma Asano · 70&rsquor;","0","0","Köln","4-1-3-2",2,1.1,"Timo Hübers · 36&rsquor; Anthony Modeste · 45&rsquor;","3","0","https://fbref.com/en/matches/01da71d0/Bochum-Koln-January-22-2022-Bundesliga","Bochum","Home","Takuma Asano",10,"JPN","LW","27-073",26,1,0,0,0,1,1,0,0,14,0,0,1,0.1,0.1,0,0,0,5,8,62.5,1,10,0,2,0
"Fußball-Bundesliga","2022-01-22","Fußball-Bundesliga (Matchweek 20)","Bochum","4-3-3",2,1.8,"Gerrit Holtmann · 25&rsquor; Takuma Asano · 70&rsquor;","0","0","Köln","4-1-3-2",2,1.1,"Timo Hübers · 36&rsquor; Anthony Modeste · 45&rsquor;","3","0","https://fbref.com/en/matches/01da71d0/Bochum-Koln-January-22-2022-Bundesliga","Bochum","Home","Elvis Rexhbeçaj",20,"GER","LM","24-082",81,0,0,0,0,1,0,0,0,42,0,0,1,0.1,0.1,0,2,0,23,33,69.7,4,21,1,1,1
"Fußball-Bundesliga","2022-01-22","Fußball-Bundesliga (Matchweek 20)","Bochum","4-3-3",2,1.8,"Gerrit Holtmann · 25&rsquor; Takuma Asano · 70&rsquor;","0","0","Köln","4-1-3-2",2,1.1,"Timo Hübers · 36&rsquor; Anthony Modeste · 45&rsquor;","3","0","https://fbref.com/en/matches/01da71d0/Bochum-Koln-January-22-2022-Bundesliga","Bochum","Home","Patrick Osterhage",6,"GER","LM","21-355",9,0,0,0,0,1,1,0,0,5,0,0,0,0.2,0.2,0,0,0,1,1,100,0,2,0,1,0
"Fußball-Bundesliga","2022-01-22","Fußball-Bundesliga (Matchweek 20)","Bochum","4-3-3",2,1.8,"Gerrit Holtmann · 25&rsquor; Takuma Asano · 70&rsquor;","0","0","Köln","4-1-3-2",2,1.1,"Timo Hübers · 36&rsquor; Anthony Modeste · 45&rsquor;","3","0","https://fbref.com/en/matches/01da71d0/Bochum-Koln-January-22-2022-Bundesliga","Bochum","Home","Anthony Losilla",8,"FRA","CM","35-318",90,0,0,0,0,0,0,0,0,56,1,1,1,0,0,0,1,0,43,48,89.6,5,24,0,0,0
"Fußball-Bundesliga","2022-01-22","Fußball-Bundesliga (Matchweek 20)","Bochum","4-3-3",2,1.8,"Gerrit Holtmann · 25&rsquor; Takuma Asano · 70&rsquor;","0","0","Köln","4-1-3-2",2,1.1,"Timo Hübers · 36&rsquor; Anthony Modeste · 45&rsquor;","3","0","https://fbref.com/en/matches/01da71d0/Bochum-Koln-January-22-2022-Bundesliga","Bochum","Home","Eduard Löwen",38,"GER","RM","24-359",90,0,0,0,0,4,0,0,0,61,1,0,3,0.5,0.5,0.1,5,0,32,49,65.3,6,26,0,1,1
