"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Bochum","4-2-3-1",0,NA,"","3","0","Köln","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/6c2c3de6/Bochum-Koln-November-27-2009-Bundesliga","Bochum","Home","Stanislav Šesták",NA,"SVK","FW,MF","26-346",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Bochum","4-2-3-1",0,NA,"","3","0","Köln","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/6c2c3de6/Bochum-Koln-November-27-2009-Bundesliga","Bochum","Home","Dennis Grote",NA,"GER","MF","23-110",45,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Bochum","4-2-3-1",0,NA,"","3","0","Köln","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/6c2c3de6/Bochum-Koln-November-27-2009-Bundesliga","Bochum","Home","Joël Epalle",NA,"CMR","FW,MF","31-280",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Bochum","4-2-3-1",0,NA,"","3","0","Köln","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/6c2c3de6/Bochum-Koln-November-27-2009-Bundesliga","Bochum","Home","Roman Prokoph",NA,"GER","FW","24-113",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Bochum","4-2-3-1",0,NA,"","3","0","Köln","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/6c2c3de6/Bochum-Koln-November-27-2009-Bundesliga","Bochum","Home","Shinji Ono",NA,"JPN","MF","30-061",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Bochum","4-2-3-1",0,NA,"","3","0","Köln","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/6c2c3de6/Bochum-Koln-November-27-2009-Bundesliga","Bochum","Home","Marc Pfertzel",NA,"FRA","DF,MF","28-190",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Bochum","4-2-3-1",0,NA,"","3","0","Köln","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/6c2c3de6/Bochum-Koln-November-27-2009-Bundesliga","Bochum","Home","Christian Fuchs",NA,"AUT","DF,MF","23-234",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Bochum","4-2-3-1",0,NA,"","3","0","Köln","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/6c2c3de6/Bochum-Koln-November-27-2009-Bundesliga","Bochum","Home","Mërgim Mavraj",NA,"ALB","DF","23-171",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Bochum","4-2-3-1",0,NA,"","3","0","Köln","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/6c2c3de6/Bochum-Koln-November-27-2009-Bundesliga","Bochum","Home","Marcel Maltritz",NA,"GER","DF,MF","31-056",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Bochum","4-2-3-1",0,NA,"","3","0","Köln","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/6c2c3de6/Bochum-Koln-November-27-2009-Bundesliga","Bochum","Home","Matias Concha",NA,"SWE","DF","29-241",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
