"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Bochum","4-1-2-1-2",3,NA,"Mimoun Azaouagh · 51&rsquor; Mimoun Azaouagh · 52&rsquor; Stanislav Šesták · 63&rsquor;","3","0","Mönchengladbach","4-4-2",3,NA,"Juan Arango · 19&rsquor; Roberto Colautti · 26&rsquor; Roel Brouwers · 41&rsquor; Dante · 59&rsquor;","1","1","https://fbref.com/en/matches/411ce466/Bochum-Monchengladbach-August-9-2009-Bundesliga","Bochum","Home","Diego Klimowicz",NA,"ARG","FW","35-034",80,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Bochum","4-1-2-1-2",3,NA,"Mimoun Azaouagh · 51&rsquor; Mimoun Azaouagh · 52&rsquor; Stanislav Šesták · 63&rsquor;","3","0","Mönchengladbach","4-4-2",3,NA,"Juan Arango · 19&rsquor; Roberto Colautti · 26&rsquor; Roel Brouwers · 41&rsquor; Dante · 59&rsquor;","1","1","https://fbref.com/en/matches/411ce466/Bochum-Monchengladbach-August-9-2009-Bundesliga","Bochum","Home","Vahid Hashemian",NA,"IRN","FW,MF","33-019",10,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Bochum","4-1-2-1-2",3,NA,"Mimoun Azaouagh · 51&rsquor; Mimoun Azaouagh · 52&rsquor; Stanislav Šesták · 63&rsquor;","3","0","Mönchengladbach","4-4-2",3,NA,"Juan Arango · 19&rsquor; Roberto Colautti · 26&rsquor; Roel Brouwers · 41&rsquor; Dante · 59&rsquor;","1","1","https://fbref.com/en/matches/411ce466/Bochum-Monchengladbach-August-9-2009-Bundesliga","Bochum","Home","Stanislav Šesták",NA,"SVK","FW,MF","26-236",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Bochum","4-1-2-1-2",3,NA,"Mimoun Azaouagh · 51&rsquor; Mimoun Azaouagh · 52&rsquor; Stanislav Šesták · 63&rsquor;","3","0","Mönchengladbach","4-4-2",3,NA,"Juan Arango · 19&rsquor; Roberto Colautti · 26&rsquor; Roel Brouwers · 41&rsquor; Dante · 59&rsquor;","1","1","https://fbref.com/en/matches/411ce466/Bochum-Monchengladbach-August-9-2009-Bundesliga","Bochum","Home","Joël Epalle",NA,"CMR","FW,MF","31-170",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Bochum","4-1-2-1-2",3,NA,"Mimoun Azaouagh · 51&rsquor; Mimoun Azaouagh · 52&rsquor; Stanislav Šesták · 63&rsquor;","3","0","Mönchengladbach","4-4-2",3,NA,"Juan Arango · 19&rsquor; Roberto Colautti · 26&rsquor; Roel Brouwers · 41&rsquor; Dante · 59&rsquor;","1","1","https://fbref.com/en/matches/411ce466/Bochum-Monchengladbach-August-9-2009-Bundesliga","Bochum","Home","Mimoun Azaouagh",NA,"GER","MF","26-265",75,2,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Bochum","4-1-2-1-2",3,NA,"Mimoun Azaouagh · 51&rsquor; Mimoun Azaouagh · 52&rsquor; Stanislav Šesták · 63&rsquor;","3","0","Mönchengladbach","4-4-2",3,NA,"Juan Arango · 19&rsquor; Roberto Colautti · 26&rsquor; Roel Brouwers · 41&rsquor; Dante · 59&rsquor;","1","1","https://fbref.com/en/matches/411ce466/Bochum-Monchengladbach-August-9-2009-Bundesliga","Bochum","Home","Shinji Ono",NA,"JPN","MF","29-316",15,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Bochum","4-1-2-1-2",3,NA,"Mimoun Azaouagh · 51&rsquor; Mimoun Azaouagh · 52&rsquor; Stanislav Šesták · 63&rsquor;","3","0","Mönchengladbach","4-4-2",3,NA,"Juan Arango · 19&rsquor; Roberto Colautti · 26&rsquor; Roel Brouwers · 41&rsquor; Dante · 59&rsquor;","1","1","https://fbref.com/en/matches/411ce466/Bochum-Monchengladbach-August-9-2009-Bundesliga","Bochum","Home","Daniel Imhof",NA,"CAN","MF","31-260",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Bochum","4-1-2-1-2",3,NA,"Mimoun Azaouagh · 51&rsquor; Mimoun Azaouagh · 52&rsquor; Stanislav Šesták · 63&rsquor;","3","0","Mönchengladbach","4-4-2",3,NA,"Juan Arango · 19&rsquor; Roberto Colautti · 26&rsquor; Roel Brouwers · 41&rsquor; Dante · 59&rsquor;","1","1","https://fbref.com/en/matches/411ce466/Bochum-Monchengladbach-August-9-2009-Bundesliga","Bochum","Home","Christian Fuchs",NA,"AUT","DF,MF","23-124",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Bochum","4-1-2-1-2",3,NA,"Mimoun Azaouagh · 51&rsquor; Mimoun Azaouagh · 52&rsquor; Stanislav Šesták · 63&rsquor;","3","0","Mönchengladbach","4-4-2",3,NA,"Juan Arango · 19&rsquor; Roberto Colautti · 26&rsquor; Roel Brouwers · 41&rsquor; Dante · 59&rsquor;","1","1","https://fbref.com/en/matches/411ce466/Bochum-Monchengladbach-August-9-2009-Bundesliga","Bochum","Home","Antar Yahia",NA,"ALG","DF","27-141",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Bochum","4-1-2-1-2",3,NA,"Mimoun Azaouagh · 51&rsquor; Mimoun Azaouagh · 52&rsquor; Stanislav Šesták · 63&rsquor;","3","0","Mönchengladbach","4-4-2",3,NA,"Juan Arango · 19&rsquor; Roberto Colautti · 26&rsquor; Roel Brouwers · 41&rsquor; Dante · 59&rsquor;","1","1","https://fbref.com/en/matches/411ce466/Bochum-Monchengladbach-August-9-2009-Bundesliga","Bochum","Home","Marcel Maltritz",NA,"GER","DF,MF","30-311",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
