"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Bochum","4-4-2",2,NA,"Vahid Hashemian · 82&rsquor; Stanislav Šesták · 90&rsquor;","1","0","Schalke 04","4-2-3-1",2,NA,"Vicente Sánchez · 5&rsquor; Kevin Kurányi · 42&rsquor;","0","0","https://fbref.com/en/matches/3cedd19c/Bochum-Schalke-04-January-23-2010-Bundesliga","Bochum","Home","Stanislav Šesták",NA,"SVK","FW,MF","27-038",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Bochum","4-4-2",2,NA,"Vahid Hashemian · 82&rsquor; Stanislav Šesták · 90&rsquor;","1","0","Schalke 04","4-2-3-1",2,NA,"Vicente Sánchez · 5&rsquor; Kevin Kurányi · 42&rsquor;","0","0","https://fbref.com/en/matches/3cedd19c/Bochum-Schalke-04-January-23-2010-Bundesliga","Bochum","Home","Joël Epalle",NA,"CMR","FW,MF","31-337",71,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Bochum","4-4-2",2,NA,"Vahid Hashemian · 82&rsquor; Stanislav Šesták · 90&rsquor;","1","0","Schalke 04","4-2-3-1",2,NA,"Vicente Sánchez · 5&rsquor; Kevin Kurányi · 42&rsquor;","0","0","https://fbref.com/en/matches/3cedd19c/Bochum-Schalke-04-January-23-2010-Bundesliga","Bochum","Home","Vahid Hashemian",NA,"IRN","FW,MF","33-186",19,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Bochum","4-4-2",2,NA,"Vahid Hashemian · 82&rsquor; Stanislav Šesták · 90&rsquor;","1","0","Schalke 04","4-2-3-1",2,NA,"Vicente Sánchez · 5&rsquor; Kevin Kurányi · 42&rsquor;","0","0","https://fbref.com/en/matches/3cedd19c/Bochum-Schalke-04-January-23-2010-Bundesliga","Bochum","Home","Roman Prokoph",NA,"GER","FW","24-170",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Bochum","4-4-2",2,NA,"Vahid Hashemian · 82&rsquor; Stanislav Šesták · 90&rsquor;","1","0","Schalke 04","4-2-3-1",2,NA,"Vicente Sánchez · 5&rsquor; Kevin Kurányi · 42&rsquor;","0","0","https://fbref.com/en/matches/3cedd19c/Bochum-Schalke-04-January-23-2010-Bundesliga","Bochum","Home","Mimoun Azaouagh",NA,"GER","MF","27-067",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Bochum","4-4-2",2,NA,"Vahid Hashemian · 82&rsquor; Stanislav Šesták · 90&rsquor;","1","0","Schalke 04","4-2-3-1",2,NA,"Vicente Sánchez · 5&rsquor; Kevin Kurányi · 42&rsquor;","0","0","https://fbref.com/en/matches/3cedd19c/Bochum-Schalke-04-January-23-2010-Bundesliga","Bochum","Home","Miloš Marić",NA,"SRB","MF","27-324",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Bochum","4-4-2",2,NA,"Vahid Hashemian · 82&rsquor; Stanislav Šesták · 90&rsquor;","1","0","Schalke 04","4-2-3-1",2,NA,"Vicente Sánchez · 5&rsquor; Kevin Kurányi · 42&rsquor;","0","0","https://fbref.com/en/matches/3cedd19c/Bochum-Schalke-04-January-23-2010-Bundesliga","Bochum","Home","Zlatko Dedić",NA,"SVN","FW","25-110",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Bochum","4-4-2",2,NA,"Vahid Hashemian · 82&rsquor; Stanislav Šesták · 90&rsquor;","1","0","Schalke 04","4-2-3-1",2,NA,"Vicente Sánchez · 5&rsquor; Kevin Kurányi · 42&rsquor;","0","0","https://fbref.com/en/matches/3cedd19c/Bochum-Schalke-04-January-23-2010-Bundesliga","Bochum","Home","Paul Freier",NA,"GER","MF","30-181",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Bochum","4-4-2",2,NA,"Vahid Hashemian · 82&rsquor; Stanislav Šesták · 90&rsquor;","1","0","Schalke 04","4-2-3-1",2,NA,"Vicente Sánchez · 5&rsquor; Kevin Kurányi · 42&rsquor;","0","0","https://fbref.com/en/matches/3cedd19c/Bochum-Schalke-04-January-23-2010-Bundesliga","Bochum","Home","Christian Fuchs",NA,"AUT","DF,MF","23-291",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Bochum","4-4-2",2,NA,"Vahid Hashemian · 82&rsquor; Stanislav Šesták · 90&rsquor;","1","0","Schalke 04","4-2-3-1",2,NA,"Vicente Sánchez · 5&rsquor; Kevin Kurányi · 42&rsquor;","0","0","https://fbref.com/en/matches/3cedd19c/Bochum-Schalke-04-January-23-2010-Bundesliga","Bochum","Home","Mërgim Mavraj",NA,"ALB","DF","23-228",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
