"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Bochum","4-2-3-1",2,2.4,"Kevin Stöger (P) · 58&rsquor; Philipp Hofmann · 85&rsquor;","3","0","Stuttgart","3-5-2",3,2.2,"Hiroki Ito · 14&rsquor; Serhou Guirassy · 60&rsquor; Josha Vagnoman · 63&rsquor;","3","0","https://fbref.com/en/matches/ae8b05b0/Bochum-Stuttgart-April-9-2023-Bundesliga","Bochum","Home","Philipp Hofmann",33,"GER","FW","30-010",90,1,0,0,0,2,1,0,0,23,3,0,0,1,1,0.1,2,1,9,17,52.9,1,7,0,0,0
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Bochum","4-2-3-1",2,2.4,"Kevin Stöger (P) · 58&rsquor; Philipp Hofmann · 85&rsquor;","3","0","Stuttgart","3-5-2",3,2.2,"Hiroki Ito · 14&rsquor; Serhou Guirassy · 60&rsquor; Josha Vagnoman · 63&rsquor;","3","0","https://fbref.com/en/matches/ae8b05b0/Bochum-Stuttgart-April-9-2023-Bundesliga","Bochum","Home","Christopher Antwi-Adjei",22,"GHA","LW","29-061",90,0,0,0,0,0,0,1,0,47,0,0,0,0,0,0,3,0,24,35,68.6,4,24,3,5,2
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Bochum","4-2-3-1",2,2.4,"Kevin Stöger (P) · 58&rsquor; Philipp Hofmann · 85&rsquor;","3","0","Stuttgart","3-5-2",3,2.2,"Hiroki Ito · 14&rsquor; Serhou Guirassy · 60&rsquor; Josha Vagnoman · 63&rsquor;","3","0","https://fbref.com/en/matches/ae8b05b0/Bochum-Stuttgart-April-9-2023-Bundesliga","Bochum","Home","Takuma Asano",11,"JPN","RW","28-150",90,0,0,0,0,2,1,0,0,28,2,1,2,0.3,0.3,0.2,4,0,12,15,80,1,22,1,3,1
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Bochum","4-2-3-1",2,2.4,"Kevin Stöger (P) · 58&rsquor; Philipp Hofmann · 85&rsquor;","3","0","Stuttgart","3-5-2",3,2.2,"Hiroki Ito · 14&rsquor; Serhou Guirassy · 60&rsquor; Josha Vagnoman · 63&rsquor;","3","0","https://fbref.com/en/matches/ae8b05b0/Bochum-Stuttgart-April-9-2023-Bundesliga","Bochum","Home","Kevin Stöger",7,"AUT","AM","29-225",77,1,0,1,1,1,0,0,0,68,4,1,1,0.9,0.1,0.2,4,0,43,56,76.8,13,33,2,1,0
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Bochum","4-2-3-1",2,2.4,"Kevin Stöger (P) · 58&rsquor; Philipp Hofmann · 85&rsquor;","3","0","Stuttgart","3-5-2",3,2.2,"Hiroki Ito · 14&rsquor; Serhou Guirassy · 60&rsquor; Josha Vagnoman · 63&rsquor;","3","0","https://fbref.com/en/matches/ae8b05b0/Bochum-Stuttgart-April-9-2023-Bundesliga","Bochum","Home","Moritz Broschinski",29,"GER","AM","22-198",13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Bochum","4-2-3-1",2,2.4,"Kevin Stöger (P) · 58&rsquor; Philipp Hofmann · 85&rsquor;","3","0","Stuttgart","3-5-2",3,2.2,"Hiroki Ito · 14&rsquor; Serhou Guirassy · 60&rsquor; Josha Vagnoman · 63&rsquor;","3","0","https://fbref.com/en/matches/ae8b05b0/Bochum-Stuttgart-April-9-2023-Bundesliga","Bochum","Home","Anthony Losilla",8,"FRA","DM","37-030",87,0,0,0,0,1,0,1,0,46,5,1,1,0,0,0,1,1,24,37,64.9,3,17,0,1,1
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Bochum","4-2-3-1",2,2.4,"Kevin Stöger (P) · 58&rsquor; Philipp Hofmann · 85&rsquor;","3","0","Stuttgart","3-5-2",3,2.2,"Hiroki Ito · 14&rsquor; Serhou Guirassy · 60&rsquor; Josha Vagnoman · 63&rsquor;","3","0","https://fbref.com/en/matches/ae8b05b0/Bochum-Stuttgart-April-9-2023-Bundesliga","Bochum","Home","Pierre Kunde",28,"CMR","DM","27-257",3,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,4,9,44.4,1,3,0,0,0
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Bochum","4-2-3-1",2,2.4,"Kevin Stöger (P) · 58&rsquor; Philipp Hofmann · 85&rsquor;","3","0","Stuttgart","3-5-2",3,2.2,"Hiroki Ito · 14&rsquor; Serhou Guirassy · 60&rsquor; Josha Vagnoman · 63&rsquor;","3","0","https://fbref.com/en/matches/ae8b05b0/Bochum-Stuttgart-April-9-2023-Bundesliga","Bochum","Home","Patrick Osterhage",6,"GER","DM","23-067",45,0,0,0,0,0,0,0,0,23,1,0,1,0,0,0,0,0,14,19,73.7,1,15,0,0,0
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Bochum","4-2-3-1",2,2.4,"Kevin Stöger (P) · 58&rsquor; Philipp Hofmann · 85&rsquor;","3","0","Stuttgart","3-5-2",3,2.2,"Hiroki Ito · 14&rsquor; Serhou Guirassy · 60&rsquor; Josha Vagnoman · 63&rsquor;","3","0","https://fbref.com/en/matches/ae8b05b0/Bochum-Stuttgart-April-9-2023-Bundesliga","Bochum","Home","Philipp Förster",10,"GER","DM","28-064",45,0,1,0,0,0,0,0,0,41,1,0,2,0,0,1.1,5,2,23,35,65.7,3,20,1,0,0
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Bochum","4-2-3-1",2,2.4,"Kevin Stöger (P) · 58&rsquor; Philipp Hofmann · 85&rsquor;","3","0","Stuttgart","3-5-2",3,2.2,"Hiroki Ito · 14&rsquor; Serhou Guirassy · 60&rsquor; Josha Vagnoman · 63&rsquor;","3","0","https://fbref.com/en/matches/ae8b05b0/Bochum-Stuttgart-April-9-2023-Bundesliga","Bochum","Home","Danilo Soares",3,"BRA","LB","31-162",90,0,0,0,0,0,0,0,0,91,2,1,0,0,0,0,0,0,64,76,84.2,7,53,2,3,1
