"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Bochum","4-2-3-1",1,2.6,"Moritz Broschinski · 68&rsquor;","3","0","Wolfsburg","4-3-3",5,3.6,"Mattias Svanberg · 10&rsquor; Jakub Kamiński · 21&rsquor; Patrick Wimmer · 33&rsquor; Mattias Svanberg · 56&rsquor; Luca Waldschmidt · 77&rsquor;","3","0","https://fbref.com/en/matches/3e28c288/Bochum-Wolfsburg-April-22-2023-Bundesliga","Bochum","Home","Philipp Hofmann",33,"GER","FW","30-023",45,0,0,0,0,1,0,0,0,11,0,0,1,0.2,0.2,0.1,1,0,6,8,75,1,5,0,0,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Bochum","4-2-3-1",1,2.6,"Moritz Broschinski · 68&rsquor;","3","0","Wolfsburg","4-3-3",5,3.6,"Mattias Svanberg · 10&rsquor; Jakub Kamiński · 21&rsquor; Patrick Wimmer · 33&rsquor; Mattias Svanberg · 56&rsquor; Luca Waldschmidt · 77&rsquor;","3","0","https://fbref.com/en/matches/3e28c288/Bochum-Wolfsburg-April-22-2023-Bundesliga","Bochum","Home","Moritz Broschinski",29,"GER","FW","22-211",45,1,0,0,0,1,1,0,0,16,0,0,1,0.8,0.8,0,3,0,5,10,50,1,5,0,1,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Bochum","4-2-3-1",1,2.6,"Moritz Broschinski · 68&rsquor;","3","0","Wolfsburg","4-3-3",5,3.6,"Mattias Svanberg · 10&rsquor; Jakub Kamiński · 21&rsquor; Patrick Wimmer · 33&rsquor; Mattias Svanberg · 56&rsquor; Luca Waldschmidt · 77&rsquor;","3","0","https://fbref.com/en/matches/3e28c288/Bochum-Wolfsburg-April-22-2023-Bundesliga","Bochum","Home","Christopher Antwi-Adjei",22,"GHA","LW","29-074",63,0,0,0,0,0,0,1,0,43,1,0,0,0,0,0.2,3,0,27,35,77.1,1,23,2,3,1
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Bochum","4-2-3-1",1,2.6,"Moritz Broschinski · 68&rsquor;","3","0","Wolfsburg","4-3-3",5,3.6,"Mattias Svanberg · 10&rsquor; Jakub Kamiński · 21&rsquor; Patrick Wimmer · 33&rsquor; Mattias Svanberg · 56&rsquor; Luca Waldschmidt · 77&rsquor;","3","0","https://fbref.com/en/matches/3e28c288/Bochum-Wolfsburg-April-22-2023-Bundesliga","Bochum","Home","Gerrit Holtmann",17,"PHI","AM","28-028",27,0,0,0,0,3,0,0,0,15,1,0,1,0.1,0.1,0,2,0,4,7,57.1,0,10,1,1,1
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Bochum","4-2-3-1",1,2.6,"Moritz Broschinski · 68&rsquor;","3","0","Wolfsburg","4-3-3",5,3.6,"Mattias Svanberg · 10&rsquor; Jakub Kamiński · 21&rsquor; Patrick Wimmer · 33&rsquor; Mattias Svanberg · 56&rsquor; Luca Waldschmidt · 77&rsquor;","3","0","https://fbref.com/en/matches/3e28c288/Bochum-Wolfsburg-April-22-2023-Bundesliga","Bochum","Home","Simon Zoller",9,"GER","RW,AM","31-300",63,0,0,0,0,3,1,0,0,20,2,0,0,0.3,0.3,0,1,0,9,13,69.2,1,12,0,0,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Bochum","4-2-3-1",1,2.6,"Moritz Broschinski · 68&rsquor;","3","0","Wolfsburg","4-3-3",5,3.6,"Mattias Svanberg · 10&rsquor; Jakub Kamiński · 21&rsquor; Patrick Wimmer · 33&rsquor; Mattias Svanberg · 56&rsquor; Luca Waldschmidt · 77&rsquor;","3","0","https://fbref.com/en/matches/3e28c288/Bochum-Wolfsburg-April-22-2023-Bundesliga","Bochum","Home","Pierre Kunde",28,"CMR","LW","27-270",27,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0.1,3,0,23,24,95.8,1,16,0,0,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Bochum","4-2-3-1",1,2.6,"Moritz Broschinski · 68&rsquor;","3","0","Wolfsburg","4-3-3",5,3.6,"Mattias Svanberg · 10&rsquor; Jakub Kamiński · 21&rsquor; Patrick Wimmer · 33&rsquor; Mattias Svanberg · 56&rsquor; Luca Waldschmidt · 77&rsquor;","3","0","https://fbref.com/en/matches/3e28c288/Bochum-Wolfsburg-April-22-2023-Bundesliga","Bochum","Home","Kevin Stöger",7,"AUT","DM,AM","29-238",90,0,0,0,0,2,1,1,0,73,2,0,0,0.1,0.1,0.2,9,0,42,63,66.7,6,30,0,2,1
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Bochum","4-2-3-1",1,2.6,"Moritz Broschinski · 68&rsquor;","3","0","Wolfsburg","4-3-3",5,3.6,"Mattias Svanberg · 10&rsquor; Jakub Kamiński · 21&rsquor; Patrick Wimmer · 33&rsquor; Mattias Svanberg · 56&rsquor; Luca Waldschmidt · 77&rsquor;","3","0","https://fbref.com/en/matches/3e28c288/Bochum-Wolfsburg-April-22-2023-Bundesliga","Bochum","Home","Patrick Osterhage",6,"GER","DM","23-080",45,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,8,12,66.7,1,4,0,0,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Bochum","4-2-3-1",1,2.6,"Moritz Broschinski · 68&rsquor;","3","0","Wolfsburg","4-3-3",5,3.6,"Mattias Svanberg · 10&rsquor; Jakub Kamiński · 21&rsquor; Patrick Wimmer · 33&rsquor; Mattias Svanberg · 56&rsquor; Luca Waldschmidt · 77&rsquor;","3","0","https://fbref.com/en/matches/3e28c288/Bochum-Wolfsburg-April-22-2023-Bundesliga","Bochum","Home","Takuma Asano",11,"JPN","RW","28-163",45,0,0,0,0,5,0,0,0,22,1,0,0,0.3,0.3,0.2,5,0,10,14,71.4,2,14,3,0,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Bochum","4-2-3-1",1,2.6,"Moritz Broschinski · 68&rsquor;","3","0","Wolfsburg","4-3-3",5,3.6,"Mattias Svanberg · 10&rsquor; Jakub Kamiński · 21&rsquor; Patrick Wimmer · 33&rsquor; Mattias Svanberg · 56&rsquor; Luca Waldschmidt · 77&rsquor;","3","0","https://fbref.com/en/matches/3e28c288/Bochum-Wolfsburg-April-22-2023-Bundesliga","Bochum","Home","Anthony Losilla",8,"FRA","DM","37-043",90,0,0,0,0,1,0,0,0,36,5,2,0,0,0,0.7,3,0,17,27,63,3,14,0,0,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Bochum","4-2-3-1",1,2.6,"Moritz Broschinski · 68&rsquor;","3","0","Wolfsburg","4-3-3",5,3.6,"Mattias Svanberg · 10&rsquor; Jakub Kamiński · 21&rsquor; Patrick Wimmer · 33&rsquor; Mattias Svanberg · 56&rsquor; Luca Waldschmidt · 77&rsquor;","3","0","https://fbref.com/en/matches/3e28c288/Bochum-Wolfsburg-April-22-2023-Bundesliga","Bochum","Home","Danilo Soares",3,"BRA","LB","31-175",90,0,0,0,0,0,0,0,0,67,5,3,0,0,0,0,3,0,41,53,77.4,7,34,2,0,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Bochum","4-2-3-1",1,2.6,"Moritz Broschinski · 68&rsquor;","3","0","Wolfsburg","4-3-3",5,3.6,"Mattias Svanberg · 10&rsquor; Jakub Kamiński · 21&rsquor; Patrick Wimmer · 33&rsquor; Mattias Svanberg · 56&rsquor; Luca Waldschmidt · 77&rsquor;","3","0","https://fbref.com/en/matches/3e28c288/Bochum-Wolfsburg-April-22-2023-Bundesliga","Bochum","Home","Ivan Ordets",20,"UKR","CB","30-288",90,0,0,0,0,5,1,0,0,58,0,4,0,0.8,0.8,0,5,1,28,40,70,1,27,0,2,1
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Bochum","4-2-3-1",1,2.6,"Moritz Broschinski · 68&rsquor;","3","0","Wolfsburg","4-3-3",5,3.6,"Mattias Svanberg · 10&rsquor; Jakub Kamiński · 21&rsquor; Patrick Wimmer · 33&rsquor; Mattias Svanberg · 56&rsquor; Luca Waldschmidt · 77&rsquor;","3","0","https://fbref.com/en/matches/3e28c288/Bochum-Wolfsburg-April-22-2023-Bundesliga","Bochum","Home","Erhan Mašović",4,"SRB","CB","24-151",90,0,0,0,0,3,2,1,0,43,1,1,2,0.5,0.5,0.1,1,0,24,31,77.4,2,22,0,1,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Bochum","4-2-3-1",1,2.6,"Moritz Broschinski · 68&rsquor;","3","0","Wolfsburg","4-3-3",5,3.6,"Mattias Svanberg · 10&rsquor; Jakub Kamiński · 21&rsquor; Patrick Wimmer · 33&rsquor; Mattias Svanberg · 56&rsquor; Luca Waldschmidt · 77&rsquor;","3","0","https://fbref.com/en/matches/3e28c288/Bochum-Wolfsburg-April-22-2023-Bundesliga","Bochum","Home","Jordi Osei-Tutu",18,"ENG","RB","24-202",23,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,4,7,57.1,0,3,0,0,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Bochum","4-2-3-1",1,2.6,"Moritz Broschinski · 68&rsquor;","3","0","Wolfsburg","4-3-3",5,3.6,"Mattias Svanberg · 10&rsquor; Jakub Kamiński · 21&rsquor; Patrick Wimmer · 33&rsquor; Mattias Svanberg · 56&rsquor; Luca Waldschmidt · 77&rsquor;","3","0","https://fbref.com/en/matches/3e28c288/Bochum-Wolfsburg-April-22-2023-Bundesliga","Bochum","Home","Cristian Gamboa",2,"CRC","RB","33-180",67,0,0,0,0,0,0,0,0,47,1,1,0,0,0,0,1,0,29,41,70.7,3,25,1,2,1
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Bochum","4-2-3-1",1,2.6,"Moritz Broschinski · 68&rsquor;","3","0","Wolfsburg","4-3-3",5,3.6,"Mattias Svanberg · 10&rsquor; Jakub Kamiński · 21&rsquor; Patrick Wimmer · 33&rsquor; Mattias Svanberg · 56&rsquor; Luca Waldschmidt · 77&rsquor;","3","0","https://fbref.com/en/matches/3e28c288/Bochum-Wolfsburg-April-22-2023-Bundesliga","Bochum","Home","Manuel Riemann",1,"GER","GK","34-225",90,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,3,0,20,41,48.8,0,28,0,0,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Bochum","4-2-3-1",1,2.6,"Moritz Broschinski · 68&rsquor;","3","0","Wolfsburg","4-3-3",5,3.6,"Mattias Svanberg · 10&rsquor; Jakub Kamiński · 21&rsquor; Patrick Wimmer · 33&rsquor; Mattias Svanberg · 56&rsquor; Luca Waldschmidt · 77&rsquor;","3","0","https://fbref.com/en/matches/3e28c288/Bochum-Wolfsburg-April-22-2023-Bundesliga","Wolfsburg","Away","Jonas Wind",23,"DEN","FW","24-074",90,0,0,0,1,0,0,0,0,29,2,0,0,0.8,0,0.1,4,1,14,24,58.3,3,18,0,0,0
