"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Darmstadt 98","3-4-3",1,2.3,"Marvin Mehlem · 24&rsquor;","2","0","Union Berlin","3-5-2",4,1.7,"Robin Gosens · 4&rsquor; Brenden Aaronson · 21&rsquor; Robin Gosens · 34&rsquor; Kevin Behrens · 39&rsquor; Danilho Doekhi · 65&rsquor;","3","1","https://fbref.com/en/matches/0fb64fd7/Darmstadt-98-Union-Berlin-August-26-2023-Bundesliga","Darmstadt 98","Home","Luca Pfeiffer",24,"GER","FW","27-006",90,0,0,0,0,3,1,0,0,28,1,1,0,0.7,0.7,0,1,0,12,19,63.2,0,11,0,2,1
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Darmstadt 98","3-4-3",1,2.3,"Marvin Mehlem · 24&rsquor;","2","0","Union Berlin","3-5-2",4,1.7,"Robin Gosens · 4&rsquor; Brenden Aaronson · 21&rsquor; Robin Gosens · 34&rsquor; Kevin Behrens · 39&rsquor; Danilho Doekhi · 65&rsquor;","3","1","https://fbref.com/en/matches/0fb64fd7/Darmstadt-98-Union-Berlin-August-26-2023-Bundesliga","Darmstadt 98","Home","Mathias Honsak",18,"AUT","AM","26-249",45,0,0,0,0,1,1,0,0,19,0,0,2,0.1,0.1,0,0,0,12,15,80,0,12,1,1,0
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Darmstadt 98","3-4-3",1,2.3,"Marvin Mehlem · 24&rsquor;","2","0","Union Berlin","3-5-2",4,1.7,"Robin Gosens · 4&rsquor; Brenden Aaronson · 21&rsquor; Robin Gosens · 34&rsquor; Kevin Behrens · 39&rsquor; Danilho Doekhi · 65&rsquor;","3","1","https://fbref.com/en/matches/0fb64fd7/Darmstadt-98-Union-Berlin-August-26-2023-Bundesliga","Darmstadt 98","Home","Fraser Hornby",9,"SCO","AM,LW","23-347",45,0,0,0,0,6,1,0,0,17,0,0,1,0.4,0.4,0.2,2,0,6,9,66.7,0,5,0,0,0
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Darmstadt 98","3-4-3",1,2.3,"Marvin Mehlem · 24&rsquor;","2","0","Union Berlin","3-5-2",4,1.7,"Robin Gosens · 4&rsquor; Brenden Aaronson · 21&rsquor; Robin Gosens · 34&rsquor; Kevin Behrens · 39&rsquor; Danilho Doekhi · 65&rsquor;","3","1","https://fbref.com/en/matches/0fb64fd7/Darmstadt-98-Union-Berlin-August-26-2023-Bundesliga","Darmstadt 98","Home","Braydon Manu",7,"GHA","AM","26-151",66,0,0,0,0,3,1,1,0,23,1,0,1,0.3,0.3,0,2,0,12,14,85.7,1,16,2,6,3
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Darmstadt 98","3-4-3",1,2.3,"Marvin Mehlem · 24&rsquor;","2","0","Union Berlin","3-5-2",4,1.7,"Robin Gosens · 4&rsquor; Brenden Aaronson · 21&rsquor; Robin Gosens · 34&rsquor; Kevin Behrens · 39&rsquor; Danilho Doekhi · 65&rsquor;","3","1","https://fbref.com/en/matches/0fb64fd7/Darmstadt-98-Union-Berlin-August-26-2023-Bundesliga","Darmstadt 98","Home","Filip Stojilković",10,"SUI","RW,AM","23-234",24,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,4,75,1,3,0,0,0
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Darmstadt 98","3-4-3",1,2.3,"Marvin Mehlem · 24&rsquor;","2","0","Union Berlin","3-5-2",4,1.7,"Robin Gosens · 4&rsquor; Brenden Aaronson · 21&rsquor; Robin Gosens · 34&rsquor; Kevin Behrens · 39&rsquor; Danilho Doekhi · 65&rsquor;","3","1","https://fbref.com/en/matches/0fb64fd7/Darmstadt-98-Union-Berlin-August-26-2023-Bundesliga","Darmstadt 98","Home","Bartol Franjić",28,"CRO","CM","23-224",90,0,0,0,0,0,0,0,0,85,0,2,1,0,0,0,4,1,70,79,88.6,10,53,4,0,0
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Darmstadt 98","3-4-3",1,2.3,"Marvin Mehlem · 24&rsquor;","2","0","Union Berlin","3-5-2",4,1.7,"Robin Gosens · 4&rsquor; Brenden Aaronson · 21&rsquor; Robin Gosens · 34&rsquor; Kevin Behrens · 39&rsquor; Danilho Doekhi · 65&rsquor;","3","1","https://fbref.com/en/matches/0fb64fd7/Darmstadt-98-Union-Berlin-August-26-2023-Bundesliga","Darmstadt 98","Home","Marvin Mehlem",6,"GER","CM","25-349",77,1,0,0,0,3,1,1,0,47,0,1,1,0.6,0.6,0,5,0,30,37,81.1,4,23,1,2,2
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Darmstadt 98","3-4-3",1,2.3,"Marvin Mehlem · 24&rsquor;","2","0","Union Berlin","3-5-2",4,1.7,"Robin Gosens · 4&rsquor; Brenden Aaronson · 21&rsquor; Robin Gosens · 34&rsquor; Kevin Behrens · 39&rsquor; Danilho Doekhi · 65&rsquor;","3","1","https://fbref.com/en/matches/0fb64fd7/Darmstadt-98-Union-Berlin-August-26-2023-Bundesliga","Darmstadt 98","Home","Tobias Kempe",11,"GER","RM","34-060",13,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,2,0,12,14,85.7,1,11,0,1,0
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Darmstadt 98","3-4-3",1,2.3,"Marvin Mehlem · 24&rsquor;","2","0","Union Berlin","3-5-2",4,1.7,"Robin Gosens · 4&rsquor; Brenden Aaronson · 21&rsquor; Robin Gosens · 34&rsquor; Kevin Behrens · 39&rsquor; Danilho Doekhi · 65&rsquor;","3","1","https://fbref.com/en/matches/0fb64fd7/Darmstadt-98-Union-Berlin-August-26-2023-Bundesliga","Darmstadt 98","Home","Fabian Holland",32,"GER","WB,CB","33-046",90,0,0,0,0,0,0,0,0,114,2,1,2,0,0,0.1,6,0,89,105,84.8,15,81,6,2,1
"Fußball-Bundesliga","2023-08-26","Fußball-Bundesliga (Matchweek 2)","Darmstadt 98","3-4-3",1,2.3,"Marvin Mehlem · 24&rsquor;","2","0","Union Berlin","3-5-2",4,1.7,"Robin Gosens · 4&rsquor; Brenden Aaronson · 21&rsquor; Robin Gosens · 34&rsquor; Kevin Behrens · 39&rsquor; Danilho Doekhi · 65&rsquor;","3","1","https://fbref.com/en/matches/0fb64fd7/Darmstadt-98-Union-Berlin-August-26-2023-Bundesliga","Darmstadt 98","Home","Fabian Nürnberger",15,"GER","WB,LB","24-029",90,0,0,0,0,0,0,0,0,99,0,1,0,0,0,0.3,10,0,71,92,77.2,7,59,2,3,2
