"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayern Munich","4-4-2",3,NA,"Mark van Bommel · 21&rsquor; Arjen Robben · 50&rsquor; Mario Gómez · 65&rsquor;","0","0","Dortmund","4-2-3-1",1,NA,"Mohamed Zidan · 5&rsquor;","0","0","https://fbref.com/en/matches/22ad5ac4/Der-Klassiker-Bayern-Munich-Dortmund-February-13-2010-Bundesliga","Bayern Munich","Home","Thomas Müller",NA,"GER","FW,MF","20-153",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayern Munich","4-4-2",3,NA,"Mark van Bommel · 21&rsquor; Arjen Robben · 50&rsquor; Mario Gómez · 65&rsquor;","0","0","Dortmund","4-2-3-1",1,NA,"Mohamed Zidan · 5&rsquor;","0","0","https://fbref.com/en/matches/22ad5ac4/Der-Klassiker-Bayern-Munich-Dortmund-February-13-2010-Bundesliga","Bayern Munich","Home","Mario Gómez",NA,"GER","FW","24-218",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayern Munich","4-4-2",3,NA,"Mark van Bommel · 21&rsquor; Arjen Robben · 50&rsquor; Mario Gómez · 65&rsquor;","0","0","Dortmund","4-2-3-1",1,NA,"Mohamed Zidan · 5&rsquor;","0","0","https://fbref.com/en/matches/22ad5ac4/Der-Klassiker-Bayern-Munich-Dortmund-February-13-2010-Bundesliga","Bayern Munich","Home","Franck Ribéry",NA,"FRA","FW,MF","26-312",71,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayern Munich","4-4-2",3,NA,"Mark van Bommel · 21&rsquor; Arjen Robben · 50&rsquor; Mario Gómez · 65&rsquor;","0","0","Dortmund","4-2-3-1",1,NA,"Mohamed Zidan · 5&rsquor;","0","0","https://fbref.com/en/matches/22ad5ac4/Der-Klassiker-Bayern-Munich-Dortmund-February-13-2010-Bundesliga","Bayern Munich","Home","Ivica Olić",NA,"CRO","FW","30-152",19,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayern Munich","4-4-2",3,NA,"Mark van Bommel · 21&rsquor; Arjen Robben · 50&rsquor; Mario Gómez · 65&rsquor;","0","0","Dortmund","4-2-3-1",1,NA,"Mohamed Zidan · 5&rsquor;","0","0","https://fbref.com/en/matches/22ad5ac4/Der-Klassiker-Bayern-Munich-Dortmund-February-13-2010-Bundesliga","Bayern Munich","Home","Mark van Bommel",NA,"NED","MF","32-297",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayern Munich","4-4-2",3,NA,"Mark van Bommel · 21&rsquor; Arjen Robben · 50&rsquor; Mario Gómez · 65&rsquor;","0","0","Dortmund","4-2-3-1",1,NA,"Mohamed Zidan · 5&rsquor;","0","0","https://fbref.com/en/matches/22ad5ac4/Der-Klassiker-Bayern-Munich-Dortmund-February-13-2010-Bundesliga","Bayern Munich","Home","Bastian Schweinsteiger",NA,"GER","DF,MF","25-196",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayern Munich","4-4-2",3,NA,"Mark van Bommel · 21&rsquor; Arjen Robben · 50&rsquor; Mario Gómez · 65&rsquor;","0","0","Dortmund","4-2-3-1",1,NA,"Mohamed Zidan · 5&rsquor;","0","0","https://fbref.com/en/matches/22ad5ac4/Der-Klassiker-Bayern-Munich-Dortmund-February-13-2010-Bundesliga","Bayern Munich","Home","Arjen Robben",NA,"NED","FW,MF","26-021",81,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayern Munich","4-4-2",3,NA,"Mark van Bommel · 21&rsquor; Arjen Robben · 50&rsquor; Mario Gómez · 65&rsquor;","0","0","Dortmund","4-2-3-1",1,NA,"Mohamed Zidan · 5&rsquor;","0","0","https://fbref.com/en/matches/22ad5ac4/Der-Klassiker-Bayern-Munich-Dortmund-February-13-2010-Bundesliga","Bayern Munich","Home","Hamit Altıntop",NA,"TUR","DF,MF","27-067",9,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayern Munich","4-4-2",3,NA,"Mark van Bommel · 21&rsquor; Arjen Robben · 50&rsquor; Mario Gómez · 65&rsquor;","0","0","Dortmund","4-2-3-1",1,NA,"Mohamed Zidan · 5&rsquor;","0","0","https://fbref.com/en/matches/22ad5ac4/Der-Klassiker-Bayern-Munich-Dortmund-February-13-2010-Bundesliga","Bayern Munich","Home","Holger Badstuber",NA,"GER","DF","20-337",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Bayern Munich","4-4-2",3,NA,"Mark van Bommel · 21&rsquor; Arjen Robben · 50&rsquor; Mario Gómez · 65&rsquor;","0","0","Dortmund","4-2-3-1",1,NA,"Mohamed Zidan · 5&rsquor;","0","0","https://fbref.com/en/matches/22ad5ac4/Der-Klassiker-Bayern-Munich-Dortmund-February-13-2010-Bundesliga","Bayern Munich","Home","Martín Demichelis",NA,"ARG","DF,MF","29-055",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
