"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 50&rsquor; Lucas Barrios · 60&rsquor; Dimitar Rangelov · 87&rsquor;","0","0","Bayer Leverkusen","4-4-2",0,NA,"","1","0","https://fbref.com/en/matches/b2c25a8c/Dortmund-Bayer-Leverkusen-March-20-2010-Bundesliga","Dortmund","Home","Lucas Barrios",NA,"PAR","FW","25-127",72,2,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 50&rsquor; Lucas Barrios · 60&rsquor; Dimitar Rangelov · 87&rsquor;","0","0","Bayer Leverkusen","4-4-2",0,NA,"","1","0","https://fbref.com/en/matches/b2c25a8c/Dortmund-Bayer-Leverkusen-March-20-2010-Bundesliga","Dortmund","Home","Dimitar Rangelov",NA,"BUL","FW,MF","27-039",18,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 50&rsquor; Lucas Barrios · 60&rsquor; Dimitar Rangelov · 87&rsquor;","0","0","Bayer Leverkusen","4-4-2",0,NA,"","1","0","https://fbref.com/en/matches/b2c25a8c/Dortmund-Bayer-Leverkusen-March-20-2010-Bundesliga","Dortmund","Home","Kevin Großkreutz",NA,"GER","DF,FW","21-244",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 50&rsquor; Lucas Barrios · 60&rsquor; Dimitar Rangelov · 87&rsquor;","0","0","Bayer Leverkusen","4-4-2",0,NA,"","1","0","https://fbref.com/en/matches/b2c25a8c/Dortmund-Bayer-Leverkusen-March-20-2010-Bundesliga","Dortmund","Home","Jakub Błaszczykowski",NA,"POL","MF","24-096",89,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 50&rsquor; Lucas Barrios · 60&rsquor; Dimitar Rangelov · 87&rsquor;","0","0","Bayer Leverkusen","4-4-2",0,NA,"","1","0","https://fbref.com/en/matches/b2c25a8c/Dortmund-Bayer-Leverkusen-March-20-2010-Bundesliga","Dortmund","Home","Uwe Hünemeier",NA,"GER","DF","24-070",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 50&rsquor; Lucas Barrios · 60&rsquor; Dimitar Rangelov · 87&rsquor;","0","0","Bayer Leverkusen","4-4-2",0,NA,"","1","0","https://fbref.com/en/matches/b2c25a8c/Dortmund-Bayer-Leverkusen-March-20-2010-Bundesliga","Dortmund","Home","Mohamed Zidan",NA,"EGY","FW","28-099",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 50&rsquor; Lucas Barrios · 60&rsquor; Dimitar Rangelov · 87&rsquor;","0","0","Bayer Leverkusen","4-4-2",0,NA,"","1","0","https://fbref.com/en/matches/b2c25a8c/Dortmund-Bayer-Leverkusen-March-20-2010-Bundesliga","Dortmund","Home","Sebastian Kehl",NA,"GER","DF,MF","30-035",89,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 50&rsquor; Lucas Barrios · 60&rsquor; Dimitar Rangelov · 87&rsquor;","0","0","Bayer Leverkusen","4-4-2",0,NA,"","1","0","https://fbref.com/en/matches/b2c25a8c/Dortmund-Bayer-Leverkusen-March-20-2010-Bundesliga","Dortmund","Home","Markus Feulner",NA,"GER","MF","28-036",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 50&rsquor; Lucas Barrios · 60&rsquor; Dimitar Rangelov · 87&rsquor;","0","0","Bayer Leverkusen","4-4-2",0,NA,"","1","0","https://fbref.com/en/matches/b2c25a8c/Dortmund-Bayer-Leverkusen-March-20-2010-Bundesliga","Dortmund","Home","Tamás Hajnal",NA,"HUN","MF","29-005",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 50&rsquor; Lucas Barrios · 60&rsquor; Dimitar Rangelov · 87&rsquor;","0","0","Bayer Leverkusen","4-4-2",0,NA,"","1","0","https://fbref.com/en/matches/b2c25a8c/Dortmund-Bayer-Leverkusen-March-20-2010-Bundesliga","Dortmund","Home","Marcel Schmelzer",NA,"GER","DF","22-057",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 50&rsquor; Lucas Barrios · 60&rsquor; Dimitar Rangelov · 87&rsquor;","0","0","Bayer Leverkusen","4-4-2",0,NA,"","1","0","https://fbref.com/en/matches/b2c25a8c/Dortmund-Bayer-Leverkusen-March-20-2010-Bundesliga","Dortmund","Home","Felipe Santana",NA,"BRA","DF","24-003",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 50&rsquor; Lucas Barrios · 60&rsquor; Dimitar Rangelov · 87&rsquor;","0","0","Bayer Leverkusen","4-4-2",0,NA,"","1","0","https://fbref.com/en/matches/b2c25a8c/Dortmund-Bayer-Leverkusen-March-20-2010-Bundesliga","Dortmund","Home","Neven Subotić",NA,"SRB","DF","21-100",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 50&rsquor; Lucas Barrios · 60&rsquor; Dimitar Rangelov · 87&rsquor;","0","0","Bayer Leverkusen","4-4-2",0,NA,"","1","0","https://fbref.com/en/matches/b2c25a8c/Dortmund-Bayer-Leverkusen-March-20-2010-Bundesliga","Dortmund","Home","Patrick Owomoyela",NA,"GER","DF,MF","30-135",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 50&rsquor; Lucas Barrios · 60&rsquor; Dimitar Rangelov · 87&rsquor;","0","0","Bayer Leverkusen","4-4-2",0,NA,"","1","0","https://fbref.com/en/matches/b2c25a8c/Dortmund-Bayer-Leverkusen-March-20-2010-Bundesliga","Dortmund","Home","Roman Weidenfeller",NA,"GER","GK","29-226",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
