"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",3,4,"Erling Haaland (P) · 18&rsquor; Erling Haaland (P) · 30&rsquor; Erling Haaland · 62&rsquor;","4","0","Bochum","4-3-3",4,1.6,"Sebastian Polter · 3&rsquor; Gerrit Holtmann · 8&rsquor; Jürgen Locadia · 81&rsquor; Miloš Pantović (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/257ad808/Dortmund-Bochum-April-30-2022-Bundesliga","Dortmund","Home","Erling Haaland",9,"NOR","FW","21-283",90,3,0,2,2,3,2,0,0,33,0,0,0,2.3,0.7,1,4,0,20,23,87,1,15,1,1,0
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",3,4,"Erling Haaland (P) · 18&rsquor; Erling Haaland (P) · 30&rsquor; Erling Haaland · 62&rsquor;","4","0","Bochum","4-3-3",4,1.6,"Sebastian Polter · 3&rsquor; Gerrit Holtmann · 8&rsquor; Jürgen Locadia · 81&rsquor; Miloš Pantović (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/257ad808/Dortmund-Bochum-April-30-2022-Bundesliga","Dortmund","Home","Jamie Bynoe-Gittens",43,"ENG","LW","17-265",62,0,0,0,0,1,1,0,0,34,1,0,2,0.4,0.4,0.1,2,1,17,24,70.8,5,28,3,9,6
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",3,4,"Erling Haaland (P) · 18&rsquor; Erling Haaland (P) · 30&rsquor; Erling Haaland · 62&rsquor;","4","0","Bochum","4-3-3",4,1.6,"Sebastian Polter · 3&rsquor; Gerrit Holtmann · 8&rsquor; Jürgen Locadia · 81&rsquor; Miloš Pantović (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/257ad808/Dortmund-Bochum-April-30-2022-Bundesliga","Dortmund","Home","Felix Passlack",30,"GER","RB","23-336",28,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,13,18,72.2,0,9,0,0,0
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",3,4,"Erling Haaland (P) · 18&rsquor; Erling Haaland (P) · 30&rsquor; Erling Haaland · 62&rsquor;","4","0","Bochum","4-3-3",4,1.6,"Sebastian Polter · 3&rsquor; Gerrit Holtmann · 8&rsquor; Jürgen Locadia · 81&rsquor; Miloš Pantović (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/257ad808/Dortmund-Bochum-April-30-2022-Bundesliga","Dortmund","Home","Julian Brandt",19,"GER","RW","25-363",86,0,0,0,0,2,1,1,0,61,1,0,0,0.5,0.5,0.2,5,0,41,53,77.4,10,33,2,5,4
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",3,4,"Erling Haaland (P) · 18&rsquor; Erling Haaland (P) · 30&rsquor; Erling Haaland · 62&rsquor;","4","0","Bochum","4-3-3",4,1.6,"Sebastian Polter · 3&rsquor; Gerrit Holtmann · 8&rsquor; Jürgen Locadia · 81&rsquor; Miloš Pantović (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/257ad808/Dortmund-Bochum-April-30-2022-Bundesliga","Dortmund","Home","Youssoufa Moukoko",18,"GER","RW","17-161",4,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,2,2,100,0,4,0,1,0
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",3,4,"Erling Haaland (P) · 18&rsquor; Erling Haaland (P) · 30&rsquor; Erling Haaland · 62&rsquor;","4","0","Bochum","4-3-3",4,1.6,"Sebastian Polter · 3&rsquor; Gerrit Holtmann · 8&rsquor; Jürgen Locadia · 81&rsquor; Miloš Pantović (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/257ad808/Dortmund-Bochum-April-30-2022-Bundesliga","Dortmund","Home","Marco Reus",11,"GER","AM","32-334",90,0,1,0,0,2,1,0,0,51,1,0,0,0.7,0.7,0.5,5,2,34,40,85,3,36,1,3,1
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",3,4,"Erling Haaland (P) · 18&rsquor; Erling Haaland (P) · 30&rsquor; Erling Haaland · 62&rsquor;","4","0","Bochum","4-3-3",4,1.6,"Sebastian Polter · 3&rsquor; Gerrit Holtmann · 8&rsquor; Jürgen Locadia · 81&rsquor; Miloš Pantović (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/257ad808/Dortmund-Bochum-April-30-2022-Bundesliga","Dortmund","Home","Jude Bellingham",22,"ENG","DM","18-305",90,0,0,0,0,2,1,1,0,70,2,1,2,0.2,0.2,0.6,5,0,44,55,80,8,43,2,1,0
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",3,4,"Erling Haaland (P) · 18&rsquor; Erling Haaland (P) · 30&rsquor; Erling Haaland · 62&rsquor;","4","0","Bochum","4-3-3",4,1.6,"Sebastian Polter · 3&rsquor; Gerrit Holtmann · 8&rsquor; Jürgen Locadia · 81&rsquor; Miloš Pantović (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/257ad808/Dortmund-Bochum-April-30-2022-Bundesliga","Dortmund","Home","Axel Witsel",28,"BEL","DM","33-108",86,0,0,0,0,1,0,0,0,53,2,1,0,0,0,0,2,0,45,45,100,2,33,0,0,0
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",3,4,"Erling Haaland (P) · 18&rsquor; Erling Haaland (P) · 30&rsquor; Erling Haaland · 62&rsquor;","4","0","Bochum","4-3-3",4,1.6,"Sebastian Polter · 3&rsquor; Gerrit Holtmann · 8&rsquor; Jürgen Locadia · 81&rsquor; Miloš Pantović (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/257ad808/Dortmund-Bochum-April-30-2022-Bundesliga","Dortmund","Home","Antonios Papadopoulos",47,"GER","DM","22-232",4,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,1,2,50,0,3,0,0,0
"Fußball-Bundesliga","2022-04-30","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",3,4,"Erling Haaland (P) · 18&rsquor; Erling Haaland (P) · 30&rsquor; Erling Haaland · 62&rsquor;","4","0","Bochum","4-3-3",4,1.6,"Sebastian Polter · 3&rsquor; Gerrit Holtmann · 8&rsquor; Jürgen Locadia · 81&rsquor; Miloš Pantović (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/257ad808/Dortmund-Bochum-April-30-2022-Bundesliga","Dortmund","Home","Raphaël Guerreiro",13,"POR","LB","28-129",83,0,0,0,0,1,0,0,0,76,1,0,1,0,0,0.2,2,0,63,69,91.3,10,46,4,0,0
