"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Dortmund","4-3-3",4,1.1,"Jude Bellingham · 19&rsquor; Donyell Malen · 24&rsquor; Mats Hummels · 41&rsquor; Donyell Malen · 66&rsquor;","2","0","Eintracht Frankfurt","3-4-3",0,0.6,"","3","0","https://fbref.com/en/matches/6711d41f/Dortmund-Eintracht-Frankfurt-April-22-2023-Bundesliga","Dortmund","Home","Sébastien Haller",9,"CIV","FW","28-304",76,0,0,0,0,1,0,0,0,29,0,0,0,0.1,0.1,0.1,4,1,15,26,57.7,5,11,0,1,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Dortmund","4-3-3",4,1.1,"Jude Bellingham · 19&rsquor; Donyell Malen · 24&rsquor; Mats Hummels · 41&rsquor; Donyell Malen · 66&rsquor;","2","0","Eintracht Frankfurt","3-4-3",0,0.6,"","3","0","https://fbref.com/en/matches/6711d41f/Dortmund-Eintracht-Frankfurt-April-22-2023-Bundesliga","Dortmund","Home","Youssoufa Moukoko",18,"GER","FW","18-153",14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.1,1,0,2,2,100,0,2,0,0,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Dortmund","4-3-3",4,1.1,"Jude Bellingham · 19&rsquor; Donyell Malen · 24&rsquor; Mats Hummels · 41&rsquor; Donyell Malen · 66&rsquor;","2","0","Eintracht Frankfurt","3-4-3",0,0.6,"","3","0","https://fbref.com/en/matches/6711d41f/Dortmund-Eintracht-Frankfurt-April-22-2023-Bundesliga","Dortmund","Home","Karim Adeyemi",27,"GER","LW","21-094",90,0,2,0,0,3,1,1,0,44,1,0,1,0.1,0.1,0.5,5,4,23,31,74.2,5,33,6,10,5
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Dortmund","4-3-3",4,1.1,"Jude Bellingham · 19&rsquor; Donyell Malen · 24&rsquor; Mats Hummels · 41&rsquor; Donyell Malen · 66&rsquor;","2","0","Eintracht Frankfurt","3-4-3",0,0.6,"","3","0","https://fbref.com/en/matches/6711d41f/Dortmund-Eintracht-Frankfurt-April-22-2023-Bundesliga","Dortmund","Home","Donyell Malen",21,"NED","RW","24-103",90,2,0,0,0,4,3,0,0,44,1,0,0,0.4,0.4,0,3,0,21,33,63.6,4,39,5,8,5
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Dortmund","4-3-3",4,1.1,"Jude Bellingham · 19&rsquor; Donyell Malen · 24&rsquor; Mats Hummels · 41&rsquor; Donyell Malen · 66&rsquor;","2","0","Eintracht Frankfurt","3-4-3",0,0.6,"","3","0","https://fbref.com/en/matches/6711d41f/Dortmund-Eintracht-Frankfurt-April-22-2023-Bundesliga","Dortmund","Home","Julian Brandt",19,"GER","LM","26-355",69,0,1,0,0,0,0,0,0,39,1,0,3,0,0,0.2,3,1,23,30,76.7,5,29,0,6,3
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Dortmund","4-3-3",4,1.1,"Jude Bellingham · 19&rsquor; Donyell Malen · 24&rsquor; Mats Hummels · 41&rsquor; Donyell Malen · 66&rsquor;","2","0","Eintracht Frankfurt","3-4-3",0,0.6,"","3","0","https://fbref.com/en/matches/6711d41f/Dortmund-Eintracht-Frankfurt-April-22-2023-Bundesliga","Dortmund","Home","Marco Reus",11,"GER","LM","33-326",21,0,0,0,0,1,0,0,0,16,0,1,1,0.1,0.1,0,1,0,10,12,83.3,3,12,0,1,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Dortmund","4-3-3",4,1.1,"Jude Bellingham · 19&rsquor; Donyell Malen · 24&rsquor; Mats Hummels · 41&rsquor; Donyell Malen · 66&rsquor;","2","0","Eintracht Frankfurt","3-4-3",0,0.6,"","3","0","https://fbref.com/en/matches/6711d41f/Dortmund-Eintracht-Frankfurt-April-22-2023-Bundesliga","Dortmund","Home","Emre Can",23,"GER","CM","29-100",90,0,0,0,0,0,0,0,0,55,2,3,0,0,0,0,0,0,37,39,94.9,3,30,0,0,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Dortmund","4-3-3",4,1.1,"Jude Bellingham · 19&rsquor; Donyell Malen · 24&rsquor; Mats Hummels · 41&rsquor; Donyell Malen · 66&rsquor;","2","0","Eintracht Frankfurt","3-4-3",0,0.6,"","3","0","https://fbref.com/en/matches/6711d41f/Dortmund-Eintracht-Frankfurt-April-22-2023-Bundesliga","Dortmund","Home","Jude Bellingham",22,"ENG","RM","19-297",76,1,0,0,0,3,2,1,0,51,3,1,2,0.4,0.4,0.1,3,1,33,38,86.8,4,30,0,3,2
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Dortmund","4-3-3",4,1.1,"Jude Bellingham · 19&rsquor; Donyell Malen · 24&rsquor; Mats Hummels · 41&rsquor; Donyell Malen · 66&rsquor;","2","0","Eintracht Frankfurt","3-4-3",0,0.6,"","3","0","https://fbref.com/en/matches/6711d41f/Dortmund-Eintracht-Frankfurt-April-22-2023-Bundesliga","Dortmund","Home","Salih Özcan",6,"TUR","RM","25-101",14,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,10,100,0,9,0,0,0
"Fußball-Bundesliga","2023-04-22","Fußball-Bundesliga (Matchweek 29)","Dortmund","4-3-3",4,1.1,"Jude Bellingham · 19&rsquor; Donyell Malen · 24&rsquor; Mats Hummels · 41&rsquor; Donyell Malen · 66&rsquor;","2","0","Eintracht Frankfurt","3-4-3",0,0.6,"","3","0","https://fbref.com/en/matches/6711d41f/Dortmund-Eintracht-Frankfurt-April-22-2023-Bundesliga","Dortmund","Home","Raphaël Guerreiro",13,"POR","LB","29-121",69,0,1,0,0,0,0,0,0,68,2,2,1,0,0,0.1,2,1,47,62,75.8,6,42,1,1,1
