"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Dortmund","Home","Lucas Barrios",NA,"PAR","FW","25-086",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Dortmund","Home","Nelson Valdez",NA,"PAR","FW","26-071",76,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Dortmund","Home","Dedê",NA,"BRA","DF","31-295",14,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Dortmund","Home","Damien Le Tallec",NA,"FRA","DF,FW","19-294",76,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Dortmund","Home","Mario Götze",NA,"GER","FW,MF","17-249",14,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Dortmund","Home","Mohamed Zidan",NA,"EGY","FW","28-058",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Dortmund","Home","Nuri Şahin",NA,"TUR","MF","21-155",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Dortmund","Home","Kevin Großkreutz",NA,"GER","DF,FW","21-203",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Dortmund","Home","Marcel Schmelzer",NA,"GER","DF","22-016",87,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Dortmund","Home","Felipe Santana",NA,"BRA","DF","23-327",3,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Dortmund","Home","Mats Hummels",NA,"GER","DF","21-053",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Dortmund","Home","Neven Subotić",NA,"SRB","DF","21-059",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Dortmund","Home","Patrick Owomoyela",NA,"GER","DF,MF","30-094",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Dortmund","Home","Marc Ziegler",NA,"GER","GK","33-239",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Eintracht Frankfurt","Away","Halil Altıntop",NA,"TUR","FW,MF","27-061",88,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Eintracht Frankfurt","Away","Caio Alves",NA,"BRA","MF","23-254",2,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Eintracht Frankfurt","Away","Benjamin Köhler",NA,"GER","MF","29-187",89,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-2-3-1",2,NA,"Mats Hummels · 17&rsquor; Lucas Barrios · 57&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",3,NA,"Benjamin Köhler · 8&rsquor; Sebastian Jung · 65&rsquor; Alexander Meier · 74&rsquor;","2","0","https://fbref.com/en/matches/c30d7910/Dortmund-Eintracht-Frankfurt-February-7-2010-Bundesliga","Eintracht Frankfurt","Away","Nikos Liberopoulos",NA,"GRE","FW,MF","34-187",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
