"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Dortmund","Home","Erling Haaland",9,"NOR","FW","21-147",82,2,0,1,1,4,1,0,0,32,0,0,0,1.1,0.3,0,4,1,11,19,57.9,3,13,0,3,2
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Dortmund","Home","Steffen Tigges",27,"GER","FW","23-137",8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,100,0,2,0,0,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Dortmund","Home","Thorgan Hazard",10,"BEL","LW","28-261",74,0,0,0,0,2,0,0,0,60,1,0,0,0.1,0.1,0,1,0,45,51,88.2,4,27,3,3,2
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Dortmund","Home","Donyell Malen",21,"NED","LW","22-340",16,1,0,0,0,1,1,0,0,7,0,0,0,0.1,0.1,0,0,0,2,3,66.7,1,4,0,0,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Dortmund","Home","Julian Brandt",19,"GER","RW","25-227",89,0,2,0,0,0,0,0,0,70,0,0,0,0,0,0.6,5,2,52,65,80,6,42,5,1,1
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Dortmund","Home","Reinier",20,"BRA","RW","19-330",1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,2,100,0,3,0,0,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Dortmund","Home","Marco Reus",11,"GER","AM","32-198",74,0,0,0,0,2,2,0,0,51,1,0,3,0.4,0.4,0,2,0,28,33,84.8,4,32,1,4,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Dortmund","Home","Emre Can",23,"GER","AM","27-337",16,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0.1,1,0,12,13,92.3,0,5,0,0,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Dortmund","Home","Jude Bellingham",22,"ENG","DM","18-169",45,0,0,0,0,0,0,1,0,43,0,1,2,0,0,0,2,0,27,32,84.4,1,24,0,1,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Dortmund","Home","Mahmoud Dahoud",8,"GER","DM","25-348",45,0,0,0,0,1,0,0,0,47,2,0,1,0,0,0,0,0,32,39,82.1,6,25,0,3,2
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Dortmund","Home","Axel Witsel",28,"BEL","DM","32-337",90,0,0,0,0,0,0,0,0,70,5,0,0,0,0,0,0,0,55,61,90.2,7,38,0,1,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Dortmund","Home","Nico Schulz",14,"GER","LB","28-258",90,0,0,0,0,0,0,0,0,110,2,0,1,0,0,0,0,0,89,102,87.3,13,64,4,2,1
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Dortmund","Home","Dan-Axel Zagadou",5,"FRA","CB","22-195",90,0,0,0,0,0,0,0,0,114,1,5,1,0,0,0,1,0,97,102,95.1,2,76,0,2,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Dortmund","Home","Mats Hummels",15,"GER","CB","32-364",90,0,0,0,0,1,0,1,0,99,5,1,0,0.1,0.1,0,0,0,81,88,92,2,54,0,0,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Dortmund","Home","Thomas Meunier",24,"BEL","RB","30-094",90,0,0,0,0,0,0,0,0,110,2,2,0,0,0,0.1,5,2,87,106,82.1,12,62,7,0,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Dortmund","Home","Gregor Kobel",1,"SUI","GK","24-009",90,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,28,29,96.6,0,17,0,0,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Greuther Fürth","Away","Cedric Itten",19,"SUI","FW","24-353",45,0,0,0,0,1,0,0,0,16,1,0,1,0.1,0.1,0,0,0,5,7,71.4,1,8,1,0,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Greuther Fürth","Away","Håvard Nielsen",16,"NOR","FW","28-153",45,0,0,0,0,0,0,0,0,20,1,1,0,0,0,0,0,0,9,13,69.2,1,14,3,5,3
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Greuther Fürth","Away","Jeremy Dudziak",28,"TUN","LW","26-109",63,0,0,0,0,0,0,0,0,33,2,0,0,0,0,0.1,3,0,17,25,68,2,14,0,2,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Dortmund","4-2-3-1",3,1.8,"Erling Haaland (P) · 33&rsquor; Erling Haaland · 82&rsquor; Donyell Malen · 89&rsquor;","2","0","Greuther Fürth","4-3-3",0,0.4,"","2","0","https://fbref.com/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga","Greuther Fürth","Away","Julian Green",37,"USA","LW","26-192",27,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,4,10,40,0,5,0,0,0
