"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-02-19","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-5-1",4,2.5,"Karim Adeyemi · 27&rsquor; Donyell Malen · 31&rsquor; Marco Reus · 76&rsquor; Julian Brandt · 90&rsquor;","1","0","Hertha BSC","3-1-4-2",1,1.1,"Lucas Tousart · 46&rsquor;","2","0","https://fbref.com/en/matches/f19df84d/Dortmund-Hertha-BSC-February-19-2023-Bundesliga","Dortmund","Home","Donyell Malen",21,"NED","FW","24-041",65,1,0,0,0,2,1,0,0,18,0,0,1,0.5,0.5,0.1,1,0,8,11,72.7,2,11,2,2,0
"Fußball-Bundesliga","2023-02-19","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-5-1",4,2.5,"Karim Adeyemi · 27&rsquor; Donyell Malen · 31&rsquor; Marco Reus · 76&rsquor; Julian Brandt · 90&rsquor;","1","0","Hertha BSC","3-1-4-2",1,1.1,"Lucas Tousart · 46&rsquor;","2","0","https://fbref.com/en/matches/f19df84d/Dortmund-Hertha-BSC-February-19-2023-Bundesliga","Dortmund","Home","Sébastien Haller",9,"CIV","FW","28-242",25,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,5,40,0,1,0,0,0
"Fußball-Bundesliga","2023-02-19","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-5-1",4,2.5,"Karim Adeyemi · 27&rsquor; Donyell Malen · 31&rsquor; Marco Reus · 76&rsquor; Julian Brandt · 90&rsquor;","1","0","Hertha BSC","3-1-4-2",1,1.1,"Lucas Tousart · 46&rsquor;","2","0","https://fbref.com/en/matches/f19df84d/Dortmund-Hertha-BSC-February-19-2023-Bundesliga","Dortmund","Home","Karim Adeyemi",27,"GER","LW","21-032",34,1,1,0,0,1,1,0,0,13,1,0,1,0.8,0.8,0.5,2,2,4,7,57.1,2,10,1,3,1
"Fußball-Bundesliga","2023-02-19","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-5-1",4,2.5,"Karim Adeyemi · 27&rsquor; Donyell Malen · 31&rsquor; Marco Reus · 76&rsquor; Julian Brandt · 90&rsquor;","1","0","Hertha BSC","3-1-4-2",1,1.1,"Lucas Tousart · 46&rsquor;","2","0","https://fbref.com/en/matches/f19df84d/Dortmund-Hertha-BSC-February-19-2023-Bundesliga","Dortmund","Home","Jamie Bynoe-Gittens",43,"ENG","LW","18-195",56,0,1,0,0,2,1,0,0,33,0,0,0,0.1,0.1,0.7,4,2,10,14,71.4,1,26,4,16,8
"Fußball-Bundesliga","2023-02-19","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-5-1",4,2.5,"Karim Adeyemi · 27&rsquor; Donyell Malen · 31&rsquor; Marco Reus · 76&rsquor; Julian Brandt · 90&rsquor;","1","0","Hertha BSC","3-1-4-2",1,1.1,"Lucas Tousart · 46&rsquor;","2","0","https://fbref.com/en/matches/f19df84d/Dortmund-Hertha-BSC-February-19-2023-Bundesliga","Dortmund","Home","Julian Brandt",19,"GER","RW","26-293",90,1,0,0,0,1,1,0,0,49,1,0,1,0.7,0.7,0.3,3,0,31,41,75.6,1,34,1,1,0
"Fußball-Bundesliga","2023-02-19","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-5-1",4,2.5,"Karim Adeyemi · 27&rsquor; Donyell Malen · 31&rsquor; Marco Reus · 76&rsquor; Julian Brandt · 90&rsquor;","1","0","Hertha BSC","3-1-4-2",1,1.1,"Lucas Tousart · 46&rsquor;","2","0","https://fbref.com/en/matches/f19df84d/Dortmund-Hertha-BSC-February-19-2023-Bundesliga","Dortmund","Home","Marco Reus",11,"GER","CM","33-264",86,1,1,0,0,3,1,0,0,34,4,0,2,0.3,0.3,0.9,3,1,16,26,61.5,1,19,2,1,1
"Fußball-Bundesliga","2023-02-19","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-5-1",4,2.5,"Karim Adeyemi · 27&rsquor; Donyell Malen · 31&rsquor; Marco Reus · 76&rsquor; Julian Brandt · 90&rsquor;","1","0","Hertha BSC","3-1-4-2",1,1.1,"Lucas Tousart · 46&rsquor;","2","0","https://fbref.com/en/matches/f19df84d/Dortmund-Hertha-BSC-February-19-2023-Bundesliga","Dortmund","Home","Niklas Süle",25,"GER","CM","27-169",4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,8,10,80,1,5,1,0,0
"Fußball-Bundesliga","2023-02-19","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-5-1",4,2.5,"Karim Adeyemi · 27&rsquor; Donyell Malen · 31&rsquor; Marco Reus · 76&rsquor; Julian Brandt · 90&rsquor;","1","0","Hertha BSC","3-1-4-2",1,1.1,"Lucas Tousart · 46&rsquor;","2","0","https://fbref.com/en/matches/f19df84d/Dortmund-Hertha-BSC-February-19-2023-Bundesliga","Dortmund","Home","Emre Can",23,"GER","CM","29-038",90,0,0,0,0,0,0,0,0,72,4,2,0,0,0,0,1,0,51,61,83.6,3,45,0,1,1
"Fußball-Bundesliga","2023-02-19","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-5-1",4,2.5,"Karim Adeyemi · 27&rsquor; Donyell Malen · 31&rsquor; Marco Reus · 76&rsquor; Julian Brandt · 90&rsquor;","1","0","Hertha BSC","3-1-4-2",1,1.1,"Lucas Tousart · 46&rsquor;","2","0","https://fbref.com/en/matches/f19df84d/Dortmund-Hertha-BSC-February-19-2023-Bundesliga","Dortmund","Home","Salih Özcan",6,"TUR","CM","25-039",65,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,24,33,72.7,2,23,0,1,1
"Fußball-Bundesliga","2023-02-19","Fußball-Bundesliga (Matchweek 21)","Dortmund","4-5-1",4,2.5,"Karim Adeyemi · 27&rsquor; Donyell Malen · 31&rsquor; Marco Reus · 76&rsquor; Julian Brandt · 90&rsquor;","1","0","Hertha BSC","3-1-4-2",1,1.1,"Lucas Tousart · 46&rsquor;","2","0","https://fbref.com/en/matches/f19df84d/Dortmund-Hertha-BSC-February-19-2023-Bundesliga","Dortmund","Home","Jude Bellingham",22,"ENG","CM","19-235",25,0,0,0,0,1,0,0,0,18,0,2,2,0.1,0.1,0,2,1,9,11,81.8,1,8,0,1,1
